	sch	sch_comment	wmo	wmo_comment	min_date	max_date	station
4186	RZK	RZK Russia MRZ-3A 1780 MHz radiosonde with AVK-ARMA ground station {1997} 31313=57503 (moist)  (W3=75) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-22113
11	RZW	RZW Russia MRZ-3A radiosonde with MARL-A or Vektor-M phased-array radiotheodolite {2004} 31313=58803  (W3=88) [F=T1680PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-20292
3780	89	MARL-A or Vektor-M-BAR (Russian Federation)              	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-36883
1246	RPF	RPF Ukraine PAZA-22 with AVK-1 ground station {~2009} 31313=51603  (W3=116)	116	PAZA-22/AVK-1 (Ukraine)                             	2012-12-30	2013-01-01	0-20000-0-34300
3759	C9	[21|24] VIZ Jinyang (Korea)	121	Jin Yang 1524LA LORAN-C/GL5000 (Republic of Korea)                        	2012-12-31	2013-01-01	0-20000-0-47138
4073	BKg	BKg South Korea Jinyang 403 MHz RSG-20A GPS radiosonde {2010?} 31313=52108  [F=T403DL,P=Ac,T=T,U=A,N=G]	121	Jin Yang 1524LA LORAN-C/GL5000 (Republic of Korea)                        	2012-12-31	2013-01-01	0-20000-0-47169
2962	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	122	Meisei RS-11G GPS radiosonde w/thermistor, capacitance   relative humidity sensor,   and derived pressure from GPS   height (Japan)         	2012-12-31	2013-01-01	0-20000-0-47580
1106	RHA	RHA Russia MRZ-3AK1 (previously MRZ* or BAR) 1780 MHz radiosonde with AVK {2004} 31313=55803  (W3=58) [F=T1780PL,P=0,T=TR(MMT-1),U=A(Honeywell HIH4000),W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-31770
3411	RV7	RV7 Russia AVK-RF95-ARMA 1780 MHz Vaisala sensors radiosonde {1997} 31313=47603 auto corr  (W3=76) [F=T1780PL,P=0,T=Tc(Thermocap),U=A(A-Humicap),W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-22845
3990	RZK	RZK Russia MRZ-3A 1780 MHz radiosonde with AVK-ARMA ground station {1997} 31313=57503 (moist)  (W3=75) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-23884
3468	RZW	RZW Russia MRZ-3A radiosonde with MARL-A or Vektor-M phased-array radiotheodolite {2004} 31313=58803  (W3=88) [F=T1680PL,P=0,T=TR(MMT-1),U=G,W=Ta]	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-20674
3604	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-26072
3739	RHM	RHM Russia MRZ-3AK1 (previously MRZ* or BAR) 1680 MHz radiosonde, MARL-A or Vektor-M {2004} 31313=58903  (W3=89) [F=T1780PL,P=0,T=TR(MMT-1),	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-26477
504	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	131	Taiyuan GTS1-1/GFE(L) (China )                           	2012-12-31	2013-01-01	0-20001-0-53845
249	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-57131
2106	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	133	Nanjing GTS1-2/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-57494
3	VNW	VNW Vaisala RS92-NGP with InterMet IMS 2000 for NWS {2011} 31313=45208 with BUFR code 152  [F=T1676-1682DL,P=Sc,T=Wc,U=2Ah,N=Gc]	152	Vaisala RS92-NGP/Intermet IMS-2000 (United States)                          	2012-12-31	2013-01-01	0-20000-0-72712
1600	VND	VND Vaisala RS92-D (RS92-DD or RS92-DL) with InterMet IMS 1500 for NWS CHUAS {2009} 31313=08302  [F=T1676-1682DL,P=Sc,T=Wc,U=2Ah,W=Ra]	183	Vaisala RS92-D/Intermet IMS 1500 w/silicon capacitive   pressure sensor, capacitive wire   temperature sensor, twin thin-film heated   polymer capacitive relative humidity sensor   and RDF wind	2012-12-03	2013-01-05	0-20000-0-78583
