	sch	sch_date	wmo	wmo_date	delta_days	station	min_date	max_date	records	latitude	longitude	station_name
0	NA	NA	NA	NA	NA	0-20000-0-60437	1990-04-06	1990-04-06	1	1.0	36.27000045776367	2.75
1	NA	NA	NA	NA	NA	0-20000-0-48099	1989-10-22	1993-01-25	2	2.0	16.75	97.67
2	NA	NA	NA	NA	NA	0-20000-0-60522	1987-06-16	1988-05-20	2	2.0	34.81999969482422	-1.78
3	NA	NA	NA	NA	NA	0-20000-0-11155	1982-11-28	1982-11-28	1	1.0	47.81999969482422	13.73
4	NA	NA	NA	NA	NA	0-20000-0-48672	1999-05-03	1999-05-03	1	1.0	2.0199999809265137	103.32
5	NA	NA	NA	NA	NA	0-20000-0-12805	1982-03-02	1989-07-23	57	57.0	47.68000030517578	16.6
6	NA 	1934-06-21	NA 	1934-06-21	0	0-20000-0-07257	1927-02-15	1985-01-06	43	47.029998779296875	2.6500000953674316	AVORD
7	NA	NA	NA	NA	NA	0-20000-0-47129	1981-05-28	2006-02-16	568	568.0	36.779998779296875	126.45
8	NA	NA	NA	NA	NA	0-20000-0-71878	1973-06-22	1973-08-26	13	13.0	52.18000030517578	-113.9
9	NA	NA	NA	NA	NA	0-20000-0-11232	1985-11-06	1986-09-06	3	3.0	46.58000183105469	14.75
10	NA	NA	NA	NA	NA	0-20000-0-02790	1914-08-19	1914-08-20	2	2.0	60.25	20.78
11	NA	NA	NA	NA	NA	0-20000-0-94231	1979-07-20	1979-07-20	1	1.0	-18.329999923706055	130.63
12	NA	NA	NA	NA	NA	0-20000-0-71001	1944-05-23	1944-12-30	237	237.0	61.349998474121094	-139.02
13	NA	NA	NA	NA	NA	0-20500-0-50404	1944-05-02	1945-09-19	511	511.0	-1.0700000524520874	-47.62
14	NA	NA	NA	NA	NA	0-20300-0-22003	1929-01-01	1930-11-26	159	159.0	29.299999237060547	-100.433
15	NA	NA	NA	NA	NA	0-20000-0-72487	1951-10-06	1957-09-23	1218	1218.0	37.720001220703125	-114.45
16	NA 	1954-08-04	NA 	1954-08-04	0	0-20000-0-70162	1945-05-03	1986-04-14	2713	69.36699676513672	-152.13299560546875	UMIAT
17	-922	1996-10-09	114	2014-11-24	6620	0-20000-0-03559	1996-10-09	2021-04-01	295	52.104000091552734	-0.42100000381469727	CARDINGTON
18	NA	NA	NA	NA	NA	0-20300-0-89522	1958-02-10	1978-12-07	1098	1098.0	-70.43000030517578	24.31
19	XXX 	1998-05-11	NA	1900-01-01	-1	0-20000-0-96529	1996-01-01	2022-01-08	4915	2.1440000534057617	117.43299865722656	TANJUNG REDEP/KALIMARAU
20	NA 	1978-12-28	NA 	1978-12-28	0	0-20300-0-26520	1943-04-20	2014-06-24	8022	33.66999816894531	-117.72000122070312	CA SANTA ANA/ORANGE COUNTY AAF
21	NA	NA	NA	NA	NA	0-20000-0-61470	1999-05-13	1999-05-13	1	1.0	17.049999237060547	-12.92
22	XXX 	1978-12-31	99	1978-12-31	0	0-20000-0-54115	1965-08-06	1990-02-01	5774	43.632999420166016	118.03299713134766	LINXI
23	NA	NA	NA	NA	NA	0-20000-0-95699	1979-07-26	1980-06-26	2	2.0	-30.850000381469727	143.08
24	NA	NA	NA	NA	NA	0-20000-0-47008	1980-06-29	1981-07-08	2	2.0	41.779998779296875	129.82
25	NA	NA	NA	NA	NA	0-20000-0-12922	1982-03-02	1982-04-30	34	34.0	46.75	17.25
26	NA	NA	NA	NA	NA	0-20000-0-48020	1981-05-09	1981-05-09	1	1.0	23.6299991607666	94.42
27	NA	NA	NA	NA	NA	0-20000-0-61085	1985-11-07	1991-03-10	3	3.0	13.420000076293945	12.78
28	NA	NA	NA	NA	NA	0-20000-0-62809	1989-10-15	1989-10-15	1	1.0	11.329999923706055	27.82
29	NA 	1974-09-06	NA 	1974-09-06	0	0-20000-0-62750	1974-07-06	2006-10-27	9	14.0	32.29999923706055	ED DUEIM
30	NA	NA	NA	NA	NA	0-20500-0-26312	1944-09-02	1945-02-26	262	262.0	62.18000030517578	-131.75
31	NA 	1978-12-29	99	1980-01-01	368	0-20000-0-41506	1973-01-29	2021-12-21	10613	35.849998474121094	71.83000183105469	CHITRAL
32	NA	NA	NA	NA	NA	0-20000-0-02562	1922-11-30	1935-09-11	726	726.0	58.41999816894531	15.62
33	NA 	1957-12-31	NA 	1957-12-31	0	0-20000-0-61270	1953-03-01	1998-12-08	4286	13.067000389099121	-9.467000007629395	KITA
34	NA	NA	NA	NA	NA	0-20000-0-47426	1945-11-01	1948-09-30	1489	1489.0	42.1619987487793	142.777
35	NA	NA	NA	NA	NA	0-20300-0-23006	1943-01-01	1945-08-14	2674	2674.0	32.349998474121094	-104.25
36	80	2015-01-29	80	2015-01-29	0	0-20000-0-11683	2015-01-29	2015-02-10	22	49.72999954223633	16.030000686645508	SVRATOUCH
37	XXX 	1984-07-02	99	1988-12-21	1633	0-20000-0-48940	1954-07-01	1993-08-13	10183	17.950000762939453	102.56999969482422	VIENTIANE
38	NA	NA	NA	NA	NA	0-20300-0-24755	1953-03-14	1958-10-31	1273	1273.0	37.099998474121094	-113.6
39	NA	NA	NA	NA	NA	0-20300-0-89557	1958-03-16	1958-12-31	273	273.0	-78.4000015258789	87.58
40	NA	NA	NA	NA	NA	0-20000-0-04272	1942-08-06	1957-06-25	6653	6653.0	60.68000030517578	-46.53
41	XXX 	1986-04-16	10	1993-12-16	2801	0-20000-0-74630	1956-01-19	2021-06-29	694	33.79999923706055	-106.66999816894531	STALLION AAF, NM
42	NA 	1974-08-28	NA 	1974-08-28	0	0-20000-0-64405	1974-06-25	1999-05-01	3	-3.700000047683716	13.399999618530273	SIBITI
43	NA	NA	NA	NA	NA	0-20000-0-94822	1979-07-30	1979-07-30	1	1.0	-35.83000183105469	138.13
44	NA 	1920-06-11	NA 	1920-06-11	0	0-20000-0-06285	1919-05-07	1985-12-01	226	53.57400131225586	6.3979997634887695	HUIBERTGAT WP
45	NA	NA	NA	NA	NA	0-20500-0-26315	1948-04-01	1948-09-14	150	150.0	69.25	-134.0
46	99	1982-12-27	99	1982-12-27	0	0-20000-0-30772	1982-12-27	1988-03-17	3	52.70000076293945	118.80000305175781	UST'-KARA
47	99	1978-01-22	99	1978-01-22	0	0-20000-0-63654	1963-10-02	1987-06-15	1659	1.6799999475479126	31.719999313354492	MASINDI
48	NA	NA	NA	NA	NA	0-20000-0-82143	1987-06-10	1987-06-10	1	1.0	-0.6200000047683716	-47.38
49	NA	NA	NA	NA	NA	0-20000-0-07296	1927-06-13	1928-03-04	4	4.0	47.630001068115234	6.87
50	NA	NA	NA	NA	NA	0-20000-0-47430	1938-06-07	1944-12-13	569	569.0	41.81700134277344	140.754
51	NA	NA	NA	NA	NA	0-20500-0-50405	1944-05-02	1945-03-31	271	271.0	-1.0700000524520874	-47.62
52	NA	NA	NA	NA	NA	0-20500-0-93102	1944-08-03	1958-12-12	1269	1269.0	39.43000030517578	-118.68
53	NA 	1978-12-27	8	1979-03-26	88	0-20500-0-10720	1973-01-29	1988-08-29	727	9.329999923706055	-79.9800033569336	FORT SHERMAN
54	NA	NA	NA	NA	NA	0-20000-0-42364	2015-01-13	2019-10-27	2	2.0	26.56999969482422	78.8
55	NA	NA	NA	NA	NA	0-20300-0-89593	1958-03-13	1958-12-31	121	121.0	-69.7300033569336	95.05
56	W__ 	1930-06-30	W__ 	1930-06-30	0	0-20000-0-41859	1929-01-25	2022-01-01	31344	25.732999801635742	89.23300170898438	RANGPUR
57	XXX 	2009-02-20	NA	1900-01-01	-1	0-20000-0-71893	1955-07-01	2010-02-28	5904	49.720001220703125	-124.9000015258789	CFB - COMOX, BC
58	NA	NA	NA	NA	NA	0-20000-0-95367	1943-12-12	1945-08-16	989	989.0	-21.170000076293945	149.17
59	99	1983-01-04	99	1983-01-04	0	0-20000-0-34519	1983-01-04	1986-12-16	4	48.06999969482422	37.77000045776367	Donetsk
60	NA 	1974-06-17	NA 	1974-06-17	0	0-20000-0-62671	1974-06-17	1985-12-24	2	18.399999618530273	37.70000076293945	TOKAR
61	NA	NA	NA	NA	NA	0-20000-0-47629	1969-10-19	1970-12-29	364	364.0	36.400001525878906	140.6
62	-922	1976-04-10	99	1980-04-08	1459	0-20000-0-62781	1966-02-04	1989-11-01	888	12.699999809265137	28.43000030517578	EN NAHUD
63	NA 	1927-10-21	NA 	1927-10-21	0	0-20000-0-03872	1927-10-18	1987-07-02	4	50.79999923706055	-1.100000023841858	THORNEY ISLAND
64	NA	NA	NA	NA	NA	0-20000-0-16531	1927-10-14	1927-10-14	1	1.0	40.91999816894531	9.5
65	NA	NA	NA	NA	NA	0-20000-0-72366	1945-02-04	1945-06-25	153	153.0	34.43000030517578	-100.28
66	NA	NA	NA	NA	NA	0-20000-0-47575	1946-04-01	1948-08-31	1861	1861.0	40.821998596191406	140.769
67	NA	NA	NA	NA	NA	0-20000-0-11082	2015-03-11	2015-03-11	1	1.0	47.970001220703125	16.27
68	NA	NA	NA	NA	NA	0-20500-0-16602	1943-04-21	1956-08-22	5182	5182.0	67.0999984741211	-62.35
69	NA 	1978-12-26	7	1979-01-01	6	0-20000-0-40794	1943-11-21	2007-10-27	2841	32.45000076293945	48.349998474121094	SAFI-ABAD DEZFUL
70	NA 	1978-12-24	99	1980-03-05	437	0-20000-0-07618	1920-10-05	2016-02-24	16564	43.566001892089844	1.4830000400543213	TOULOUSE RW
71	-922	1969-01-31	3	1990-04-26	7754	0-20000-0-72409	1921-02-01	1991-12-07	24804	40.029998779296875	-74.30999755859375	LAKEHURST/NAS, NJ.
72	NA	NA	NA	NA	NA	0-20000-0-29541	1986-01-28	1986-01-28	1	1.0	56.06999969482422	85.62
73	NA	NA	NA	NA	NA	0-20000-0-04285	1943-12-05	1945-12-31	575	575.0	59.93000030517578	-44.63
74	NA	NA	NA	NA	NA	0-20000-0-47644	1925-04-14	1950-05-31	51	51.0	35.79999923706055	139.47
75	XXX 	1998-01-13	NA	1900-01-01	-1	0-20000-0-06290	1928-01-12	1998-10-13	708	52.43000030517578	7.070000171661377	TWENTE AWS
76	NA 	1974-06-30	NA 	1974-06-30	0	0-20000-0-65028	1974-06-20	1980-03-18	3	13.0	7.699999809265137	KATSINA
77	NA	NA	NA	NA	NA	0-20000-0-96745	1910-02-16	1915-05-21	63	63.0	-6.369999885559082	106.83
78	NA	NA	NA	NA	NA	0-20000-0-47887	1937-10-25	1941-06-16	2352	2352.0	33.84299850463867	132.777
79	NA	NA	NA	NA	NA	0-20000-0-54725	2015-03-03	2015-03-03	1	1.0	37.5	117.53
80	W__ 	1979-07-18	1	1988-09-29	3360	0-20000-0-97810	1979-07-18	2022-01-08	17825	-5.679999828338623	132.75	TUAL/DUMATUBUN
81	NA	NA	NA	NA	NA	0-20000-0-31054	1986-02-03	1994-08-24	3	3.0	59.18000030517578	135.15
82	NA	NA	NA	NA	NA	0-20000-0-47584	1936-10-01	1949-07-14	4888	4888.0	39.69900131225586	141.166
83	NA	NA	NA	NA	NA	0-20500-0-12927	1943-06-01	1945-07-31	730	730.0	29.520000457763672	-90.67
84	NA	NA	NA	NA	NA	0-20000-0-07093	1920-12-22	1933-09-16	49	49.0	49.11000061035156	6.18
85	NA	NA	NA	NA	NA	0-20000-0-65594	1980-03-05	1986-04-10	2	2.0	4.75	-6.82
86	XXX 	1996-01-30	NA	1900-01-01	-1	0-20000-0-57290	1965-09-08	1999-05-18	8733	32.970001220703125	114.05000305175781	ZHUMADIAN
87	NA	NA	NA	NA	NA	0-20000-0-56182	2015-03-03	2015-03-03	1	1.0	32.66999816894531	103.6
88	NA	NA	NA	NA	NA	0-20000-0-74736	1942-11-07	1945-11-20	2589	2589.0	36.02299880981445	-102.547
89	99	1975-08-31	99	1975-08-31	0	0-20000-0-72480	1947-08-01	1990-01-30	12015	37.367000579833984	-118.36699676513672	BISHOP, CA.
90	NA	NA	NA	NA	NA	0-20000-0-60728	1986-03-22	1986-03-22	1	1.0	36.45000076293945	10.73
91	NA 	1975-01-24	NA 	1975-01-24	0	0-20000-0-12580	1969-10-20	1990-05-20	472	50.099998474121094	22.049999237060547	RZESZOW-JASIONKA
92	NA	NA	NA	NA	NA	0-20000-0-01317	1923-04-03	1942-03-31	205	205.0	60.400001525878906	5.32
93	NA 	1942-03-31	NA 	1942-03-31	0	0-20000-0-43064	1926-05-11	2020-01-10	1155	18.520000457763672	73.91999816894531	PUNE / LOHOGAON AERODROME
94	NA	NA	NA	NA	NA	0-20500-0-80412	1943-12-15	1945-08-31	883	883.0	-6.619999885559082	147.85
95	NA	NA	NA	NA	NA	0-20500-0-12928	1943-01-01	1946-03-29	1545	1545.0	27.5	-97.8
96	NA 	1954-07-27	99	1981-01-29	9682	0-20000-0-38589	1954-07-10	1992-04-28	58	40.5	68.76000213623047	JANGIER
97	NA	NA	NA	NA	NA	0-20300-0-23011	1943-10-11	1945-06-21	968	968.0	32.25	-107.717
98	NA	NA	NA	NA	NA	0-20400-0-5558	1925-07-09	1926-07-09	7	7.0	33.33000183105469	45.0
99	NA 	1947-02-26	NA 	1947-02-26	0	0-20000-0-16289	1926-01-16	1990-05-31	787	40.880001068115234	14.279999732971191	NAPOLI/CAPODICHINO
100	NA	NA	NA	NA	NA	0-20500-0-80413	1944-02-18	1944-09-18	258	258.0	-5.630000114440918	146.5
101	NA	NA	NA	NA	NA	0-20000-0-41176	1979-08-20	1980-10-23	2	2.0	24.899999618530273	51.55
102	NA	NA	NA	NA	NA	0-20000-0-98531	1944-12-18	1945-12-30	619	619.0	12.369999885559082	121.05
103	NA	NA	NA	NA	NA	0-20000-0-48840	1990-05-23	1997-05-03	3	3.0	19.799999237060547	105.78
104	NA	NA	NA	NA	NA	0-20000-0-72432	1929-10-19	1975-09-02	38878	38878.0	38.04999923706055	-87.533
105	-922	1977-12-12	99	1984-01-21	2231	0-20000-0-80450	1951-11-14	2012-11-01	5352	7.900000095367432	-67.41999816894531	SAN FERNANDO DE APURE
106	NA	NA	NA	NA	NA	0-20500-0-80415	1944-02-23	1944-10-31	323	323.0	-5.46999979019165	148.42
107	NA	NA	NA	NA	NA	0-504-1-60098	1945-05-01	1945-06-14	49	49.0	31.0	-8.13
108	NA	NA	NA	NA	NA	0-20000-0-47893	1933-01-09	1949-07-13	4969	4969.0	33.56800079345703	133.549
109	NA	NA	NA	NA	NA	0-20000-0-61240	1990-05-23	1999-02-01	2	2.0	15.329999923706055	-1.68
110	NA	NA	NA	NA	NA	0-20000-0-47662	1925-04-14	1950-05-18	6522	6522.0	35.68000030517578	139.77
111	NA	NA	NA	NA	NA	0-20000-0-70178	1944-02-18	1945-11-16	805	805.0	65.19999694824219	-152.2
112	NA	NA	NA	NA	NA	0-20300-0-26601	1943-09-28	1945-10-25	593	593.0	68.3499984741211	-166.783
113	NA	NA	NA	NA	NA	0-20000-0-94248	1979-04-07	1980-05-21	2	2.0	-15.729999542236328	136.8
114	99	1977-05-18	99	1977-05-18	0	0-20000-0-72408	1925-12-10	1991-03-06	35989	39.880001068115234	-75.16999816894531	PHILADELPHIA/INT., PA.
115	NA	NA	NA	NA	NA	0-20000-0-61520	1943-05-18	1945-09-12	313	313.0	15.920000076293945	-5.72
116	3	1980-02-04	3	1980-02-04	0	0-20000-0-47099	1980-02-04	1995-11-13	3861	37.869998931884766	126.80000305175781	PAJU
117	NA	NA	NA	NA	NA	0-20000-0-61045	1990-06-08	1990-06-08	1	1.0	13.979999542236328	10.3
118	NA 	1978-12-29	7	1979-01-02	3	0-20500-0-33703	1926-02-01	2010-10-15	48362	34.02000045776367	71.58000183105469	PESHAWAR
119	NA	NA	NA	NA	NA	0-20500-0-80419	1943-08-18	1943-09-24	44	44.0	-6.869999885559082	146.35
120	NA	NA	NA	NA	NA	0-20400-0-5514	1932-08-04	1933-08-24	175	175.0	69.52999877929688	31.22
121	NA	NA	NA	NA	NA	0-20000-0-70218	1943-10-12	1945-09-01	596	596.0	60.20000076293945	-166.1
122	NA	NA	NA	NA	NA	0-20500-0-23015	1944-02-15	1945-06-30	526	526.0	34.47999954223633	-104.22
123	NA 	1968-02-22	99	1984-06-22	5964	0-20000-0-17124	1967-05-13	1987-10-25	233	39.77000045776367	30.520000457763672	ESKISEHIR HAVALIMANI
124	H9G 	2010-04-06	131	2016-10-22	2391	0-20001-0-56137	1956-08-20	2021-12-31	42208	31.170000076293945	97.2699966430664	QAMDO (56137-1)
125	NA	NA	NA	NA	NA	0-20400-0-6064	1931-01-19	1932-12-31	435	435.0	45.66600036621094	0.216
126	NA	NA	NA	NA	NA	0-20500-0-80422	1944-04-24	1945-08-20	716	716.0	-3.200000047683716	142.45
127	VN8 	2006-03-07	81	2006-03-15	8	0-20000-0-14430	1926-02-26	2022-01-08	12885	44.119998931884766	15.319999694824219	ZADAR RS
128	NA	NA	NA	NA	NA	0-20500-0-23018	1944-12-20	1945-06-25	85	85.0	32.75	-103.22
129	NA	NA	NA	NA	NA	0-20000-0-70207	1943-07-01	1945-11-14	2010	2010.0	63.882999420166016	-160.8
130	VC_ 	1988-11-16	61	1999-06-24	3872	0-20000-0-63450	1957-02-20	2021-10-25	16078	9.0	38.72999954223633	ADDIS ABABA-BOLE
131	NA	NA	NA	NA	NA	0-20000-0-12250	1927-06-11	1934-03-15	30	30.0	53.02000045776367	18.6
132	NA	NA	NA	NA	NA	0-20500-0-40102	1945-05-23	1945-08-09	118	118.0	5.03000020980835	119.73
133	NA	NA	NA	NA	NA	0-20500-0-51401	1947-04-13	1947-05-20	71	71.0	-17.200000762939453	-43.67
134	NA	NA	NA	NA	NA	0-20000-0-89601	1957-06-30	1958-11-17	558	558.0	-66.2699966430664	100.73
135	NA	NA	NA	NA	NA	0-20500-0-26610	1944-02-01	1944-08-29	83	83.0	62.5	-164.42
136	NA	NA	NA	NA	NA	0-20400-0-5029	1928-07-17	1928-07-19	5	5.0	39.70000076293945	73.2
137	NA	NA	NA	NA	NA	0-20500-0-40305	1945-03-17	1947-05-31	304	304.0	7.0	134.25
138	NA	NA	NA	NA	NA	0-20000-0-94983	1981-05-18	1981-05-18	1	1.0	-40.97999954223633	148.33
139	XXX 	2006-09-29	61	2006-10-02	3	0-20000-0-61415	1940-01-01	2017-04-24	47924	20.920000076293945	-17.035999298095703	NOUADHIBOU
140	NA	NA	NA	NA	NA	0-20000-0-72418	1943-07-17	1945-06-11	1098	1098.0	39.67300033569336	-75.601
141	NA	NA	NA	NA	NA	0-20000-0-03827	1922-07-17	1934-06-21	165	165.0	50.369998931884766	-4.13
142	NA	NA	NA	NA	NA	0-20300-0-23027	1943-10-03	1945-10-27	1834	1834.0	31.520000457763672	-102.87
143	NA	NA	NA	NA	NA	0-20000-0-72593	1929-07-01	1945-02-28	1273	1273.0	36.66299819946289	-121.605
144	NA	NA	NA	NA	NA	0-20000-0-61766	1952-03-08	1967-06-19	2738	2738.0	11.883000373840332	-15.65
145	NA	NA	NA	NA	NA	0-20000-0-96421	1981-05-07	2002-10-23	7	7.0	2.3299999237060547	111.83
146	NA	NA	NA	NA	NA	0-20500-0-13709	1944-01-11	1945-09-26	399	399.0	39.369998931884766	-75.07
147	99	1978-12-29	99	1978-12-29	0	0-20000-0-41560	1969-10-17	2018-03-03	3131	33.900001525878906	70.0999984741211	PARACHINAR
148	NA	NA	NA	NA	NA	0-20000-0-74730	1929-01-02	1935-09-29	881	881.0	30.16699981689453	-102.417
149	H9G 	2005-10-31	132	2016-10-10	3997	0-20000-0-52323	1963-09-01	2021-12-31	39705	41.79999923706055	97.03299713134766	MAZONG SHAN
150	NA	NA	NA	NA	NA	0-20000-0-95303	1956-04-13	1956-06-19	71	71.0	-20.399999618530273	115.5
151	NA	NA	NA	NA	NA	0-20000-0-98440	1981-05-01	1984-08-22	2	2.0	14.130000114440918	122.98
152	NA	NA	NA	NA	NA	0-20300-0-13711	1942-12-04	1951-08-31	2430	2430.0	34.79999923706055	-79.367
153	NA	NA	NA	NA	NA	0-20000-0-74787	1943-11-01	1946-04-10	615	615.0	29.18000030517578	-81.07
154	NA	NA	NA	NA	NA	0-20300-0-94937	1917-12-17	1932-02-29	8993	8993.0	45.97999954223633	-98.57
155	NA	NA	NA	NA	NA	0-20000-0-02119	1981-06-04	2001-09-02	6	6.0	66.94999694824219	17.75
156	NA	NA	NA	NA	NA	0-20300-0-23031	1928-06-29	1935-09-30	1411	1411.0	32.33000183105469	-108.7
157	??? 	1997-10-28	79	2011-08-05	5029	0-20000-0-76256	1948-05-01	2022-01-08	35073	27.850000381469727	-110.9000015258789	EMPALME, SON.
158	99	1978-02-10	99	1978-02-10	0	0-20000-0-64753	1963-07-01	1987-07-16	7410	18.0	19.170000076293945	FAYA
159	99	1981-06-15	99	1981-06-15	0	0-20000-0-28240	1981-06-15	1990-07-16	3	57.880001068115234	60.06999969482422	NIZHNYJ TAGIL
160	NA	NA	NA	NA	NA	0-20000-0-10131	1926-09-16	1928-11-17	61	61.0	53.83000183105469	8.78
161	NA	NA	NA	NA	NA	0-20000-0-74629	1946-05-28	1946-10-25	8	8.0	32.400001525878906	-106.15
162	NA	NA	NA	NA	NA	0-20500-0-13713	1943-06-12	1945-07-28	774	774.0	35.349998474121094	-77.97
163	NA	NA	NA	NA	NA	0-20500-0-41407	1921-07-01	1941-05-30	3926	3926.0	13.470000267028809	144.25
164	VNg 	2005-11-30	NA	1900-01-01	-1	0-20000-0-74004	1954-05-11	2022-01-05	23538	32.849998474121094	-114.4000015258789	YUMA PROVING GROUNDS AZ. (K1Y7)
165	NA 	1978-12-28	99	1980-02-19	418	0-20000-0-93615	1966-11-18	2012-04-09	40709	-42.709999084472656	170.97999572753906	HOKITIKA AERO AWS
166	99	1981-06-03	99	1981-06-03	0	0-20000-0-29759	1981-06-03	1987-09-23	2	54.33000183105469	89.27999877929688	KOMMUNAR
167	NA	NA	NA	NA	NA	0-20400-0-5638	1926-02-19	1934-06-27	22	22.0	45.650001525878906	0.15
168	NA	NA	NA	NA	NA	0-20000-0-61829	1944-10-25	1968-06-27	12419	12419.0	10.380000114440918	-9.3
169	NA	NA	NA	NA	NA	0-20500-0-80301	1944-07-15	1945-01-31	351	351.0	-0.949999988079071	134.82
170	ZRg 	2006-08-25	NA	1900-01-01	-1	0-20000-0-72672	1948-01-01	2022-01-09	42316	43.06999969482422	-108.48999786376953	RIVERTON, WY.
171	NA	NA	NA	NA	NA	0-20000-0-38944	1981-09-09	1987-09-02	2	2.0	37.470001220703125	69.67
172	NA	NA	NA	NA	NA	0-300-0-16660	1982-03-07	1982-03-07	1	1.0	39.119998931884766	23.73
173	NA	NA	NA	NA	NA	0-20500-0-42005	1943-08-02	1945-10-17	844	844.0	25.420000076293945	100.73
174	XXX 	1990-12-31	NA	1900-01-01	-1	0-20000-0-42909	1941-12-01	2013-06-18	41666	20.899999618530273	70.36699676513672	VERAVAL
175	NA	NA	NA	NA	NA	0-20000-0-31655	1981-06-23	1981-06-23	1	1.0	49.45000076293945	136.57
176	NA	NA	NA	NA	NA	0-20400-0-5735	1922-06-13	1934-06-29	82	82.0	45.91999816894531	-0.98
177	NA	NA	NA	NA	NA	0-20500-0-80305	1945-01-26	1945-09-20	318	318.0	-0.5	132.08
178	NA	NA	NA	NA	NA	0-20000-0-08094	2009-10-08	2009-10-09	2	2.0	42.08000183105469	-0.33
179	NA	NA	NA	NA	NA	0-20000-0-92084	1981-09-29	1981-09-29	1	1.0	-4.019999980926514	153.65
180	NA 	1974-07-18	NA 	1974-07-18	0	0-20000-0-61297	1974-06-24	2002-11-22	19	11.399999618530273	-5.699999809265137	SIKASSO
181	NA	NA	NA	NA	NA	0-20500-0-42101	1944-04-04	1944-06-19	16	16.0	26.93000030517578	112.57
182	NA	NA	NA	NA	NA	0-20000-0-01257	1925-08-19	1928-03-26	16	16.0	63.43000030517578	10.42
183	NA	NA	NA	NA	NA	0-20000-0-33275	1981-06-18	1981-06-18	1	1.0	50.880001068115234	34.78
184	NA	NA	NA	NA	NA	0-20500-0-80309	1945-01-01	1945-07-30	158	158.0	-1.2699999809265137	136.38
185	NA	NA	NA	NA	NA	0-20000-0-94665	1981-09-21	1981-09-21	1	1.0	-34.380001068115234	137.67
186	NA	NA	NA	NA	NA	0-20000-0-65585	1982-03-20	1985-06-28	2	2.0	5.300000190734863	-3.3
187	NA	NA	NA	NA	NA	0-20500-0-42104	1944-04-05	1944-06-21	39	39.0	26.420000076293945	114.5
188	XXX 	1994-05-05	NA	1900-01-01	-1	0-20000-0-38750	1950-11-04	1999-05-25	44056	37.470001220703125	53.970001220703125	ESENGULY
189	NA	NA	NA	NA	NA	0-20500-0-80417	1979-08-07	1979-08-07	1	1.0	-8.630000114440918	146.5
190	NA	NA	NA	NA	NA	0-20500-0-80311	1944-11-01	1944-12-30	59	59.0	-1.25	136.38
191	NA	NA	NA	NA	NA	0-20000-0-40357	1981-06-02	1982-04-02	3	3.0	30.899999618530273	41.13
192	NA	NA	NA	NA	NA	0-20000-0-74466	1918-07-12	1918-12-31	131	131.0	40.880001068115234	-86.93
193	RR2 	1990-06-16	9	1993-02-01	961	0-20000-0-78325	1937-01-01	2001-12-23	16097	23.16699981689453	-82.3499984741211	CASA BLANCA,  LA HABANA
194	99	1978-12-29	99	1978-12-29	0	0-20000-0-41598	1949-05-22	2022-01-04	26170	32.93299865722656	73.71700286865234	JHELUM
195	NA	NA	NA	NA	NA	0-20000-0-68712	1982-03-04	1982-08-25	2	2.0	-32.83000183105469	17.85
196	NA	NA	NA	NA	NA	0-20500-0-43001	1944-02-09	1944-09-25	237	237.0	30.25	104.03
197	NA	NA	NA	NA	NA	0-20000-0-95666	1980-03-12	1980-03-12	1	1.0	-32.529998779296875	137.77
198	99	1978-09-13	99	1978-09-13	0	0-20000-0-08084	1966-06-21	1981-10-09	936	42.45000076293945	-2.3299999237060547	LOGRONO/AGONCILLO
199	99	1981-06-23	99	1981-06-23	0	0-20000-0-42754	1981-06-23	1998-12-31	10	22.719999313354492	75.80000305175781	INDORE
200	NA	NA	NA	NA	NA	0-20000-0-48075	1996-01-08	1996-01-08	1	1.0	19.68000030517578	97.22
201	NA	NA	NA	NA	NA	0-20500-0-43011	1945-11-01	1945-12-16	85	85.0	35.25	106.25
202	NA	NA	NA	NA	NA	0-20500-0-80402	1942-11-07	1945-08-14	1418	1418.0	-8.770000457763672	148.37
203	NA	NA	NA	NA	NA	0-20000-0-03761	1989-11-23	1989-11-23	1	1.0	51.22999954223633	-0.95
204	NA	NA	NA	NA	NA	0-20000-0-11024	1981-10-04	1985-04-04	9	9.0	48.349998474121094	15.37
205	NA	NA	NA	NA	NA	0-20000-0-43315	1981-06-05	1981-06-05	1	1.0	11.829999923706055	75.33
206	NA	NA	NA	NA	NA	0-20000-0-48103	1980-06-17	1980-06-17	1	1.0	16.5	97.62
207	99	1982-04-28	99	1982-04-28	0	0-20000-0-35078	1982-04-28	1993-08-07	12	51.81999969482422	68.37000274658203	ATBASAR
208	NA	NA	NA	NA	NA	0-20300-0-13924	1918-09-25	1931-05-16	7849	7849.0	31.5	-96.5
209	NA	NA	NA	NA	NA	0-20500-0-43012	1947-01-01	1947-10-31	221	221.0	30.670000076293945	104.67
210	NA	NA	NA	NA	NA	0-20000-0-74724	1944-11-04	1946-01-18	511	511.0	32.45000076293945	-112.85
211	NA 	1927-10-15	NA 	1927-10-15	0	0-20000-0-16129	1926-05-07	2001-04-14	8	44.099998474121094	9.829999923706055	LA SPEZIA-LA CASTELLANA
212	99	1981-10-27	99	1981-10-27	0	0-20000-0-23631	1981-10-27	1994-01-04	2	63.93000030517578	65.05000305175781	BEREZOVO
213	V8A 	1974-11-08	61	2004-10-01	10920	0-20000-0-76805	1963-03-02	2022-01-08	11436	16.829999923706055	-99.91000366210938	ACAPULCO, GRO.
