	sch	sch_date	wmo	wmo_date	delta_days	station	min_date	max_date	records	latitude	longitude	station_name
3551	NA 	1978-12-30	89	2012-10-31	12359	0-20000-0-36883	1940-02-25	2022-01-06	56768	43.483001708984375	76.98300170898438	ILIYSKY
3552	XXX 	1987-12-28	NA	1900-01-01	-1	0-20000-0-58944	1973-07-01	1987-12-28	4685	25.520000457763672	119.77999877929688	PINGTAN
3553	99	1978-12-30	99	1978-12-30	0	0-20000-0-43497	1957-06-23	2022-01-08	36243	6.119999885559082	81.12999725341797	HAMBANTOTA
3554	99	1958-10-31	99	1958-10-31	0	0-20300-0-72485	1942-12-04	1994-07-12	5088	38.06700134277344	-117.08300018310547	TONAPAH APRT (NEV)
3555	99	1978-11-26	99	1978-11-26	0	0-20000-0-41739	1964-06-07	2018-10-15	10192	26.969999313354492	64.0999984741211	PANJGUR
3556	RZW 	2005-09-13	27	2006-12-02	444	0-20000-0-28275	1951-11-13	2022-01-08	56406	58.150001525878906	68.18000030517578	TOBOL'SK
3557	NA 	1978-10-29	30	1979-05-01	183	0-20000-0-42367	1973-11-03	2016-03-18	276	26.399999618530273	80.4000015258789	KANPUR/CHAKERI
3558	RPDE	2011-07-16	116	2012-07-15	364	0-20000-0-33345	1925-04-14	2022-01-08	70138	50.45000076293945	30.5	Kyiv
3559	V8A 	1984-01-28	99	1984-01-30	2	0-20000-0-98223	1945-04-18	2022-01-08	31376	18.18000030517578	120.52999877929688	LAOAG
3560	H9G 	2003-07-31	132	2014-07-31	4018	0-20000-0-56691	1959-09-16	2021-12-31	42236	26.850000381469727	104.25	WEINING
3561	ZP9 	1985-08-07	49	2003-09-22	6619	0-20000-0-06060	1985-08-07	2022-01-07	6269	56.54999923706055	9.170000076293945	FLYVESTATION KARUP
3562	99	1985-08-12	99	1985-08-12	0	0-20000-0-31939	1985-08-12	1993-02-26	4	44.150001525878906	133.8699951171875	CUGUEVKA
3563	NA	NA	NA	NA	NA	0-20000-0-71607	2002-04-26	2002-04-26	1	1.0	45.220001220703125	-67.25
3564	NA	NA	NA	NA	NA	0-20000-0-41508	2002-05-22	2002-05-22	1	1.0	35.20000076293945	71.85
3565	NA 	1974-01-04	NA 	1974-01-04	0	0-20000-0-72767	1942-08-29	1985-08-15	21883	48.18299865722656	-103.63300323486328	WILLISTON/SLOULIN FIELD INT., ND.
3566	XXX 	1979-03-10	NA	1900-01-01	-1	0-20000-0-78637	1974-02-18	1979-03-11	707	15.720000267028809	-88.5999984741211	PUERTO BARRIOS
3567	RPK 	2011-12-06	27	2011-12-14	8	0-20000-0-35229	1946-10-01	2022-01-04	60559	50.279998779296875	57.150001525878906	AKTOBE
3568	J99 	2002-01-05	40	2016-01-15	5123	0-20000-0-58968	1954-07-06	2021-02-25	45154	25.030000686645508	121.5199966430664	TAIBEI
3569	MR5 	1986-09-30	NA	1900-01-01	-1	0-20300-0-21647	1958-03-05	1997-08-23	33096	73.18000030517578	143.92999267578125	MYS SHALAUROVA
3570	XXX 	1989-02-18	1	1989-02-19	1	0-20000-0-78641	1942-06-01	1990-07-31	16452	14.583000183105469	-90.51699829101562	GUATEMALA (AEROPUERTO LA AURORA)
3571	H2G 	1978-12-30	H2G 	1978-12-30	0	0-20300-0-52889	1945-12-01	2001-06-30	33511	36.0	103.75	LANZHOU
3572	VGG 	2003-08-25	67	2006-01-05	864	0-20000-0-44212	1970-06-01	2022-01-08	22327	49.970001220703125	92.08000183105469	ULAANGOM
3573	NA	NA	NA	NA	NA	0-20500-0-93765	1994-12-23	1994-12-23	1	1.0	34.5	-76.5
3574	0	1986-06-05	0	1986-06-05	0	0-20500-0-25034	1986-06-05	1993-08-31	3577	57.349998474121094	-107.12999725341797	CREE LAKE
3575	XXX 	1987-12-30	99	1987-12-31	1	0-20000-0-59007	1958-01-01	1993-06-27	9883	24.030000686645508	105.02999877929688	GUANGNAN
3576	C@  	1978-12-29	82	1992-09-12	5006	0-20000-0-17240	1966-05-05	2022-01-08	34363	37.75	30.549999237060547	ISPARTA
3577	XXX 	1998-05-03	121	2019-07-25	7753	0-20000-0-43201	1944-01-01	2021-11-18	39407	15.420000076293945	75.62999725341797	GADAG
