#primary_id	ncar_flag	igra2_flag	bufr_flag
0-20000-0-72256          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_72256.txt	/raid60/scratch/federico/databases/IGRAv2//USM00072256-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.72256.bfr
# ncar		WACO, MADISON-COOPER, TX.		31.62		262.78		1966-04-01		1973-10-30
# bufr		WACO, MADISON-COOPER, TX.		31.62		-97.22		1966-04-01		1972-12-31
# igra2		WACO, MADISON-COOPER, TX.		31.617		-97.217		1940-01-01		1976-12-31
0-20000-0-10639          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_10639.txt	/raid60/scratch/federico/databases/IGRAv2//GMM00010639-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.10639.bfr
# ncar		OFFENTHAL (RADAR)		49.87		8.65		1972-08-04		1973-10-25
# bufr		OFFENTHAL (RADAR)		49.87		8.65		1972-08-04		1975-08-11
# igra2		OFFENTHAL (RADAR)		50.017		8.667		1973-01-01		1975-12-31
0-20000-0-87412          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-26310          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-96557          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-16289          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-60590          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_60590.txt	/raid60/scratch/federico/databases/IGRAv2//AGM00060590-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.60590.bfr
