level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables	kind
0	0	0-20000-0-84001	BALTRA AEROPUERTO (GALAPAGOS)	-0.4538888888888889	-90.26583333333333	63.0	Surface land meteorological station (SYNOP), GOS, RBSN(S)	00 27 14S	090 15 57W	84001	999.0	999.0	False	0.6		OSCAR	0-20000-0-84001	None	None	None	None																						[-0.45, -0.45]	[-90.27, -90.27]	era5.conv._84001	era5_1	19920509	19920509	84001	0-20000-0-84001	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															IGRA2	0-20300-0-nan	None	None	None	None																						[-0.45, -0.45]	[-90.27, -90.27]	era5.conv._84001	era5_1	19920509	19920509	84001	0-20000-0-84001	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		GALAPAGOS IS NF	-0.43	-90.28	23.1648				50904	19421001.0	19460331.0		2.5		WBAN	0-20500-0-50904	None	None	None	None																						[-0.45, -0.45]	[-90.27, -90.27]	era5.conv._84001	era5_1	19920509	19920509	84001	0-20000-0-84001	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
1	1		GALAPAGOS ISLAND	-0.47	-90.3	11.277600000000001				50903	19420801.0	19481130.0		4.0		WBAN	0-20500-0-50903	None	None	None	None																						[-0.45, -0.45]	[-90.27, -90.27]	era5.conv._84001	era5_1	19920509	19920509	84001	0-20000-0-84001	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															CHUAN	0-20400-0-nan	None	None	None	None																						[-0.45, -0.45]	[-90.27, -90.27]	era5.conv._84001	era5_1	19920509	19920509	84001	0-20000-0-84001	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		Seymour Island (Operated by US Army), Galapagos Islands, Ecuador	-0.46	-90.29	-999.0				84005				2.5		SCHROEDER	0-20600-0-84005	None	None	None	None		84005.0	3544.0	1942-10-01 00:00:00	1942-10-01 00:00:00																	[-0.45, -0.45]	[-90.27, -90.27]	era5.conv._84001	era5_1	19920509	19920509	84001	0-20000-0-84001	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															WMO	0-20700-0-nan	None	None	None	None																						[-0.45, -0.45]	[-90.27, -90.27]	era5.conv._84001	era5_1	19920509	19920509	84001	0-20000-0-84001	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															AMMA	0-20800-0-nan	None	None	None	None																						[-0.45, -0.45]	[-90.27, -90.27]	era5.conv._84001	era5_1	19920509	19920509	84001	0-20000-0-84001	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															HARA	0-20111-0-nan	None	None	None	None																						[-0.45, -0.45]	[-90.27, -90.27]	era5.conv._84001	era5_1	19920509	19920509	84001	0-20000-0-84001	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
