level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables	kind
0	0	0-20000-0-70121	POINT LAY	69.81666666666666	-162.91666666666666		Surface land meteorological station (SYNOP), GOS	69 49 00N	162 55 00W	70121	999.0	999.0	False	0.4		OSCAR	0-20000-0-70121	None	None	None	None																						[69.82, 69.82]	[-162.92, -162.92]	era5.conv._70121	era5_1	19880920	20050620	70121	0-20000-0-70121	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															IGRA2	0-20300-0-nan	None	None	None	None																						[69.82, 69.82]	[-162.92, -162.92]	era5.conv._70121	era5_1	19880920	20050620	70121	0-20000-0-70121	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		POINT LAY	69.75	-163.05	3.9624				26624	19580331.0	19590430.0		9.3		WBAN	0-20500-0-26624	None	None	None	None																						[69.82, 69.82]	[-162.92, -162.92]	era5.conv._70121	era5_1	19880920	20050620	70121	0-20000-0-70121	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
1	1		POINT LAY	69.75	-163.05	3.9624				26624	19580301.0	19580331.0		9.3		WBAN	0-20500-0-26624	None	None	None	None																						[69.82, 69.82]	[-162.92, -162.92]	era5.conv._70121	era5_1	19880920	20050620	70121	0-20000-0-70121	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
2	2		POINT LAY	69.75	-163.05	4.8768				26624	19410901.0	19420630.0		9.3		WBAN	0-20500-0-26624	None	None	None	None																						[69.82, 69.82]	[-162.92, -162.92]	era5.conv._70121	era5_1	19880920	20050620	70121	0-20000-0-70121	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
3	3		POINT LAY	69.75	-163.05	4.8768				26624	19420630.0	19430201.0		9.3		WBAN	0-20500-0-26624	None	None	None	None																						[69.82, 69.82]	[-162.92, -162.92]	era5.conv._70121	era5_1	19880920	20050620	70121	0-20000-0-70121	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
4	4		POINT LAY	69.75	-163.05	4.8768				26624	19430201.0	19441231.0		9.3		WBAN	0-20500-0-26624	None	None	None	None																						[69.82, 69.82]	[-162.92, -162.92]	era5.conv._70121	era5_1	19880920	20050620	70121	0-20000-0-70121	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
5	5		POINT LAY	69.75	-163.05	4.8768				26624	19441231.0	19450401.0		9.3		WBAN	0-20500-0-26624	None	None	None	None																						[69.82, 69.82]	[-162.92, -162.92]	era5.conv._70121	era5_1	19880920	20050620	70121	0-20000-0-70121	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
6	6		POINT LAY	69.75	-163.05	4.8768				26624	19450401.0	19481231.0		9.3		WBAN	0-20500-0-26624	None	None	None	None																						[69.82, 69.82]	[-162.92, -162.92]	era5.conv._70121	era5_1	19880920	20050620	70121	0-20000-0-70121	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
7	7		POINT LAY	69.75	-163.05	4.8768				26624	19481231.0	19490901.0		9.3		WBAN	0-20500-0-26624	None	None	None	None																						[69.82, 69.82]	[-162.92, -162.92]	era5.conv._70121	era5_1	19880920	20050620	70121	0-20000-0-70121	[36, 38, 39, 85, 104, 105, 106, 107, 117]	identified
