	date_time	sensor_id	value	source	comment
0	1963-07-09 11:00:00	W__ 	1	SCH	  W__ Wind only, method unspecified^
13580	1995-04-21 11:00:00	VEv 	1	SCH	  VEv Vaisala RS80 Star auto solar corr, Omega wind 31313=56305^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=O>
14450	2001-05-07 11:00:00	VEn 	1	SCH	  VEn Vaisala RS80 Star auto solar corr, no wind 31313=56300^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=none>
14577	2001-08-16 10:00:00	VEG 	1	SCH	  VEG Vaisala RS80 Star auto corr, GPS wind 31313=46308^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G>
15473	2006-03-26 11:00:00	XXX 	1	SCH	  XXX Reject all obs with this station ID in this period^ misidentified or erroneous observations which should be rejected
15474	2006-05-29 11:00:00	FG2 	1	SCH	  FG2 France Geolink GPSonde M2K2 {2003} 31313=55608^ (W3=56) <F=T400-406DL,P=0,T=TC,U=A,W=D or N=GC>
693	2014-08-21 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
714	2014-10-07 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
1250	2015-08-02 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
1338	2015-11-03 10:44:00	177	2	WMO	Modem GPSonde M10 (France)                           
1854	2016-11-28 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
1982	2017-02-23 10:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
1997	2017-03-02 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2245	2017-06-28 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2251	2017-07-01 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2257	2017-07-04 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2261	2017-07-06 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2285	2017-07-20 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2286	2017-07-22 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2306	2017-08-04 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2308	2017-08-05 10:00:00	57	2	WMO	Modem M2K2-DC (France)                
2311	2017-08-06 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2313	2017-08-07 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2319	2017-08-10 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2321	2017-08-11 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2325	2017-08-14 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2327	2017-08-15 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2332	2017-08-18 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2334	2017-08-19 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2351	2017-08-28 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2353	2017-08-29 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2356	2017-08-31 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2361	2017-09-03 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2363	2017-09-04 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2368	2017-09-07 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2370	2017-09-08 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2372	2017-09-10 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2374	2017-09-11 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2467	2017-11-12 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2470	2017-11-14 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
3189	2021-06-21 23:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3397	2021-12-21 04:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3398	2021-12-21 23:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3400	2021-12-22 16:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3401	2021-12-23 22:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3405	2021-12-25 16:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3407	2021-12-26 11:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3415	2021-12-29 17:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3417	2021-12-30 23:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
