	date_time	sensor_id	value	source	comment
0	1941-10-09 23:00:00	J56 	1	SCH	  J56 Japan Meisei RSII-56 1680 MHz radiosonde {1956}^ (I=J, W1=05, W2=09 through 198505, C=748) <F=V1680ME,P=2A,T=BS,U=Hr>
39146	1981-03-02 00:00:00	J80 	1	SCH	  J80 Japan Meisei RSII-80 or RS2-80 radiosonde {1981} 31313=72202^ (W2=09, W3=22, 31313=72202) <F=T1680FB,P=A,T=TR,U=C>
55628	1992-11-16 00:00:00	J93 	1	SCH	  J93 Japan Meisei RSII-91 radiosonde, SiO type 93 uncoated thermistor {1991} 31313=74702^ (W3=47) <F=T1680FL,P=Ac,T=TR,U=A>
64955	1999-06-26 12:00:00	J99 	1	SCH	  J99 Japan Meisei RSII-91 new hygrometer radiosonde {199907} 31313=74702^ (W3=47) <F=T1680FL,P=Ac,T=TR,U=A>
70048	2003-02-01 00:00:00	J9H 	1	SCH	  J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702^ (W3=47) <F=T1680FL,P=Ac,T=TR,U=A>
0	2013-01-01 00:00:00	81	2	WMO	Vaisala RS92/Autosonde (Finland)                
3735	2018-02-20 12:00:00	80	2	WMO	Vaisala RS92/Digicora III (Finland)               
3751	2018-02-28 12:00:00	142	2	WMO	Vaisala RS41 with pressure derived from GPS height/ AUTOSONDE (Finland)                     
7613	1957-01-01 00:00:00	IGRA2	3	IGRA2	CHANGE SONDE MODEL , JAPAN MEISEI OR KUBOTA S-50M-L , to , JAPAN MEISEI RSII-56 1680 MHZ 
7614	1960-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , VAISALA RS53 ERRONEOUS 
7615	1960-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I2 , VAISALA RS56 ERRONEOUS 
7616	1960-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I3 , VAISALA RS 2 56 ERRONEOUS 
7618	1981-03-01 00:00:00	IGRA2	3	IGRA2	CHANGE SONDE MODEL , JAPAN MEISEI RSII-56 1680 MHZ , to , JAPAN MEISEI RSII-80 
7620	1982-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , JAPAN MEISEI RSII-80 
7620	1982-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , JAPAN MEISEI RSII-80 
7623	1989-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , JAPAN MEISEI UNSPECIFIED 
7625	1993-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , JAPAN MEISEI RSII-91 UNSPECIFIED 
7627	1995-11-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , JAPAN MEISEI RSII-91 TYPE 94 THERMISTOR 
7634	2007-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , JAPAN MEISEI RSII-91 RH CORRECTION 
