	date_time	sensor_id	value	source	comment
0	1944-01-01 02:00:00	W_P 	1	SCH	  W_P Wind only, pilot balloon (pibal)^
24435	1998-05-04 11:00:00	XXX 	1	SCH	  XXX Reject all obs with this station ID in this period^ misidentified or erroneous observations which should be rejected
25120	2000-04-13 11:00:00	W_P 	1	SCH	  W_P Wind only, pilot balloon (pibal)^
25125	2000-04-16 17:00:00	XXX 	1	SCH	  XXX Reject all obs with this station ID in this period^ misidentified or erroneous observations which should be rejected
26490	2003-03-19 11:00:00	W_P 	1	SCH	  W_P Wind only, pilot balloon (pibal)^
26949	2003-10-23 11:00:00	XXX 	1	SCH	  XXX Reject all obs with this station ID in this period^ misidentified or erroneous observations which should be rejected
28437	2005-07-30 11:00:00	W_P 	1	SCH	  W_P Wind only, pilot balloon (pibal)^
5660	2019-07-25 12:00:00	21	2	WMO	VIZ/Jin Yang MARK I MICROSONDE (Republic of Korea)           
6974	1982-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , INDIA MARK 3 
6974	1982-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , INDIA MARK 3 
6974	1982-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , INDIA MARK 3 
