	Unnamed: 0	date_time	sensor_id	value	source	comment
5910	5910.0	2020-10-08 11:30:32	177	2	WMO	Modem GPSonde M10 (France)                           
5911	5911.0	2020-10-08 23:31:23	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5912	5912.0	2020-10-09 11:31:07	177	2	WMO	Modem GPSonde M10 (France)                           
5915	5915.0	2020-10-10 23:30:15	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5916	5916.0	2020-10-11 11:30:54	177	2	WMO	Modem GPSonde M10 (France)                           
5918	5918.0	2020-10-12 02:16:42	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5919	5919.0	2020-10-12 11:31:29	177	2	WMO	Modem GPSonde M10 (France)                           
5920	5920.0	2020-10-12 23:30:14	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5921	5921.0	2020-10-13 11:31:28	177	2	WMO	Modem GPSonde M10 (France)                           
5924	5924.0	2020-10-14 23:30:51	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5925	5925.0	2020-10-15 11:30:24	177	2	WMO	Modem GPSonde M10 (France)                           
5926	5926.0	2020-10-15 23:30:09	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5927	5927.0	2020-10-16 11:35:06	177	2	WMO	Modem GPSonde M10 (France)                           
5928	5928.0	2020-10-16 23:30:34	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5929	5929.0	2020-10-17 11:34:59	177	2	WMO	Modem GPSonde M10 (France)                           
5932	5932.0	2020-10-18 23:30:15	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5933	5933.0	2020-10-19 11:30:20	177	2	WMO	Modem GPSonde M10 (France)                           
5936	5936.0	2020-10-20 23:30:14	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5937	5937.0	2020-10-21 11:32:03	177	2	WMO	Modem GPSonde M10 (France)                           
5938	5938.0	2020-10-21 23:30:12	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5939	5939.0	2020-10-22 11:31:57	177	2	WMO	Modem GPSonde M10 (France)                           
5940	5940.0	2020-10-22 23:30:16	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5941	5941.0	2020-10-23 11:31:23	177	2	WMO	Modem GPSonde M10 (France)                           
5944	5944.0	2020-10-24 23:30:09	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5945	5945.0	2020-10-25 11:32:16	177	2	WMO	Modem GPSonde M10 (France)                           
5948	5948.0	2020-10-26 23:31:25	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5949	5949.0	2020-10-27 11:30:27	177	2	WMO	Modem GPSonde M10 (France)                           
5952	5952.0	2020-10-28 23:30:12	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5953	5953.0	2020-10-29 11:34:01	177	2	WMO	Modem GPSonde M10 (France)                           
5954	5954.0	2020-10-29 23:30:10	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5955	5955.0	2020-10-30 12:53:10	177	2	WMO	Modem GPSonde M10 (France)                           
5956	5956.0	2020-10-30 23:30:13	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5957	5957.0	2020-10-31 11:32:11	177	2	WMO	Modem GPSonde M10 (France)                           
5960	5960.0	2020-11-01 23:30:13	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5961	5961.0	2020-11-02 12:27:28	177	2	WMO	Modem GPSonde M10 (France)                           
5964	5964.0	2020-11-03 23:30:12	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5965	5965.0	2020-11-04 11:31:24	177	2	WMO	Modem GPSonde M10 (France)                           
