	date_time	sensor_id	value	source	comment
0	1944-11-25 00:00:00	H2G 	1	SCH	"  H2G China GZZ-2, GZZ-59, GZZ (P-59), SMA-GZZ, 59-701 or ""Shang/M, P-band radar"" (mechanical) sonde {~1961} WMO instr=32^ (T=045, W2=19, W3=32)"
35152	2004-06-30 23:00:00	H9G 	1	SCH	"  H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)^ <F=T1675DL,"
1017	2014-05-25 11:00:00	132	2	WMO	Shanghai GTS1/GFE(L) (China)                            
5571	2020-08-20 11:15:07	202	2	WMO	NA
5604	2020-09-05 23:15:29	201	2	WMO	NA
5610	2020-09-08 23:15:08	202	2	WMO	NA
5638	2020-09-22 23:27:30	200	2	WMO	NA
5741	2020-11-13 11:15:18	201	2	WMO	NA
5961	2021-03-03 11:15:37	202	2	WMO	NA
6104	2021-05-13 23:15:15	200	2	WMO	NA
6276	2021-08-07 23:15:05	202	2	WMO	NA
6277	2021-08-08 11:15:14	200	2	WMO	NA
6279	2021-08-09 11:15:17	202	2	WMO	NA
3707	1989-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , CHINA GZZ-2 403 MHZ 
3707	1989-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , CHINA GZZ-2 403 MHZ 
3712	2006-03-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , CHINA GTS1 1680 MHZ 
