	date_time	sensor_id	value	source	comment
0	1986-01-23 12:00:00	V8A 	1	SCH	  V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37^ (assume W2=04 or 14, W3=37) <F=T403FL or 1680AL,P=Ac,T=CB,U=A>
0	2015-05-03 00:00:00	79	2	WMO	Vaisala RS92/Digicora I, II or Marwin (Finland)            
27	2015-06-20 12:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
28	2015-07-16 00:00:00	79	2	WMO	Vaisala RS92/Digicora I, II or Marwin (Finland)            
476	2017-01-19 00:00:00	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
724	2017-11-07 00:00:00	114	2	WMO	Vaisala RS92/DigiCORA MW41 (Finland)                           
738	2017-12-11 00:00:00	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
820	2018-03-19 00:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
877	2018-06-09 00:00:00	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
880	2018-06-13 00:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
886	2020-11-18 12:00:00	90	2	WMO	Radiosonde not specified or unknown             
897	2020-12-16 00:00:00	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
901	2020-12-21 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
902	2020-12-22 00:00:00	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
910	2020-12-30 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
911	2020-12-31 00:00:00	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
915	2021-01-05 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
916	2021-01-06 00:00:00	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
930	2021-02-20 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
931	2021-02-21 00:00:00	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
938	2021-02-28 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
939	2021-03-01 00:00:00	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
943	2021-03-16 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
944	2021-03-17 00:00:00	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
7314	1982-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , VAISALA RS18 
7316	1986-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , VAISALA RS21 UNSPECIFIED 
7317	1989-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , VAISALA RS80 UNSPECIFIED 
7317	1989-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , VAISALA RS80 UNSPECIFIED 
