	date_time	sensor_id	value	source	comment
0	1956-08-20 15:00:00	H2G 	1	SCH	"  H2G China GZZ-2, GZZ-59, GZZ (P-59), SMA-GZZ, 59-701 or ""Shang/M, P-band radar"" (mechanical) sonde {~1961} WMO instr=32^ (T=045, W2=19, W3=32)"
35649	2004-05-31 23:00:00	H9G 	1	SCH	"  H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)^ <F=T1675DL,"
1892	2015-08-05 11:00:00	132	2	WMO	Shanghai GTS1/GFE(L) (China)                            
5571	2020-08-20 11:15:17	201	2	WMO	NA
5699	2020-10-23 11:16:11	200	2	WMO	NA
5841	2021-01-02 11:15:26	201	2	WMO	NA
5999	2021-03-22 11:15:15	202	2	WMO	NA
6093	2021-05-08 11:15:20	200	2	WMO	NA
6495	2021-11-25 11:15:34	202	2	WMO	NA
3799	1956-12-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , USSR RZ-049 UNSPECIFIED 
3802	1966-01-01 00:00:00	IGRA2	3	IGRA2	CHANGE SONDE MODEL , USSR RZ-049 UNSPECIFIED , to , CHINA GZZ-2 403 MHZ 
3803	1976-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , CHINA GZZ-2 403 MHZ 
3803	1976-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , CHINA GZZ-2 403 MHZ 
3803	1976-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , CHINA GZZ-2 403 MHZ 
3803	1976-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , CHINA GZZ-2 403 MHZ 
3811	2006-03-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , CHINA GTS1 1680 MHZ 
