	time	snht
0	1951-10-20	0.0
1	1951-10-21	0.0
2	1951-10-22	0.0
3	1951-10-23	0.0
4	1951-10-24	0.0
5	1951-10-25	0.0
6	1951-10-26	0.0
7	1951-10-27	0.0
8	1951-10-28	0.0
9	1951-10-29	0.0
10	1951-10-30	0.0
11	1951-10-31	0.0
12	1951-11-01	0.0
13	1951-11-02	0.0
14	1951-11-03	0.0
15	1951-11-04	0.0
16	1951-11-05	0.0
17	1951-11-06	0.0
18	1951-11-07	0.0
19	1951-11-08	0.0
20	1951-11-10	0.0
21	1951-11-11	0.0
22	1951-11-12	0.0
23	1951-11-13	0.0
24	1951-11-16	0.0
25	1951-11-17	0.0
26	1951-11-21	0.0
27	1951-11-22	0.0
28	1951-11-25	0.0
29	1951-11-26	0.0
30	1951-11-27	0.0
31	1951-11-29	0.0
32	1951-11-30	0.0
33	1951-12-01	0.0
34	1951-12-02	0.0
35	1951-12-03	0.0
36	1951-12-04	0.0
37	1951-12-05	0.0
38	1951-12-08	0.0
39	1951-12-09	0.0
40	1951-12-10	0.0
41	1951-12-11	0.0
42	1951-12-13	0.0
43	1951-12-14	0.0
44	1951-12-17	0.0
45	1951-12-18	0.0
46	1951-12-23	0.0
47	1951-12-27	0.0
48	1951-12-28	0.0
49	1952-01-01	0.0
50	1952-01-03	0.0
51	1952-01-04	0.0
52	1952-01-05	0.0
53	1952-01-06	0.0
54	1952-01-07	0.0
55	1952-01-09	0.0
56	1952-01-10	0.0
57	1952-01-11	0.0
58	1952-01-12	0.0
59	1952-01-13	0.0
60	1952-01-14	0.0
61	1952-01-15	0.0
62	1952-01-20	0.0
63	1952-01-22	0.0
64	1952-01-23	0.0
65	1952-01-24	0.0
66	1952-01-25	0.0
67	1952-01-26	0.0
68	1952-01-28	0.0
69	1952-01-29	0.0
70	1952-01-30	0.0
71	1952-01-31	0.0
72	1952-02-01	0.0
73	1952-02-02	0.0
74	1952-02-03	0.0
75	1952-02-04	0.0
76	1952-02-05	0.0
77	1952-02-07	0.0
78	1952-02-08	0.0
79	1952-02-09	0.0
80	1952-02-10	0.0
81	1952-02-11	0.0
82	1952-02-12	0.0
83	1952-02-13	0.0
84	1952-02-15	0.0
85	1952-02-16	0.0
86	1952-02-17	0.0
87	1952-02-18	0.0
88	1952-02-19	0.0
89	1952-02-20	0.0
90	1952-02-21	0.0
91	1952-02-22	0.0
92	1952-02-23	0.0
93	1952-02-24	0.0
94	1952-02-25	0.0
95	1952-02-26	0.0
96	1952-02-28	0.0
97	1952-02-29	0.0
98	1952-03-01	0.0
99	1952-03-02	0.0
100	1952-03-03	0.0
101	1952-03-04	0.0
102	1952-03-07	0.0
103	1952-03-08	0.0
104	1952-03-10	0.0
105	1952-03-11	0.0
106	1952-03-12	0.0
107	1952-03-13	0.0
108	1952-03-14	0.0
109	1952-03-15	0.0
110	1952-03-16	0.0
111	1952-03-17	0.0
112	1952-03-18	0.0
113	1952-03-19	0.0
114	1952-03-20	0.0
115	1952-03-21	0.0
116	1952-03-22	0.0
117	1952-03-23	0.0
118	1952-03-25	0.0
119	1952-03-26	0.0
120	1952-03-27	0.0
121	1952-03-28	0.0
122	1952-03-30	0.0
123	1952-03-31	0.0
124	1952-04-01	0.0
125	1952-04-03	0.0
126	1952-04-04	0.0
127	1952-04-05	0.0
128	1952-04-07	0.0
129	1952-04-08	0.0
130	1952-04-09	0.0
131	1952-04-10	0.0
132	1952-04-12	0.0
133	1952-04-13	0.0
134	1952-04-14	0.0
135	1952-04-15	0.0
136	1952-04-16	0.0
137	1952-04-17	0.0
138	1952-04-18	0.0
139	1952-04-19	0.0
140	1952-04-22	0.0
141	1952-04-24	0.0
142	1952-04-26	0.0
143	1952-04-27	0.0
144	1952-04-29	0.0
145	1952-04-30	0.0
146	1952-05-01	0.0
147	1952-05-04	0.0
148	1952-05-05	0.0
149	1952-05-06	0.0
150	1952-05-08	0.0
151	1952-05-09	0.0
152	1952-05-11	0.0
153	1952-05-14	0.0
154	1952-05-15	0.0
155	1952-05-16	0.0
156	1952-05-17	0.0
157	1952-05-18	0.0
158	1952-05-19	0.0
159	1952-05-21	0.0
160	1952-05-22	0.0
161	1952-05-24	0.0
162	1952-05-25	0.0
163	1952-05-27	0.0
164	1952-05-28	0.0
165	1952-05-29	0.0
166	1952-05-30	0.0
167	1952-05-31	0.0
168	1952-06-03	0.0
169	1952-06-04	0.0
170	1952-06-05	0.0
171	1952-06-06	0.0
172	1952-06-07	0.0
173	1952-06-09	0.0
174	1952-06-10	0.0
175	1952-06-11	0.0
176	1952-06-12	0.0
177	1952-06-13	0.0
178	1952-06-14	0.0
