	date_time	sensor_id	value	source	comment
0	1940-01-01 06:00:00	W__ 	1	SCH	  W__ Wind only, method unspecified^
0	2013-01-01 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
951	2014-08-05 10:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
1443	2015-02-04 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2019	2015-12-14 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2381	2016-06-06 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2383	2016-06-07 11:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2619	2017-05-10 11:00:00	57	2	WMO	Modem M2K2-DC (France)                
2687	2017-06-11 10:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
2690	2017-06-12 10:00:00	57	2	WMO	Modem M2K2-DC (France)                
2711	2017-06-21 10:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
3399	2020-09-06 22:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3417	2020-09-16 10:00:00	177	2	WMO	Modem GPSonde M10 (France)                           
3425	2021-03-22 22:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3430	2021-03-25 22:00:00	6	2	WMO	 No radiosonde – radio-acoustic sounder             
3432	2021-03-26 22:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3460	2021-04-10 22:00:00	34	2	WMO	Vinohrady (Czechia)                 
3462	2021-04-11 22:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3480	2021-08-27 10:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3484	2021-08-31 11:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3486	2021-09-02 10:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3487	2021-09-03 10:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3489	2021-09-07 10:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3495	2021-09-14 10:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3497	2021-09-16 10:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3501	2021-09-21 10:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3502	2021-09-22 10:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3503	2021-09-23 10:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3506	2021-09-28 10:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3513	2021-10-10 10:00:00	4	2	WMO	 No radiosonde – passive temperature-humidity profiler            
3514	2021-10-11 10:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3518	2021-10-20 10:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3521	2021-10-23 10:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
3522	2021-10-25 10:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
3523	2021-10-28 10:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
