	date_time	sensor_id	value	source	comment
5583	2021-05-01 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5584	2021-05-02 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5585	2021-05-02 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5586	2021-05-03 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5587	2021-05-03 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5588	2021-05-04 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5589	2021-05-04 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5590	2021-05-05 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5591	2021-05-05 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5592	2021-05-06 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5593	2021-05-06 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5594	2021-05-07 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5595	2021-05-07 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5596	2021-05-08 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5597	2021-05-08 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5598	2021-05-09 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5599	2021-05-09 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5600	2021-05-10 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5601	2021-05-10 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5602	2021-05-11 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5603	2021-05-11 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5604	2021-05-12 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5605	2021-05-12 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5606	2021-05-13 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5607	2021-05-13 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5608	2021-05-14 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5609	2021-05-14 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5610	2021-05-15 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5611	2021-05-15 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5612	2021-05-16 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5613	2021-05-16 12:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5614	2021-05-17 00:00:00	90	2	WMO	Radiosonde not specified or unknown             
5841	2021-09-07 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5842	2021-09-07 23:30:00	90	2	WMO	Radiosonde not specified or unknown             
5859	2021-09-16 11:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5860	2021-09-16 23:30:00	90	2	WMO	Radiosonde not specified or unknown             
5861	2021-09-17 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5862	2021-09-17 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5863	2021-09-18 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5864	2021-09-18 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5865	2021-09-19 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5866	2021-09-19 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5867	2021-09-20 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5868	2021-09-20 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5869	2021-09-21 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5870	2021-09-21 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5871	2021-09-22 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5872	2021-09-22 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5873	2021-09-23 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5874	2021-09-23 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5875	2021-09-24 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5876	2021-09-24 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5877	2021-09-25 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5878	2021-09-25 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5879	2021-09-26 11:31:00	58	2	WMO	AVK-BAR (Russian Federation)                
5880	2021-09-26 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5881	2021-09-27 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5882	2021-09-27 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5883	2021-09-28 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5884	2021-09-28 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5885	2021-09-29 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5886	2021-09-29 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5887	2021-09-30 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5888	2021-09-30 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5889	2021-10-01 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5890	2021-10-02 00:00:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5891	2021-10-02 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5892	2021-10-02 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5893	2021-10-03 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5894	2021-10-03 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5895	2021-10-04 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5896	2021-10-04 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5897	2021-10-05 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5898	2021-10-05 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5899	2021-10-06 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
5900	2021-10-06 23:30:00	162	2	WMO	MARL-A or Vektor-M – MRZ-3MK (Russian Federation)                        
5901	2021-10-07 11:30:00	58	2	WMO	AVK-BAR (Russian Federation)                
