	date_time	sensor_id	value	source	comment
0	1950-01-01 04:00:00	G4  	1	SCH	  [23,24,25|05,15] French Mesural or Metox (There may be some radiation heating at 300 mb through 1976 as in stations 65578 and 91925)
30898	1991-03-23 11:00:00	V8A 	1	SCH	  V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37^ (assume W2=04 or 14, W3=37) <F=T403FL or 1680AL,P=Ac,T=CB,U=A>
496	2013-11-28 11:00:00	79	2	WMO	Vaisala RS92/Digicora I, II or Marwin (Finland)            
1311	2014-07-20 11:00:00	114	2	WMO	Vaisala RS92/DigiCORA MW41 (Finland)                           
1696	2014-11-06 11:00:00	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
2971	2016-07-18 11:00:00	114	2	WMO	Vaisala RS92/DigiCORA MW41 (Finland)                           
2973	2016-07-18 23:00:00	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
5944	2020-08-06 10:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
5960	2020-08-11 09:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
5965	2020-08-12 08:32:00	154	2	WMO	Graw DFM-17 (Germany)                            
6190	2020-10-12 14:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
6192	2020-10-12 21:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
6253	2020-10-27 03:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
6255	2020-10-27 09:00:00	154	2	WMO	Graw DFM-17 (Germany)                            
6844	2021-07-11 16:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
6845	2021-07-11 22:21:00	154	2	WMO	Graw DFM-17 (Germany)                            
6855	2021-07-14 16:00:00	117	2	WMO	Graw DFM-09 (Germany)                            
6856	2021-07-14 22:16:00	154	2	WMO	Graw DFM-17 (Germany)                            
2851	1960-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , FRANCE METOX CT UNSPECIFIED 
2853	1986-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , FRANCE MESURAL FMO 1950A 
2854	1989-01-01 00:00:00	IGRA2	3	IGRA2	USING SONDE MODEL , I1 , VAISALA RS80 UNSPECIFIED 
