	time	snht
0	1969-10-04	0.0
1	1971-02-13	0.0
2	1971-10-21	0.0
3	1978-11-08	0.0
4	1978-11-13	0.0
5	1978-12-02	0.0
6	1978-12-03	0.0
7	1978-12-08	0.0
8	1978-12-15	0.0
9	1978-12-17	0.0
10	1978-12-22	0.0
11	1978-12-25	0.0
12	1978-12-27	0.0
13	1978-12-30	0.0
14	1979-01-04	0.0
15	1979-01-05	0.0
16	1979-01-06	0.0
17	1979-01-07	0.0
18	1979-01-08	0.0
19	1979-01-09	0.0
20	1979-01-10	0.0
21	1979-01-11	0.0
22	1979-01-12	0.0
23	1979-01-13	0.0
24	1979-01-14	0.0
25	1979-01-15	0.0
26	1979-01-17	0.0
27	1979-01-18	0.0
28	1979-01-22	0.0
29	1979-01-23	0.0
30	1979-01-24	0.0
31	1979-01-25	0.0
32	1979-01-26	0.0
33	1979-01-27	0.0
34	1979-01-28	0.0
35	1979-01-29	0.0
36	1979-01-30	0.0
37	1979-01-31	0.0
38	1979-02-01	0.0
39	1979-02-02	0.0
40	1979-02-03	0.0
41	1979-02-04	0.0
42	1979-02-05	0.0
43	1979-02-06	0.0
44	1979-02-07	0.0
45	1979-02-08	0.0
46	1979-02-09	0.0
47	1979-02-10	0.0
48	1979-02-11	0.0
49	1979-02-12	0.0
50	1979-03-03	0.0
51	1979-03-04	0.0
52	1979-03-05	0.0
53	1979-03-06	0.0
54	1979-03-07	0.0
55	1979-03-08	0.0
56	1979-03-10	0.0
57	1979-05-01	0.0
58	1979-05-02	0.0
59	1979-05-03	0.0
60	1979-05-04	0.0
61	1979-05-05	0.0
62	1979-05-06	0.0
63	1979-05-07	0.0
64	1979-05-08	0.0
65	1979-05-09	0.0
66	1979-05-10	0.0
67	1979-05-11	0.0
68	1979-05-12	0.0
69	1979-05-13	0.0
70	1979-05-17	0.0
71	1979-05-18	0.0
72	1979-05-19	0.0
73	1979-05-20	0.0
74	1979-05-21	0.0
75	1979-05-22	0.0
76	1979-05-23	0.0
77	1979-05-24	0.0
78	1979-05-25	0.0
79	1979-05-26	0.0
80	1979-05-27	0.0
81	1979-05-28	0.0
82	1979-05-29	0.0
83	1979-05-30	0.0
84	1979-05-31	0.0
85	1979-06-01	0.0
86	1979-06-02	0.0
87	1979-06-05	0.0
88	1979-06-06	0.0
89	1979-06-07	0.0
90	1979-06-08	0.0
91	1979-06-09	0.0
92	1979-06-10	0.0
93	1979-06-11	0.0
94	1979-06-12	0.0
95	1979-06-13	0.0
