level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20001-0-16245	PRATICA DI MARE RDS	41.669999999999995	12.450833333333332		Upper-air / Radiosonde station, GOS, GUAN, RBSN(T)	41 40 12N	012 27 03E	16245	999	999	True	12.5		OSCAR	0-20001-0-16245	ariccia	6.9	41.716667	12.666667																						[41.68, 41.68]	[12.6, 12.6]	5100A.txt_converted_csv_reduced.csv	giub	1911-01-02	1965-12-30	5100	0-20001-0-16245	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1	0-20000-0-16245	PRATICA DI MARE	41.65555555555555	12.448055555555555	21.5	Climatological station, Surface land meteorological station (SYNOP), RBCN, GOS, RBSN(S), CLIMAT(C)	41 39 20N	012 26 53E	16245	999	999	False	12.9		OSCAR	0-20000-0-16245	ariccia	6.9	41.716667	12.666667																						[41.68, 41.68]	[12.6, 12.6]	5100A.txt_converted_csv_reduced.csv	giub	1911-01-02	1965-12-30	5100	0-20001-0-16245	['126', '137', '106', '107', '137', '138', '139', '140', '117']
2	2	0-20000-0-16239	ROMA/CIAMPINO	41.808055555555555	12.584722222222222	105.0	Surface land meteorological station (SYNOP), GOS	41 48 29N	012 35 05E	16239	999	999	False	14.3		OSCAR	0-20000-0-16239	ariccia	6.9	41.716667	12.666667																						[41.68, 41.68]	[12.6, 12.6]	5100A.txt_converted_csv_reduced.csv	giub	1911-01-02	1965-12-30	5100	0-20001-0-16245	['126', '137', '106', '107', '137', '138', '139', '140', '117']
3	3	0-20000-0-16238	ROMA/CENTOCELLE	41.86805555555556	12.557777777777778	54.0	Surface land meteorological station (SYNOP), GOS	41 52 05N	012 33 28E	16238	999	999	False	21.2		OSCAR	0-20000-0-16238	ariccia	6.9	41.716667	12.666667																						[41.68, 41.68]	[12.6, 12.6]	5100A.txt_converted_csv_reduced.csv	giub	1911-01-02	1965-12-30	5100	0-20001-0-16245	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4	4	0-20000-0-16243	LATINA (16243-0)	41.545833333333334	12.909722222222223	26.3	Surface land meteorological station (SYNOP), GOS	41 32 45N	012 54 35E	16243	999	999	False	29.8		OSCAR	0-20000-0-16243	ariccia	6.9	41.716667	12.666667																						[41.68, 41.68]	[12.6, 12.6]	5100A.txt_converted_csv_reduced.csv	giub	1911-01-02	1965-12-30	5100	0-20001-0-16245	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5	5	0-20000-0-16247	LATINA (16247-0)	41.54472222222222	12.910555555555556	27.0	Surface land meteorological station (SYNOP), GOS	41 32 41N	012 54 38E	16247	999	999	False	29.9		OSCAR	0-20000-0-16247	ariccia	6.9	41.716667	12.666667																						[41.68, 41.68]	[12.6, 12.6]	5100A.txt_converted_csv_reduced.csv	giub	1911-01-02	1965-12-30	5100	0-20001-0-16245	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		PRATICA DI MARE RDS	41.67	12.4508	32.0				16245	1986	2021	True	12.5		IGRA2	0-20300-0-16245	ariccia	6.9	41.716667	12.666667	ITM00016245																					[41.68, 41.68]	[12.6, 12.6]	5100A.txt_converted_csv_reduced.csv	giub	1911-01-02	1965-12-30	5100	0-20001-0-16245	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		LAKE ALBANO	41.75	12.68					34125	19440601	19440630		10.2		WBAN	0-20500-0-34125	ariccia	6.9	41.716667	12.666667																						[41.68, 41.68]	[12.6, 12.6]	5100A.txt_converted_csv_reduced.csv	giub	1911-01-02	1965-12-30	5100	0-20001-0-16245	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1		CIAMPINO	41.8	12.6	129.23520000000002				34150	19441201	19640331		13.3		WBAN	0-20500-0-34150	ariccia	6.9	41.716667	12.666667																						[41.68, 41.68]	[12.6, 12.6]	5100A.txt_converted_csv_reduced.csv	giub	1911-01-02	1965-12-30	5100	0-20001-0-16245	['126', '137', '106', '107', '137', '138', '139', '140', '117']
2	2		ROME	41.87	12.67	20.1168				34128	19440601	19450430		21.9		WBAN	0-20500-0-34128	ariccia	6.9	41.716667	12.666667																						[41.68, 41.68]	[12.6, 12.6]	5100A.txt_converted_csv_reduced.csv	giub	1911-01-02	1965-12-30	5100	0-20001-0-16245	['126', '137', '106', '107', '137', '138', '139', '140', '117']
3	3		NETTUNO MU 7	41.47	12.63					34116	19440201	19440630		23.5		WBAN	0-20500-0-34116	ariccia	6.9	41.716667	12.666667																						[41.68, 41.68]	[12.6, 12.6]	5100A.txt_converted_csv_reduced.csv	giub	1911-01-02	1965-12-30	5100	0-20001-0-16245	['126', '137', '106', '107', '137', '138', '139', '140', '117']
