level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	musoma	46.6	-1.5	33.8																						[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20300-0-nan	IGRA2	musoma	46.6	-1.5	33.8																						[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20500-0-nan	WBAN	musoma	46.6	-1.5	33.8																						[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		Shirati Coast/ Husseini	-1.13	34.0	1137				4819.0	-999-999	-999-999		0.0		0-20400-0-4819	CHUAN	musoma	46.6	-1.5	33.8		-999																				[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1		Shirati Coast/ Husseini	-1.13	34.0	1138				4820.0	-999-999	-999-999		0.0		0-20400-0-4820	CHUAN	musoma	46.6	-1.5	33.8		-999																				[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
2	2		Shirati	-1.15	34.03	1184				4817.0	-999-999	-999-999		4.0		0-20400-0-4817	CHUAN	musoma	46.6	-1.5	33.8		-999																				[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
3	3		Shirati	-1.15	34.03	1184				4818.0	-999-999	-999-999		4.0		0-20400-0-4818	CHUAN	musoma	46.6	-1.5	33.8		-999																				[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4	4		Mori Bay	-1.3	33.87	1140				4816.0	-999-999	-999-999		23.7		0-20400-0-4816	CHUAN	musoma	46.6	-1.5	33.8		-999																				[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		(assigned station ID) Shirati, Tanzania	-1.13	33.98	-999				63733.0				2.2		0-20600-0-63733	SCHROEDER	musoma	46.6	-1.5	33.8		63733	2003.0	1908-07-24 00:00:00	1908-07-24 00:00:00																	[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20700-0-nan	WMO	musoma	46.6	-1.5	33.8																						[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20800-0-nan	AMMA	musoma	46.6	-1.5	33.8																						[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20111-0-nan	HARA	musoma	46.6	-1.5	33.8																						[-1.13, -1.13]	[34.0, 34.0]	4820.txt_converted_csv_reduced.csv	giub	1899-10-01	1954-09-22	4820	0-20400-0-4819	['126', '137', '106', '107', '137', '138', '139', '140', '117']
