	Unnamed: 0	date_time	sensor_id	value	source	comment
73	73	2013-02-06 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
74	74	2013-02-07 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
75	75	2013-02-07 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
76	76	2013-02-08 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
77	77	2013-02-08 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
78	78	2013-02-09 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
79	79	2013-02-09 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
80	80	2013-02-10 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
81	81	2013-02-10 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
82	82	2013-02-11 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
83	83	2013-02-11 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
84	84	2013-02-12 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
85	85	2013-02-12 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
86	86	2013-02-13 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
87	87	2013-02-13 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
88	88	2013-02-14 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
89	89	2013-02-14 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
90	90	2013-02-15 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
91	91	2013-02-15 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
92	92	2013-02-16 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
93	93	2013-02-16 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
94	94	2013-02-17 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
95	95	2013-02-17 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
96	96	2013-02-18 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
97	97	2013-02-18 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
98	98	2013-02-19 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
99	99	2013-02-19 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
100	100	2013-02-20 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
101	101	2013-02-20 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
102	102	2013-02-21 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
103	103	2013-02-21 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
104	104	2013-02-22 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
