	sensor_id	source	comment	Unnamed: 0	date_time	value
983	126	WMO	Meteolabor SRS–C34/Argus 37 (Switzerland)                           			
3783	141	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  			
3833	142	WMO	Vaisala RS41 with pressure derived from GPS height/ AUTOSONDE (Finland)                     			
3209	150	WMO	Meteolabor SRS-C50/Argus (Switzerland)                            			
0	26	WMO	Meteolabor Basora (Switzerland)                			
0	S07 	SCH	  S07 Switzerland ASA Hoehenwettersonde 74 {1971}^ (W1=26) <F=T400-406HC,P=2Ac,T=BCn,U=G,W=Ta>			
77823	SGG 	SCH	  SGG SGN Switzerland SRS-C34 digital GPS radiosonde with pressure, ROTRONICS HC2 humidity {<= 2010} 31313=52608^ <F=T400DL,P=H(water),T=H,U=A(ROTRONICS HC2),N=G>			
74196	SRA 	SCH	  SRA Switzerland SRS-400 analog radiosonde with Rotronic HC2 capacitive humidity sensor {2008} 31313=52603^ <F=T400DL,P=H(water),T=H(copper-constantin),			
59095	SRK 	SCH	  SRK Switzerland SRS-400 analog radiosonde daytime T correction {1999} 31313=52603^ (W2=25, W3=26, T=350) <F=T400DL,P=H(water),T=H,U=C(VIZ 1286-605),W=Ta>			
46518	SRS 	SCH	  SRS Switzerland SRS-400 analog radiosonde {1990} 31313=02603^ (W2=25, W3=26, T=350) <F=T400DL,P=H(water),T=H(copper-constantin),U=C(VIZ 1286-605),W=Ta>			
14369	IGRA2	IGRA2	CHANGE SONDE MODEL , I1 , SWITZERLAND MODEL I , to , SWITZERLAND MODEL IA 		1945-01-01	3.0
14370	IGRA2	IGRA2	CHANGE SONDE MODEL , I1 , SWITZERLAND MODEL IA , to , SWITZERLAND MODEL II 		1946-07-01	3.0
14371	IGRA2	IGRA2	CHANGE SONDE MODEL , I1 , SWITZERLAND MODEL II , to , SWITZERLAND MODEL III 		1947-07-01	3.0
14380	IGRA2	IGRA2	USING SONDE MODEL , I1 , SWITZERLAND MODEL III 		1960-01-01	3.0
14388	IGRA2	IGRA2	USING SONDE MODEL , I1 , SWITZERLAND UNSPECIFIED 		1976-01-01	3.0
14395	IGRA2	IGRA2	USING SONDE MODEL , I1 , SWITZERLAND SRS-400 		1982-01-01	3.0
14395	IGRA2	IGRA2	USING SONDE MODEL , I1 , SWITZERLAND SRS-400 		1982-01-01	3.0
14395	IGRA2	IGRA2	USING SONDE MODEL , I1 , SWITZERLAND SRS-400 		1982-01-01	3.0
14400	IGRA2	IGRA2	CHANGE SONDE MODEL , SWITZERLAND UNSPECIFIED , to , SWITZERLAND SRS-400 		1990-04-01	3.0
14395	IGRA2	IGRA2	USING SONDE MODEL , I1 , SWITZERLAND SRS-400 		1982-01-01	3.0
