	station_id	WMO_id	station_name	latitude	longitude
113	4636	-999	Nikolaevka	53.05	158.33
114	4637	-999	Novosibirsk	54.97	82.95
115	4638	-999	Olekminsk	60.37	120.4
116	4639	-999	Olenek	68.67	112.33
117	4640	-999	Omsk	54.93	73.4
118	4641	-999	Ostrov Diksona	73.5	80.4
119	4642	-999	Ostrov Kotel'niy	76.0	137.9
120	4643	-999	Rostov-Na-Donu	47.25	39.82
121	4644	-999	Salehard	66.53	66.53
122	4645	-999	Samarovo	60.97	69.07
123	4646	-999	Simferopol	44.95	34.12
124	4647	-999	Skovorodino	54.0	123.97
125	4648	-999	Sortavala	61.72	30.72
126	4649	-999	Stalinabad	38.58	68.78
127	4650	-999	Tahta-Bazar	35.95	62.92
128	4651	-999	Tashkent	41.33	69.3
129	4652	-999	Ternei	45.03	136.67
130	4653	-999	Tuapse	44.1	39.07
131	4654	-999	Viliuisk	63.75	121.5
132	4655	-999	Visokaya Dubrava	56.73	61.07
133	4656	-999	Vitim	59.45	112.58
134	4657	-999	Vologda	59.28	39.87
135	4658	-999	Yakutsk	62.02	129.72
136	4659	-999	Yerbogachen	61.27	108.02
137	4660	-999	Zhigansk	66.77	123.4
138	4662	27612	Moscow_Dolgoprudnii	55.73	37.42
139	4663	27612	Moscow_Dolgoprudnii	55.73	37.42
140	4709	-999	Mys Zhelania	76.85	68.58
141	4710	-999	Ostrov Dikson	73.5	80.4
142	4711	-999	Uelen	66.17	190.17
143	4712	-999	Barenzburg	78.05	14.25
144	4713	-999	Buhta Tihaya	80.32	52.8
145	4714	-999	Buhta Tiksi	71.58	128.92
146	4715	-999	Mys Cheliuskin	77.72	104.28
147	4716	-999	Mys Shmidta	68.92	180.53
148	4717	-999	Mys Zhelania	76.85	68.58
149	4718	-999	Ostrov Chetyriohstolbovii	70.63	162.4
150	4719	-999	Ostrov Dikson	73.5	80.4
151	4720	-999	Barenzburg	78.07	14.25
152	4721	-999	Buhta Tihaya	80.32	52.8
153	4722	-999	Buhta Tiksi	71.52	128.93
154	4723	-999	Buhta Varneka	69.72	60.05
155	4724	-999	Icebreaker Lenin	-999.0	-999.0
156	4725	-999	Mys Cheliuskina	77.72	104.28
157	4726	-999	Mys Shmidta	68.92	180.53
