0-20000-0-10672	era5.1759.conv.1:10672
0-20000-0-10687	era5.1759.conv.1:10687
0-20000-0-10701	era5.1759.conv.2:10701
0-20000-0-10705	era5.1759.conv.2:10705
0-20000-0-10707	era5.1759.conv.2:10707
0-20000-0-10710	era5.1759.conv.2:10710
0-20000-0-10711	era5.1759.conv.2:10711
0-20000-0-10712	era5.1759.conv.2:10712
0-20000-0-10716	era5.1759.conv.2:10716
0-20000-0-10717	era5.1759.conv.2:10717
0-20000-0-10727	era5.1759.conv.1:10727
0-20000-0-10738	era5.1759.conv.1:10738
0-20000-0-10739	era5.1759.conv.1:10739
0-20000-0-10743	era5.1759.conv.2:34163
0-20000-0-10771	era5.1759.conv.1:10771
0-20000-0-10804	era5.1759.conv.2:10804
0-20000-0-10806	era5.1759.conv.2:10806
0-20000-0-10862	era5.1759.conv.1:10862
0-20000-0-10865	era5.1759.conv.2:34171
0-20000-0-10866	era5.1759.conv.1:10866
0-20000-0-10868	era5.1759.conv.1:10868
0-20000-0-10921	era5.1759.conv.1:10921
0-20000-0-10934	era5.1759.conv.1:10934
0-20000-0-10953	era5.1759.conv.1:10953
0-20000-0-10954	era5.1759.conv.1:10954
0-20000-0-11030	era5.1759.conv.1:11030
0-20000-0-11035	era5.1759.conv.1:11035
0-20000-0-11103	era5.1759.conv.2:11103
0-20000-0-11501	era5.1759.conv.2:11501
0-20000-0-11518	era5.1759.conv.1:11518
0-20000-0-1152	era5.1759.conv.1:1152
0-20000-0-11520	era5.1759.conv.1:11520
0-20000-0-11567	era5.1759.conv.1:11567
0-20000-0-11601	era5.1759.conv.2:11601
0-20000-0-11602	era5.1759.conv.2:11602
0-20000-0-11604	era5.1759.conv.2:11604
0-20000-0-11605	era5.1759.conv.2:11605
0-20000-0-11606	era5.1759.conv.2:11606
0-20000-0-11608	era5.1759.conv.2:11608
0-20000-0-11610	era5.1759.conv.2:11610
0-20000-0-11615	era5.1759.conv.2:11615
0-20000-0-11616	era5.1759.conv.2:11616
0-20000-0-11617	era5.1759.conv.2:11617
0-20000-0-11618	era5.1759.conv.2:11618
0-20000-0-11620	era5.1759.conv.2:11620
0-20000-0-11621	era5.1759.conv.2:11621
0-20000-0-11630	era5.1759.conv.2:11630
0-20000-0-11631	era5.1759.conv.2:11631
0-20000-0-11639	era5.1759.conv.2:11639
0-20000-0-11641	era5.1759.conv.2:11641
0-20000-0-11642	era5.1759.conv.2:11642
0-20000-0-11644	era5.1759.conv.2:11644
0-20000-0-11645	era5.1759.conv.2:11645
0-20000-0-11646	era5.1759.conv.2:11646
0-20000-0-11647	era5.1759.conv.2:11647
0-20000-0-11701	era5.1759.conv.2:11701
0-20000-0-11703	era5.1759.conv.2:11703
0-20000-0-11704	era5.1759.conv.2:11704
0-20000-0-11706	era5.1759.conv.2:11706
0-20000-0-11707	era5.1759.conv.2:11707
0-20000-0-11709	era5.1759.conv.2:11709
0-20000-0-11715	era5.1759.conv.2:11715
0-20000-0-11803	era5.1759.conv.2:11803
0-20000-0-11804	era5.1759.conv.2:11804
0-20000-0-11805	era5.1759.conv.2:11805
0-20000-0-11806	era5.1759.conv.2:11806
0-20000-0-11807	era5.1759.conv.2:11807
0-20000-0-11810	era5.1759.conv.2:11810
0-20000-0-11812	era5.1759.conv.2:11812
0-20000-0-11813	era5.1759.conv.2:11813
0-20000-0-11814	era5.1759.conv.2:11814
0-20000-0-11901	era5.1759.conv.2:11901
0-20000-0-11902	era5.1759.conv.2:11902
0-20000-0-11904	era5.1759.conv.2:11904
0-20000-0-11934	era5.1759.conv.1:11934
0-20000-0-11952	era5.1759.conv.1:11952
0-20000-0-11968	era5.1759.conv.1:11968
0-20000-0-12101	era5.1759.conv.2:12101
0-20000-0-12103	era5.1759.conv.2:12103
0-20000-0-12105	era5.1759.conv.1:12105
0-20000-0-12120	era5.1759.conv.1:12120
0-20000-0-12150	era5.1759.conv.1:12150
0-20000-0-12295	era5.1759.conv.1:12295
0-20000-0-12330	era5.1759.conv.1:12330
0-20000-0-12374	era5.1759.conv.1:12374
0-20000-0-12375	era5.1759.conv.1:12375
0-20000-0-1241	era5.1759.conv.1:1241
0-20000-0-12425	era5.1759.conv.1:12425
0-20000-0-12465	era5.1759.conv.1:12465
0-20000-0-12560	era5.1759.conv.1:12560
0-20000-0-12566	era5.1759.conv.1:12566
0-20000-0-12577	era5.1759.conv.1:12577
0-20000-0-12580	era5.1759.conv.1:12580
0-20000-0-12701	era5.1759.conv.2:12701
0-20000-0-12702	era5.1759.conv.2:12702
0-20000-0-12703	era5.1759.conv.2:12703
0-20000-0-12704	era5.1759.conv.2:12704
0-20000-0-12705	era5.1759.conv.2:12705
0-20000-0-12706	era5.1759.conv.2:12706
0-20000-0-12709	era5.1759.conv.2:12709
0-20000-0-12710	era5.1759.conv.2:12710
0-20000-0-12711	era5.1759.conv.2:12711
0-20000-0-12712	era5.1759.conv.2:12712
0-20000-0-12713	era5.1759.conv.2:12713
0-20000-0-12714	era5.1759.conv.2:12714
0-20000-0-12715	era5.1759.conv.2:12715
0-20000-0-12716	era5.1759.conv.2:12716
0-20000-0-12717	era5.1759.conv.2:12717
0-20000-0-12772	era5.1759.conv.1:12772
0-20000-0-12801	era5.1759.conv.2:12801
0-20000-0-12803	era5.1759.conv.2:12803
0-20000-0-12804	era5.1759.conv.2:12804
0-20000-0-12806	era5.1759.conv.2:12806
0-20000-0-12808	era5.1759.conv.2:12808
0-20000-0-12809	era5.1759.conv.2:12809
0-20000-0-12810	era5.1759.conv.2:12810
0-20000-0-12813	era5.1759.conv.2:12813
0-20000-0-12814	era5.1759.conv.2:12814
0-20000-0-12816	era5.1759.conv.2:12816
0-20000-0-12817	era5.1759.conv.2:12817
0-20000-0-12822	era5.1759.conv.1:12822
0-20000-0-12823	era5.1759.conv.2:12823
0-20000-0-12824	era5.1759.conv.2:12824
0-20000-0-12826	era5.1759.conv.2:12826
0-20000-0-12827	era5.1759.conv.2:12827
0-20000-0-12829	era5.1759.conv.2:12829
0-20000-0-12832	era5.1759.conv.2:12832
0-20000-0-12838	era5.1759.conv.2:12838
0-20000-0-12840	era5.1759.conv.1:12840
0-20000-0-12842	era5.1759.conv.2:12842
0-20000-0-12843	era5.1759.conv.1:12843
0-20000-0-12845	era5.1759.conv.2:12845
0-20000-0-12848	era5.1759.conv.2:12848
0-20000-0-12849	era5.1759.conv.2:12849
0-20000-0-12850	era5.1759.conv.2:12850
0-20000-0-12852	era5.1759.conv.2:12852
0-20000-0-12853	era5.1759.conv.2:12853
