primary_id	file
0-20000-0-01002	era5.120.bfr
0-20000-0-01013	era5.15.bfr
0-20000-0-01025	era5.130.bfr
0-20000-0-01028	era5.128.bfr
0-20000-0-01152	era5.1152.bfr
0-20000-0-01241	era5.1241.bfr
0-20000-0-01384	era5.1384.bfr
0-20000-0-01415	era5.1415.bfr
0-20000-0-02836	era5.2836.bfr
0-20000-0-02935	era5.2935.bfr
0-20000-0-02963	era5.2963.bfr
0-20000-0-03005	era5.35.bfr
0-20000-0-03026	era5.326.bfr
0-20000-0-03214	era5.3213.bfr
0-20000-0-03316	era5.3322.bfr
0-20000-0-03469	era5.3470.bfr
0-20000-0-03488	era5.3496.bfr
0-20000-0-03502	era5.3502.bfr
0-20000-0-03693	era5.3693.bfr
0-20000-0-03743	era5.3743.bfr
0-20000-0-03769	era5.3774.bfr
0-20000-0-03808	era5.3808.bfr
0-20000-0-03917	era5.3917.bfr
0-20000-0-03918	era5.3920.bfr
0-20000-0-03953	era5.3953.bfr
0-20000-0-03976	era5.3976.bfr
0-20000-0-04220	era5.4220.bfr
0-20000-0-04231	era5.4231.bfr
0-20000-0-04312	era5.4310.bfr
0-20000-0-04320	era5.4320.bfr
0-20000-0-04339	era5.4340.bfr
0-20000-0-04360	era5.4360.bfr
0-20000-0-06011	era5.611.bfr
0-20000-0-06030	era5.630.bfr
0-20000-0-06180	era5.6180.bfr
0-20000-0-06181	era5.6181.bfr
0-20000-0-06260	era5.6260.bfr
0-20000-0-06391	era5.10404.bfr
0-20000-0-06400	era5.6400.bfr
0-20000-0-06447	era5.6447.bfr
0-20000-0-06476	era5.6476.bfr
0-20000-0-06610	era5.6610.bfr
0-20000-0-07005	era5.75.bfr
0-20000-0-07015	era5.715.bfr
0-20000-0-07037	era5.736.bfr
0-20000-0-07061	era5.761.bfr
0-20000-0-07072	era5.770.bfr
0-20000-0-07108	era5.7110.bfr
0-20000-0-07130	era5.7130.bfr
0-20000-0-07139	era5.7139.bfr
0-20000-0-07145	era5.7145.bfr
0-20000-0-07168	era5.7160.bfr
0-20000-0-07180	era5.7180.bfr
0-20000-0-07222	era5.7222.bfr
0-20000-0-07240	era5.7240.bfr
0-20000-0-07255	era5.7255.bfr
0-20000-0-07266	era5.7265.bfr
0-20000-0-07280	era5.7280.bfr
0-20000-0-07412	era5.7412.bfr
0-20000-0-07434	era5.7435.bfr
0-20000-0-07471	era5.7470.bfr
0-20000-0-07480	era5.7480.bfr
0-20000-0-07502	era5.7502.bfr
0-20000-0-07510	era5.7510.bfr
0-20000-0-07535	era5.7535.bfr
0-20000-0-07558	era5.7558.bfr
0-20000-0-07577	era5.7577.bfr
0-20000-0-07591	era5.7591.bfr
0-20000-0-07602	era5.7602.bfr
0-20000-0-07603	era5.7603.bfr
0-20000-0-07607	era5.7607.bfr
0-20000-0-07627	era5.7627.bfr
0-20000-0-07630	era5.7630.bfr
0-20000-0-07645	era5.7645.bfr
0-20000-0-07650	era5.7650.bfr
0-20000-0-07661	era5.7660.bfr
0-20000-0-07690	era5.7690.bfr
0-20000-0-07747	era5.7747.bfr
0-20000-0-07761	era5.7761.bfr
0-20000-0-08001	era5.81.bfr
0-20000-0-08023	era5.823.bfr
0-20000-0-08055	era5.855.bfr
0-20000-0-08084	era5.884.bfr
0-20000-0-08140	era5.8140.bfr
0-20000-0-08181	era5.8181.bfr
0-20000-0-08202	era5.8202.bfr
0-20000-0-08238	era5.8238.bfr
0-20000-0-08284	era5.8284.bfr
0-20000-0-08301	era5.8301.bfr
0-20000-0-08302	era5.8302.bfr
0-20000-0-08314	era5.8314.bfr
0-20000-0-08330	era5.8330.bfr
0-20000-0-08391	era5.8391.bfr
0-20000-0-08433	era5.8433.bfr
0-20000-0-08521	era5.8521.bfr
0-20000-0-08536	era5.8536.bfr
0-20000-0-08545	era5.8545.bfr
0-20000-0-08548	era5.8549.bfr
0-20000-0-08554	era5.8554.bfr
0-20000-0-08589	era5.8589.bfr
0-20000-0-08594	era5.8594.bfr
0-20000-0-10035	era5.1035.bfr
0-20000-0-10046	era5.1046.bfr
0-20000-0-10238	era5.10238.bfr
0-20000-0-10304	era5.10304.bfr
0-20000-0-10315	era5.10307.bfr
0-20000-0-10339	era5.10338.bfr
0-20000-0-10410	era5.10410.bfr
0-20000-0-10439	era5.10437.bfr
0-20000-0-10454	era5.10454.bfr
0-20000-0-10513	era5.10513.bfr
0-20000-0-10532	era5.10532.bfr
0-20000-0-10629	era5.10639.bfr
0-20000-0-10641	era5.10642.bfr
0-20000-0-10646	era5.10657.bfr
0-20000-0-10688	era5.10687.bfr
0-20000-0-10739	era5.10739.bfr
0-20000-0-10743	era5.10659.bfr
0-20000-0-10763	era5.10763.bfr
0-20000-0-10765	era5.10765.bfr
0-20000-0-10771	era5.10771.bfr
0-20000-0-10818	era5.10921.bfr
0-20000-0-10865	era5.10866.bfr
0-20000-0-10868	era5.10868.bfr
0-20000-0-11035	era5.1135.bfr
0-20000-0-11240	era5.11240.bfr
0-20000-0-11518	era5.11518.bfr
0-20000-0-11520	era5.11520.bfr
0-20000-0-11934	era5.11934.bfr
0-20000-0-11952	era5.11952.bfr
0-20000-0-12105	era5.12105.bfr
0-20000-0-12120	era5.12120.bfr
0-20000-0-12140	era5.12150.bfr
0-20000-0-12330	era5.12330.bfr
0-20000-0-12374	era5.12374.bfr
0-20000-0-12375	era5.12375.bfr
0-20000-0-12424	era5.12425.bfr
0-20000-0-12465	era5.12465.bfr
0-20000-0-12560	era5.12560.bfr
0-20000-0-12566	era5.12566.bfr
0-20000-0-12575	era5.12577.bfr
0-20000-0-12580	era5.12580.bfr
0-20000-0-12812	era5.12812.bfr
0-20000-0-12843	era5.12843.bfr
0-20000-0-12882	era5.12882.bfr
0-20000-0-12935	era5.12935.bfr
0-20000-0-12942	era5.12942.bfr
0-20000-0-12982	era5.12982.bfr
0-20000-0-14240	era5.13130.bfr
0-20000-0-14654	era5.13353.bfr
0-20000-0-15120	era5.15120.bfr
0-20000-0-15200	era5.15200.bfr
0-20000-0-15310	era5.15310.bfr
0-20000-0-15420	era5.15420.bfr
0-20000-0-15480	era5.15480.bfr
0-20000-0-15614	era5.15614.bfr
0-20000-0-15730	era5.15730.bfr
0-20000-0-16182	era5.16181.bfr
0-20000-0-16239	era5.16239.bfr
0-20000-0-16242	era5.16242.bfr
0-20000-0-16320	era5.16320.bfr
0-20000-0-16420	era5.16420.bfr
0-20000-0-16429	era5.16429.bfr
0-20000-0-16460	era5.16460.bfr
0-20000-0-16560	era5.16560.bfr
0-20000-0-16622	era5.16622.bfr
0-20000-0-16716	era5.16716.bfr
0-20000-0-16749	era5.16749.bfr
0-20000-0-17022	era5.1722.bfr
0-20000-0-17029	era5.1730.bfr
0-20000-0-17050	era5.1750.bfr
0-20000-0-17064	era5.1762.bfr
0-20000-0-17082	era5.1782.bfr
0-20000-0-17124	era5.17124.bfr
0-20000-0-17130	era5.17130.bfr
0-20000-0-17195	era5.17195.bfr
0-20000-0-17200	era5.17200.bfr
0-20000-0-17220	era5.17220.bfr
0-20000-0-17240	era5.17240.bfr
0-20000-0-17281	era5.17280.bfr
0-20000-0-17300	era5.17300.bfr
0-20000-0-17600	era5.17600.bfr
0-20000-0-17601	era5.17603.bfr
0-20000-0-20046	era5.2046.bfr
0-20000-0-20069	era5.2069.bfr
0-20000-0-20107	era5.20107.bfr
0-20000-0-20292	era5.20292.bfr
0-20000-0-20353	era5.20353.bfr
0-20000-0-20667	era5.20667.bfr
0-20000-0-20674	era5.20674.bfr
0-20000-0-20744	era5.20744.bfr
0-20000-0-20891	era5.20891.bfr
0-20000-0-21432	era5.21432.bfr
0-20000-0-21824	era5.21824.bfr
0-20000-0-21946	era5.21946.bfr
0-20000-0-21982	era5.21982.bfr
0-20000-0-22113	era5.22113.bfr
0-20000-0-22165	era5.22165.bfr
0-20000-0-22217	era5.22217.bfr
0-20000-0-22271	era5.22271.bfr
0-20000-0-22520	era5.22522.bfr
0-20000-0-22543	era5.22550.bfr
0-20000-0-22802	era5.22802.bfr
0-20000-0-22820	era5.22820.bfr
0-20000-0-22845	era5.22845.bfr
0-20000-0-23022	era5.2322.bfr
0-20000-0-23078	era5.2378.bfr
0-20000-0-23174	era5.2377.bfr
0-20000-0-23205	era5.23205.bfr
0-20000-0-23274	era5.23274.bfr
0-20000-0-23330	era5.23330.bfr
0-20000-0-23415	era5.23418.bfr
0-20000-0-23472	era5.23472.bfr
0-20000-0-23552	era5.23552.bfr
0-20000-0-23804	era5.23804.bfr
0-20000-0-23884	era5.23884.bfr
0-20000-0-23921	era5.23921.bfr
0-20000-0-23933	era5.23933.bfr
0-20000-0-23955	era5.23955.bfr
0-20000-0-24125	era5.24125.bfr
0-20000-0-24266	era5.24266.bfr
0-20000-0-24343	era5.24343.bfr
0-20000-0-24507	era5.24507.bfr
0-20000-0-24641	era5.24641.bfr
0-20000-0-24688	era5.24688.bfr
0-20000-0-24726	era5.24726.bfr
0-20000-0-24790	era5.24790.bfr
0-20000-0-24817	era5.24817.bfr
0-20000-0-24908	era5.24908.bfr
0-20000-0-24944	era5.24944.bfr
0-20000-0-24966	era5.24966.bfr
0-20000-0-25042	era5.2542.bfr
0-20000-0-25123	era5.25123.bfr
0-20000-0-25282	era5.25282.bfr
0-20000-0-25399	era5.25399.bfr
0-20000-0-25400	era5.25400.bfr
0-20000-0-25428	era5.25428.bfr
0-20000-0-25551	era5.25551.bfr
0-20000-0-25563	era5.25563.bfr
0-20000-0-25677	era5.25677.bfr
0-20000-0-25703	era5.25703.bfr
0-20000-0-25913	era5.25913.bfr
0-20000-0-26038	era5.2638.bfr
0-20000-0-26063	era5.2663.bfr
0-20000-0-26258	era5.26258.bfr
0-20000-0-26298	era5.26298.bfr
0-20000-0-26422	era5.26422.bfr
0-20000-0-26477	era5.26477.bfr
0-20000-0-26702	era5.26702.bfr
0-20000-0-26781	era5.26781.bfr
0-20000-0-26850	era5.26850.bfr
0-20000-0-27037	era5.2737.bfr
0-20000-0-27199	era5.27196.bfr
0-20000-0-27459	era5.27553.bfr
0-20000-0-27595	era5.27595.bfr
0-20000-0-27612	era5.27612.bfr
0-20000-0-27707	era5.27707.bfr
0-20000-0-27730	era5.27731.bfr
0-20000-0-27944	era5.27947.bfr
0-20000-0-27962	era5.27962.bfr
0-20000-0-28224	era5.28225.bfr
0-20000-0-28275	era5.28275.bfr
0-20000-0-28440	era5.28440.bfr
0-20000-0-28552	era5.28552.bfr
0-20000-0-28676	era5.28679.bfr
0-20000-0-28698	era5.28698.bfr
0-20000-0-28711	era5.28711.bfr
0-20000-0-28722	era5.28722.bfr
0-20000-0-28900	era5.28900.bfr
0-20000-0-28952	era5.28952.bfr
0-20000-0-29231	era5.29231.bfr
0-20000-0-29263	era5.29263.bfr
0-20000-0-29282	era5.29282.bfr
0-20000-0-29571	era5.29574.bfr
0-20000-0-29594	era5.29594.bfr
0-20000-0-29612	era5.29612.bfr
0-20000-0-29634	era5.29634.bfr
0-20000-0-29698	era5.29698.bfr
0-20000-0-29752	era5.29658.bfr
0-20000-0-29813	era5.29915.bfr
0-20000-0-29822	era5.29822.bfr
0-20000-0-29838	era5.29838.bfr
0-20000-0-29862	era5.29865.bfr
0-20000-0-30054	era5.3054.bfr
0-20000-0-30157	era5.30157.bfr
0-20000-0-30230	era5.30230.bfr
0-20000-0-30309	era5.30309.bfr
0-20000-0-30372	era5.30372.bfr
0-20000-0-30385	era5.30385.bfr
0-20000-0-30521	era5.30521.bfr
0-20000-0-30555	era5.30554.bfr
0-20000-0-30603	era5.30603.bfr
0-20000-0-30635	era5.30635.bfr
0-20000-0-30636	era5.30636.bfr
0-20000-0-30650	era5.30650.bfr
0-20000-0-30673	era5.30673.bfr
0-20000-0-30683	era5.30683.bfr
0-20000-0-30688	era5.30688.bfr
0-20000-0-30692	era5.30692.bfr
0-20000-0-30703	era5.30703.bfr
0-20000-0-30729	era5.30729.bfr
0-20000-0-30731	era5.30731.bfr
0-20000-0-30739	era5.30739.bfr
0-20000-0-30758	era5.30758.bfr
0-20000-0-30777	era5.30777.bfr
0-20000-0-30802	era5.30802.bfr
0-20000-0-30815	era5.30812.bfr
0-20000-0-30822	era5.30822.bfr
0-20000-0-30823	era5.30823.bfr
0-20000-0-30935	era5.30935.bfr
0-20000-0-30957	era5.30954.bfr
0-20000-0-30965	era5.30965.bfr
0-20000-0-31004	era5.314.bfr
0-20000-0-31088	era5.3188.bfr
0-20000-0-31168	era5.31168.bfr
0-20000-0-31174	era5.31174.bfr
0-20000-0-31300	era5.31300.bfr
0-20000-0-31329	era5.31329.bfr
0-20000-0-31369	era5.31369.bfr
0-20000-0-31388	era5.31388.bfr
0-20000-0-31416	era5.31416.bfr
0-20000-0-31510	era5.31510.bfr
0-20000-0-31532	era5.31532.bfr
0-20000-0-31538	era5.31538.bfr
0-20000-0-31561	era5.31561.bfr
0-20000-0-31707	era5.31707.bfr
0-20000-0-31735	era5.31735.bfr
0-20000-0-31770	era5.31770.bfr
0-20000-0-31873	era5.31873.bfr
0-20000-0-31909	era5.31909.bfr
0-20000-0-31960	era5.31960.bfr
0-20000-0-32061	era5.3261.bfr
0-20000-0-32071	era5.3271.bfr
0-20000-0-32098	era5.3298.bfr
0-20000-0-32099	era5.3299.bfr
0-20000-0-32150	era5.32150.bfr
0-20000-0-32165	era5.32165.bfr
0-20000-0-32389	era5.32389.bfr
0-20000-0-32477	era5.32477.bfr
0-20000-0-32509	era5.32509.bfr
0-20000-0-32562	era5.32564.bfr
0-20000-0-32580	era5.32540.bfr
0-20000-0-32618	era5.32618.bfr
0-20000-0-33008	era5.338.bfr
0-20000-0-33036	era5.3336.bfr
0-20000-0-33041	era5.3341.bfr
0-20000-0-33317	era5.33317.bfr
0-20000-0-33345	era5.33345.bfr
0-20000-0-33393	era5.33393.bfr
0-20000-0-33631	era5.33631.bfr
0-20000-0-33658	era5.33658.bfr
0-20000-0-33791	era5.33791.bfr
0-20000-0-33815	era5.33815.bfr
0-20000-0-33946	era5.33946.bfr
0-20000-0-34009	era5.349.bfr
0-20000-0-34123	era5.34122.bfr
0-20000-0-34139	era5.34139.bfr
0-20000-0-34171	era5.34172.bfr
0-20000-0-34247	era5.34247.bfr
0-20000-0-34300	era5.34300.bfr
0-20000-0-34560	era5.34560.bfr
0-20000-0-34737	era5.34737.bfr
0-20000-0-34858	era5.34858.bfr
0-20000-0-34880	era5.34880.bfr
0-20000-0-35121	era5.35121.bfr
0-20000-0-35229	era5.35229.bfr
0-20000-0-35700	era5.35700.bfr
0-20000-0-35746	era5.35746.bfr
0-20000-0-35796	era5.35796.bfr
0-20000-0-35925	era5.35925.bfr
0-20000-0-36003	era5.363.bfr
0-20000-0-36091	era5.3691.bfr
0-20000-0-36096	era5.3696.bfr
0-20000-0-36177	era5.36177.bfr
0-20000-0-36259	era5.36259.bfr
0-20000-0-36397	era5.36403.bfr
0-20000-0-36428	era5.36421.bfr
0-20000-0-36821	era5.36821.bfr
