primary_id	file
0-20000-0-01025	era5.3188.conv.C:5628
0-20000-0-01055	era5.3188.conv.C:5162
0-20000-0-01098	era5.3188.conv.C:5382
0-20000-0-01107	era5.3188.conv.C:5303
0-20000-0-01257	era5.3188.conv.C:5369
0-20000-0-01466	era5.3188.conv.C:5479
0-20000-0-01468	era5.3188.conv.C:5337
0-20000-0-02229	era5.3188.conv.C:5615
0-20000-0-02429	era5.3188.conv.C:5572
0-20000-0-02464	era5.3188.conv.C:5745
0-20000-0-02531	era5.3188.conv.C:5679
0-20000-0-02611	era5.3188.conv.C:5703
0-20000-0-02635	era5.3188.conv.C:5708
0-20000-0-02667	era5.3188.conv.C:5691
0-20000-0-02744	era5.3188.conv.C:5522
0-20000-0-02790	era5.3188.conv.C:4995
0-20000-0-02814	era5.3188.conv.C:5510
0-20000-0-02836	era5.3188.conv.C:5517
0-20000-0-02883	era5.3188.conv.C:5506
0-20000-0-02903	era5.3188.conv.C:5511
0-20000-0-02937	era5.3188.conv.C:5512
0-20000-0-02964	era5.3188.conv.C:6124
0-20000-0-02981	era5.3188.conv.C:5525
0-20000-0-03091	era5.3188.conv.C:5021
0-20000-0-03134	era5.3188.conv.C:5731
0-20000-0-03162	era5.3188.conv.C:5128
0-20000-0-03302	era5.3188.conv.C:5597
0-20000-0-03379	era5.3188.conv.C:5660
0-20000-0-03482	era5.3188.conv.C:5066
0-20000-0-03535	era5.3188.conv.C:5291
0-20000-0-03684	era5.3188.conv.C:5588
0-20000-0-03772	era5.3188.conv.C:5179
0-20000-0-03866	era5.3188.conv.C:5654
0-20000-0-03872	era5.3188.conv.C:5288
0-20000-0-03953	era5.3188.conv.C:5756
0-20000-0-03967	era5.3188.conv.C:6085
0-20000-0-04030	era5.3188.conv.C:5425
0-20000-0-04109	era5.3188.conv.C:5423
0-20000-0-04231	era5.3188.conv.C:5563
0-20000-0-04360	era5.3188.conv.C:5014
0-20000-0-04452	era5.3188.conv.C:5415
0-20000-0-06310	era5.3188.conv.C:5759
0-20000-0-06418	era5.3188.conv.C:4985
0-20000-0-06434	era5.3188.conv.C:6073
0-20000-0-06451	era5.3188.conv.C:5650
0-20000-0-06496	era5.3188.conv.C:5586
0-20000-0-06785	era5.3188.conv.C:5556
0-20000-0-07015	era5.3188.conv.C:6095
0-20000-0-07057	era5.3188.conv.C:5105
0-20000-0-07059	era5.3188.conv.C:5576
0-20000-0-07143	era5.3188.conv.C:5096
0-20000-0-07150	era5.3188.conv.C:5202
0-20000-0-07166	era5.3188.conv.C:6105
0-20000-0-07168	era5.3188.conv.C:5302
0-20000-0-07180	era5.3188.conv.C:5717
0-20000-0-07207	era5.3188.conv.C:5743
0-20000-0-07292	era5.3188.conv.C:5590
0-20000-0-07296	era5.3188.conv.C:5059
0-20000-0-07299	era5.3188.conv.C:6101
0-20000-0-07460	era5.3188.conv.C:5657
0-20000-0-07471	era5.3188.conv.C:5204
0-20000-0-07480	era5.3188.conv.C:5604
0-20000-0-07502	era5.3188.conv.C:5092
0-20000-0-07610	era5.3188.conv.C:5271
0-20000-0-07629	era5.3188.conv.C:4518
0-20000-0-07643	era5.3188.conv.C:6100
0-20000-0-07667	era5.3188.conv.C:5106
0-20000-0-07785	era5.3188.conv.C:5084
0-20000-0-08023	era5.3188.conv.C:5320
0-20000-0-08027	era5.3188.conv.C:5161
0-20000-0-08141	era5.3188.conv.C:5757
0-20000-0-08285	era5.3188.conv.C:5755
0-20000-0-08314	era5.3188.conv.C:5223
0-20000-0-08330	era5.3188.conv.C:5049
0-20000-0-08359	era5.3188.conv.C:5034
0-20000-0-08548	era5.3188.conv.C:5102
0-20000-0-10113	era5.3188.conv.C:5718
0-20000-0-10126	era5.3188.conv.C:5763
0-20000-0-10156	era5.3188.conv.C:6081
0-20000-0-10224	era5.3188.conv.C:5648
0-20000-0-10305	era5.3188.conv.C:5719
0-20000-0-10339	era5.3188.conv.C:5596
0-20000-0-10361	era5.3188.conv.C:5707
0-20000-0-10400	era5.3188.conv.C:5587
0-20000-0-10410	era5.3188.conv.C:5129
0-20000-0-10424	era5.3188.conv.C:5665
0-20000-0-10453	era5.3188.conv.C:4986
0-20000-0-10502	era5.3188.conv.C:5186
0-20000-0-10505	era5.3188.conv.C:5630
0-20000-0-10513	era5.3188.conv.C:5694
0-20000-0-10519	era5.3188.conv.C:5581
0-20000-0-10554	era5.3188.conv.C:5668
0-20000-0-10567	era5.3188.conv.C:6113
0-20000-0-10609	era5.3188.conv.C:6107
0-20000-0-10637	era5.3188.conv.C:5607
0-20000-0-10708	era5.3188.conv.C:5311
0-20000-0-10724	era5.3188.conv.C:5599
0-20000-0-10729	era5.3188.conv.C:5711
0-20000-0-10731	era5.3188.conv.C:5598
0-20000-0-10738	era5.3188.conv.C:5747
0-20000-0-11037	era5.3188.conv.C:5393
0-20000-0-11060	era5.3188.conv.C:5702
0-20000-0-11204	era5.3188.conv.C:6115
0-20000-0-11231	era5.3188.conv.C:5693
0-20000-0-11290	era5.3188.conv.C:5682
0-20000-0-11350	era5.3188.conv.C:5736
0-20000-0-11518	era5.3188.conv.C:5727
0-20000-0-11659	era5.3188.conv.C:5253
0-20000-0-11679	era5.3188.conv.C:5376
0-20000-0-11774	era5.3188.conv.C:5372
0-20000-0-11968	era5.3188.conv.C:5695
0-20000-0-12140	era5.3188.conv.C:5677
0-20000-0-12160	era5.3188.conv.C:6089
0-20000-0-12200	era5.3188.conv.C:5748
0-20000-0-12205	era5.3188.conv.C:5749
0-20000-0-12330	era5.3188.conv.C:5726
0-20000-0-12424	era5.3188.conv.C:5764
0-20000-0-12495	era5.3188.conv.C:5704
0-20000-0-12566	era5.3188.conv.C:5696
0-20000-0-12812	era5.3188.conv.C:5351
0-20000-0-12843	era5.3188.conv.C:5652
0-20000-0-13168	era5.3188.conv.C:5281
0-20000-0-13388	era5.3188.conv.C:5256
0-20000-0-13455	era5.3188.conv.C:5191
0-20000-0-13585	era5.3188.conv.C:5485
