primary_id	file
0-20000-0-03257	CC_UK__Network_M__Code_000__StationId_03257__Latitude_54.3__Longitude_-1.533__Elev_40.0__dummy_nan__StationName_LEEMING__From_1990__To_2000__Nrec_777__
0-20000-0-03316	CC_UK__Network_M__Code_000__StationId_03322__Latitude_53.55__Longitude_-2.917__Elev_54.0__dummy_nan__StationName_AUGHTON__From_1949__To_1996__Nrec_43285__
0-20000-0-03354	CC_UK__Network_M__Code_000__StationId_03354__Latitude_53.0056__Longitude_-1.2511__Elev_117.0__dummy_nan__StationName_NOTTINGHAM__From_1998__To_2020__Nrec_15519__
0-20000-0-03377	CC_UK__Network_M__Code_000__StationId_03377__Latitude_53.167__Longitude_-0.517__Elev_70.0__dummy_nan__StationName_WADDINGTON__From_1989__To_2005__Nrec_992__
0-20000-0-03414	CC_UK__Network_M__Code_000__StationId_03414__Latitude_52.8__Longitude_-2.667__Elev_76.0__dummy_nan__StationName_SHAWBURY__From_1997__To_2000__Nrec_561__
0-20000-0-03488	CC_UK__Network_M__Code_000__StationId_03496__Latitude_52.67__Longitude_1.68__Elev_13.0__dummy_nan__StationName_HEMSBY__From_1951__To_2001__Nrec_50217__
0-20000-0-03502	CC_UK__Network_M__Code_000__StationId_03502__Latitude_52.1394__Longitude_-4.5711__Elev_133.0__dummy_nan__StationName_ABERPORTH__From_1969__To_2020__Nrec_20916__
0-20000-0-03503	CC_UK__Network_M__Code_000__StationId_03501__Latitude_52.4167__Longitude_-4.0__Elev_92.0__dummy_nan__StationName_CAPEL DEWI__From_1998__To_2001__Nrec_6559__
0-20000-0-03559	CC_UK__Network_M__Code_000__StationId_03559__Latitude_52.1039__Longitude_-0.4214__Elev_29.0__dummy_nan__StationName_CARDINGTON__From_1996__To_2019__Nrec_159__
0-20000-0-03590	CC_UK__Network_M__Code_000__StationId_03590__Latitude_52.117__Longitude_0.967__Elev_87.0__dummy_nan__StationName_WATTISHAM__From_1999__To_2006__Nrec_437__
0-20000-0-03649	CC_UK__Network_M__Code_000__StationId_03649__Latitude_51.75__Longitude_-1.583__Elev_88.0__dummy_nan__StationName_BRIZE NORTON__From_1992__To_2005__Nrec_1008__
0-20000-0-03693	CC_UK__Network_M__Code_000__StationId_03693__Latitude_51.5547__Longitude_0.8269__Elev_2.0__dummy_nan__StationName_SHOEBURYNESS__From_1966__To_2010__Nrec_10753__
0-20000-0-03716	CC_UK__Network_M__Code_000__StationId_03715__Latitude_51.4__Longitude_-3.35__Elev_67.0__dummy_nan__StationName_CARDIFF-WALES ARPT__From_1989__To_1997__Nrec_890__
0-20000-0-03743	CC_UK__Network_M__Code_000__StationId_03743__Latitude_51.2017__Longitude_-1.8058__Elev_132.0__dummy_nan__StationName_LARKHILL__From_1942__To_2020__Nrec_29445__
0-20000-0-03769	CC_UK__Network_M__Code_000__StationId_03774__Latitude_51.083__Longitude_-0.217__Elev_143.0__dummy_nan__StationName_CRAWLEY__From_1953__To_1992__Nrec_37592__
