wmo_id	wmo_comments	sch_id	sch_comments
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VGN	 VGN Vaisala RS80 DigiCORA III auto corr, no wind 31313=46700^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=none>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VGR	 VGR Vaisala RS80 DigiCORA III auto corr, RDF wind 31313=46702^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=Ra>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VGT	 VGT Vaisala RS80 DigiCORA III auto corr, ranging wind 31313=46703^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=Ta>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VGU	 VGU Vaisala RS80 DigiCORA III auto corr, Loran or GPS 31313=46770^ <F=T403FL or 1680AL,P=Ac,T=CB,U=AN=L or G>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VG_	 VG_ Vaisala RS80 DigiCORA III radiosonde base case 31313=96799^ (W3=67) <F=T403FL or 1680AL,P=Ac,T=CB,U=A>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VHL	 VHL Vaisala RS80-15L or RS80-15LA LoRAN radiosonde^ (T=022) <F=T403FL,P=Ac,T=CB,U=A,N=L>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VHe	 VHe Vaisala RS80-15LE LoRAN radiosonde with special interface^ <F=T403FL,P=Ac,T=CB,U=A,N=L>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VHl	 VHl Vaisala RS80-15LH H-Humicap LoRAN radiosonde^ <F=T403FL,P=Ac,T=CB,U=A,N=L>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VJL	 VJL Vaisala RS80-18L or RS80-18LA LoRAN radiosonde^ <F=T403FL,P=Ac,T=CB,U=A,N=L>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VJl	 VJl Vaisala RS80-18LH H-Humicap LoRAN radiosonde^ <F=T403FL,P=Ac,T=CB,U=A,N=L>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VcV	 VcV Vaisala RS80 DigiCORA I, II, or Marwin unknown corr, Omega wind 31313=96105^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=O>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	Vcg	 Vcg Vaisala RS80 DigiCORA I, II, or Marwin unknown corr, GPS wind 31313=96108^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VCN	 VCN Vaisala RS80 DigiCORA I, II, or Marwin auto corr, no wind 31313=46100^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=none>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VCL	 VCL Vaisala RS80 DigiCORA I, II, or Marwin auto corr, LoRAN wind 31313=46106^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=L>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VCT	 VCT Vaisala RS80 DigiCORA I, II, or Marwin auto corr, ranging wind 31313=46103^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=Ta>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VCA	 VCA Vaisala RS80 DigiCORA I, II, or Marwin auto corr, Russia VLF wind 31313=46105^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=A (Russian Alpha VLF)> 
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MVH	 MVH Mixed Vaisala RS80 LoRAN (VGL, 31313=46706) and GPS (VGG, 31313=46708)^
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MVF	 MVF Mixed Vaisala RS80 DigiCORA I, II, or Marwin Omega (VCV, 31313=46105) and RS80 PCCORA Omega (VDV, 46205)^
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VCG	 VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MVB	 MVB Mixed Vaisala RS80 DigiCORA no wind (VCN, 31313=46100) and RS80 DigiCORA LoRAN wind (VCL, 31313=46106)^ Actually, usually 31313=46105 with sfc wind only after Omega is discontinued
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MV9	 MV9 Mixed Vaisala RS80-GH DigiCORA III (VGG, 31313=46708) and RS92-SGP (VNg, 31313=48008)^
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MV8	 MV8 Mixed Vaisala RS80 DigiCORA I, II, or Marwin LoRAN (VCL, 31313=46106) and RS90 LoRAN (V9l, 31313=47106), mostly V9l^
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MVN	 MVN Mixed Vaisala RS92 DigiCORA III LoRAN (VNl, 31313=48006) and RS80 LoRAN (VGL, 31313=46706), mostly VNl^
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MV5	 MV5 Mixed Vaisala RS80 (VC_) and RS90 DigiCORA (V9-)^ Station 26038 in 1997-1998, assumed that DP to T above -40 is RS90 and DP to T above -60 is RS80;
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MV3	 MV3 Mixed Vaisala RS80 MicroCora (VB_) and DigiCORA (VC_)^ Station 02836 and others, based on 31313, Vaisala RS80 MicroCora (60=VB_) with complete dew point, RS80 DigiCORA (61=VC_)
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MV2	 MV2 Mixed Vaisala RS80 (V8A) and RS80 DigiCORA (VC_)^ Canada 1994, mixed Vaisala RS80 unspecified (V8A, no 31313) and RS80 DigiCORA or Marwin (61=VC_ in 31313)
