primary_id	secondary_id	station_name	latitude	longitude	start	end	file
0-20000-0-24246	[24246]	ASTORIA/CLATSOP, OR.	46.169998	-123.879997	1941-12-03 00:00:00	1946-05-19 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:24246
0-20000-0-13836	[13836]	MACON/LEWIS B.WILSON, GA.	32.700001	-83.650002	1942-01-13 00:00:00	1944-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:13836
0-20000-0-24163	[24163]	HANFORD, WA.	46.23	-119.120003	1942-09-01 00:00:00	1945-11-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:24163
0-20000-0-10806	[10806]	TOBIAS BOLANOS PALMA INTERNATIONAL AIRPORT	9.9	-84.129997	1943-03-02 00:00:00	1945-09-21 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:10806
0-20000-0-13838	[13838]	MOBILE/BATES FIELD,  AL.	30.629999	-88.07	1943-01-06 00:00:00	1945-01-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:13838
0-20000-0-26203	[26203]	FORT SIMPSON CLIMATE, NWT	61.869999	-121.349998	1943-06-04 00:00:00	1958-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:26203
[]	[51301]		12.9	-38.349998	1943-10-01 00:00:00	1946-03-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:51301
0-20000-0-13837	[13837]	AUGUSTA/BUSH FIELD,  GA.	33.470001	-82.029999	1942-09-09 00:00:00	1945-01-06 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:13837
0-20000-0-04330	[17203]	DANEBORG	74.5	-20.23	1944-12-18 00:00:00	1946-02-03 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:17203
[]	[13719]	CUMBERLAND	39.669998	-78.669998	1929-01-09 00:00:00	1931-09-10 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:13719
0-20000-0-25301	[25301]	ANNETTE ISLAND, AK	55.029999	-131.580002	1942-02-02 00:00:00	1947-07-29 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:25301
