primary_id	station_name	files
0-20000-0-01002	VERLEGENHUKEN	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:1020']
0-20000-0-04018	KEFLAVIKURFLUGVOLLUR	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:16204']
0-20000-0-04063	AKUREYRI	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:16101']
0-20000-0-04330	DANEBORG	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:17203']
0-20000-0-04339	ITTOQQORTOORMIIT (SCORESBYSUND)	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:17202']
0-20000-0-07072	REIMS-PRUNAY	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:34072']
0-20000-0-07761	AJACCIO	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:34003']
0-20000-0-07765	SOLENZARA	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:34013']
0-20000-0-07790	BASTIA	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:34009']
0-20000-0-08160	ZARAGOZA/AEROPUERTO	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:14010']
0-20000-0-10001	TEMA	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:10001']
0-20000-0-10002	TABOU	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:10002']
0-20000-0-1001	JAN MAYEN (1001-0)	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:1001']
0-20000-0-10034	GLUECKSBURG-MEIERWIK	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10034']
0-20000-0-10035	SCHLESWIG (10035-0)	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10035']
0-20000-0-10046	KIEL-HOLTENAU	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10046']
0-20000-0-1005	ISFJORD RADIO	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:1005']
0-20000-0-10102	ROBERTS FIELD	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:10102']
0-20000-0-10103	SPRIGGS PAYNE AIRPORT	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:10103']
0-20000-0-10122	WITTMUNDHAVEN	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10122']
0-20000-0-10184	GREIFSWALD	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10184']
0-20000-0-10185	GREIFSWALD	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10185']
0-20000-0-10200	EMDEN-FLUGPLATZ	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10200']
0-20000-0-10202	EMDEN-FLUGPLATZ	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10202']
0-20000-0-10224	BREMEN	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:35001']
0-20000-0-10238	BERGEN	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10238']
0-20000-0-1028	BJORNOYA (1028-0)	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:1028']
0-20000-0-1030	KISTEFJELL	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:1030']
0-20000-0-10304	MEPPEN	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10304']
0-20000-0-10307	MUENSTER/OSNABRUECK	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10307']
0-20000-0-10338	HANNOVER	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10338']
0-20000-0-10384	BERLIN-TEMPELHOF	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10384']
0-20000-0-10385	BERLIN-SCHOENEFELD	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10385']
0-20000-0-10393	LINDENBERG (10393-0)	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10393']
0-20000-0-10404	ARCEN AWS	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10404']
0-20000-0-10410	ESSEN-BREDENEY (10410-0)	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10410']
0-20000-0-10419	LUEDENSCHEID	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10419']
0-20000-0-10454	WERNIGERODE	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10454']
0-20000-0-10486	DRESDEN-KLOTZSCHE	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.1:10486']
0-20000-0-10501	CAYENNE MATOURY	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:10501']
0-20000-0-10503	ZANDERIJ	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:10503']
0-20000-0-10504	AMAPA	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:10504']
0-20000-0-10507	AMAPA	['/raid60/scratch/leo/scratch/era5/odbs/1759/era5.1759.conv.2:10507']
