	date_time	sensor_id	date_time_conv
0	1980244800	b'RA4 '	1962-10-02 12:00:00
10214	2400192000	b'MRu '	1976-01-23 00:00:00
11188	2477088000	b'RK5 '	1978-07-01 00:00:00
16293	2678011200	b'RRB '	1984-11-11 12:00:00
20723	2833358400	b'MRr '	1989-10-14 12:00:00
25489	3076056000	b'RR1 '	1997-06-23 12:00:00
26109	3137486400	b'XXX '	1999-06-04 12:00:00
27646	3311150400	b'RZ3 '	2004-12-04 12:00:00
28102	3333096000	b'RZK '	2005-08-15 12:00:00
28104	3333182400	b'RV7 '	2005-08-16 12:00:00
33209	3565944000	b'28.0'	2012-12-31 12:00:00
33255	3567931200	b'nan'	2013-01-23 12:00:00
33338	3571516800	b'58.0'	2013-03-06 00:00:00
34501	3622449600	b'75.0'	2014-10-16 12:00:00
36362	3708244800	b'90.0'	2017-07-05 12:00:00
38030	3780732681	b'128.'	2019-10-22 11:31:21
