	date_time	sensor_id	date_time_conv
0	1769936400	b'WI4 '	1956-02-02 09:00:00
9226	2482315200	b'IA3 '	1978-08-30 12:00:00
25402	2979417600	b'I31 '	1994-06-01 00:00:00
31473	3150810000	b'W_P '	1999-11-05 17:00:00
31619	3159151200	b'XXX '	2000-02-10 06:00:00
35949	3313134000	b'I41 '	2004-12-27 11:00:00
36110	3318022800	b'MI1 '	2005-02-22 01:00:00
41202	3565922400	b'nan'	2012-12-31 06:00:00
41258	3571257600	b'17.0'	2013-03-03 00:00:00
42181	3653035200	b'51.0'	2015-10-05 12:00:00
42185	3653164800	b'21.0'	2015-10-07 00:00:00
42493	3664915200	b'71.0'	2016-02-20 00:00:00
43718	3714076800	b'5.0'	2017-09-11 00:00:00
44045	3727209600	b'10.0'	2018-02-10 00:00:00
44479	3744619200	b'15.0'	2018-08-30 12:00:00
44748	3757536000	b'48.0'	2019-01-27 00:00:00
45125	3791145600	b'112.'	2020-02-20 00:00:00
