	date_time	sensor_id	date_time_conv
0	1565003520	b'RS3 '	1949-08-05 11:12:00
30562	2439158400	b'MRu '	1977-04-18 00:00:00
31601	2461816800	b'RK5 '	1978-01-05 06:00:00
40547	2720822400	b'RRB '	1986-03-22 00:00:00
43793	2807308800	b'RR1 '	1988-12-17 00:00:00
46762	2901960000	b'MRB '	1991-12-17 12:00:00
46788	2904292800	b'RZ3 '	1992-01-13 12:00:00
50518	3136838400	b'XXX '	1999-05-28 00:00:00
52271	3328905600	b'RZK '	2005-06-28 00:00:00
52273	3329078400	b'RV7 '	2005-06-30 00:00:00
57322	3565944000	b'28.0'	2012-12-31 12:00:00
57366	3567931200	b'nan'	2013-01-23 12:00:00
57524	3574756800	b'58.0'	2013-04-12 12:00:00
58913	3644352000	b'53.0'	2015-06-27 00:00:00
59363	3663921600	b'75.0'	2016-02-08 12:00:00
59874	3686947200	b'90.0'	2016-11-01 00:00:00
60199	3700987200	b'68.0'	2017-04-12 12:00:00
61835	3772569600	b'19.0'	2019-07-20 00:00:00
62407	3797278292	b'119.'	2020-04-30 23:31:32
