	date_time	sensor_id	date_time_conv
0	1596164400	b'ZF1 '	1950-08-01 03:00:00
30712	2800656000	b'ZKB '	1988-10-01 00:00:00
40961	3026764800	b'AH  '	1995-12-01 00:00:00
53083	3565944000	b'87.0'	2012-12-31 12:00:00
53234	3572596800	b'nan'	2013-03-18 12:00:00
53466	3582619200	b'26.0'	2013-07-12 12:00:00
53584	3587716800	b'58.0'	2013-09-09 12:00:00
53586	3587803200	b'21.0'	2013-09-10 12:00:00
53664	3591216000	b'36.0'	2013-10-20 00:00:00
53667	3591345600	b'18.0'	2013-10-21 12:00:00
53744	3594672000	b'79.0'	2013-11-29 00:00:00
53780	3596227200	b'28.0'	2013-12-17 00:00:00
54596	3635494500	b'82.0'	2015-03-16 11:35:00
