	date_time	sensor_id	date_time_conv
0	851181600	b'W_P '	1926-12-22 15:20:00
13338	1251669600	b'U?? '	1939-08-31 22:00:00
40902	1972166400	b'ZCH '	1962-07-01 00:00:00
42813	2054764800	b'UBt '	1965-02-11 00:00:00
43002	2062886400	b'ZDB '	1965-05-16 00:00:00
45698	2179180800	b'Z?? '	1969-01-21 00:00:00
48188	2286144000	b'ZF1 '	1972-06-12 00:00:00
54975	2579126400	b'ZJ1 '	1981-09-24 00:00:00
57091	2670408000	b'C2  '	1984-08-15 12:00:00
60180	2801088000	b'ZKB '	1988-10-06 00:00:00
66558	3074112000	b'ZK2 '	1997-06-01 00:00:00
77903	3565944000	b'87.0'	2012-12-31 12:00:00
78023	3571063200	b'52.0'	2013-02-28 18:00:00
78124	3575404800	b'nan'	2013-04-20 00:00:00
81374	3714721371	b'152.'	2017-09-18 11:02:51
