	date_time	sensor_id	date_time_conv
0	1333422000	b'RS6 '	1942-04-04 03:00:00
17418	2399976000	b'RK2 '	1976-01-20 12:00:00
27208	2687515200	b'MR4 '	1985-03-01 12:00:00
27279	2689243200	b'RRA '	1985-03-21 12:00:00
32327	2826554400	b'MRr '	1989-07-27 18:00:00
36650	3032640000	b'XXX '	1996-02-07 00:00:00
38076	3325147200	b'RZ3 '	2005-05-15 12:00:00
38132	3342600000	b'RZD '	2005-12-03 12:00:00
38857	3380918400	b'RHM '	2007-02-20 00:00:00
43064	3565944000	b'29.0'	2012-12-31 12:00:00
43087	3566937600	b'89.0'	2013-01-12 00:00:00
43110	3567931200	b'nan'	2013-01-23 12:00:00
45171	3661934400	b'28.0'	2016-01-16 12:00:00
45467	3674721600	b'27.0'	2016-06-12 12:00:00
45926	3694550400	b'90.0'	2017-01-28 00:00:00
47692	3770926200	b'129.'	2019-06-30 23:30:00
47993	3783929400	b'162.'	2019-11-28 11:30:00
48180	3792009600	b'62.0'	2020-03-01 00:00:00
49197	3835942200	b'160.'	2021-07-22 11:30:00
