	date_time	sensor_id	date_time_conv
0	1514685600	b'U?? '	1948-01-01 02:00:00
5620	2008972800	b'??? '	1963-08-31 00:00:00
8784	2281132800	b'ZF1 '	1972-04-15 00:00:00
11429	2400019200	b'C2  '	1976-01-21 00:00:00
30130	3565944000	b'17.0'	2012-12-31 12:00:00
30157	3567240000	b'80.0'	2013-01-15 12:00:00
30592	3586204800	b'nan'	2013-08-23 00:00:00
31286	3620160000	b'18.0'	2014-09-20 00:00:00
32231	3685737600	b'35.0'	2016-10-18 00:00:00
32233	3685820074	b'135.'	2016-10-18 22:54:34
32983	3741764400	b'41.0'	2018-07-28 11:00:00
32987	3742110134	b'141.'	2018-08-01 11:02:14
