	date_time	sensor_id	date_time_conv
0	602226000	b'RS3 '	1919-02-01 05:00:00
28776	2322086400	b'MRu '	1973-08-02 00:00:00
32373	2428747200	b'RK5 '	1976-12-18 12:00:00
32839	2442938400	b'XXX '	1977-05-31 18:00:00
40696	2722788000	b'MR5 '	1986-04-13 18:00:00
40722	2724408000	b'RRB '	1986-05-02 12:00:00
45322	2871676800	b'MRB '	1991-01-01 00:00:00
45375	2874009600	b'RZ3 '	1991-01-28 00:00:00
48868	3436732800	b'RHM '	2008-11-27 00:00:00
48913	3441398400	b'RZW '	2009-01-20 00:00:00
51001	3565944000	b'89.0'	2012-12-31 12:00:00
51033	3567499200	b'29.0'	2013-01-18 12:00:00
51038	3567715200	b'nan'	2013-01-21 00:00:00
55208	3757104000	b'90.0'	2019-01-22 00:00:00
55325	3762590400	b'62.0'	2019-03-26 12:00:00
55333	3763022400	b'69.0'	2019-03-31 12:00:00
55398	3766044600	b'162.'	2019-05-05 11:30:00
57090	3841947190	b'119.'	2021-09-29 23:33:10
