	date_time	sensor_id	date_time_conv
0	1814400000	b'RS6 '	1957-07-01 00:00:00
4750	2378894400	b'RK5 '	1975-05-21 12:00:00
10430	2749032000	b'MR5 '	1987-02-11 12:00:00
10438	2749420800	b'RRB '	1987-02-16 00:00:00
10792	2775945600	b'RZ3 '	1987-12-20 00:00:00
12448	2897078400	b'RRb '	1991-10-22 00:00:00
14231	3050092800	b'XXX '	1996-08-27 00:00:00
21120	3565900800	b'58.0'	2012-12-31 00:00:00
21125	3566332800	b'28.0'	2013-01-05 00:00:00
21140	3567628800	b'nan'	2013-01-20 00:00:00
22971	3707856000	b'90.0'	2017-07-01 00:00:00
24147	3823545600	b'19.0'	2021-03-01 00:00:00
24165	3825099174	b'119.'	2021-03-18 23:32:54
