	date_time	sensor_id	date_time_conv
0	2491171200	b'W__ '	1978-12-11 00:00:00
501	2671142400	b'V2_ '	1984-08-24 00:00:00
1523	2764713600	b'CR  '	1987-08-12 00:00:00
2359	2837548800	b'V8A '	1989-12-02 00:00:00
16840	3565900800	b'nan'	2012-12-31 00:00:00
16841	3565987200	b'57.0'	2013-01-01 00:00:00
17104	3581625600	b'80.0'	2013-07-01 00:00:00
17157	3588278400	b'17.0'	2013-09-16 00:00:00
17880	3622233600	b'32.0'	2014-10-14 00:00:00
18262	3640593600	b'7.0'	2015-05-14 12:00:00
18697	3661113600	b'29.0'	2016-01-07 00:00:00
21457	3794817600	b'54.0'	2020-04-02 12:00:00
