	date_time	sensor_id	date_time_conv
0	1483135200	b'J56 '	1946-12-31 22:00:00
25443	2561457600	b'J80 '	1981-03-03 12:00:00
38114	2845281600	b'J8H '	1990-03-01 12:00:00
46530	3034238400	b'J94 '	1996-02-25 12:00:00
51242	3139819200	b'J99 '	1999-07-01 12:00:00
56305	3253046400	b'J9H '	2003-02-01 00:00:00
58590	3318624000	b'VN8 '	2005-03-01 00:00:00
64443	3565944000	b'81.0'	2012-12-31 12:00:00
64489	3567931200	b'nan'	2013-01-23 12:00:00
67577	3699000000	b'35.0'	2017-03-20 12:00:00
67796	3708374400	b'18.0'	2017-07-07 00:00:00
67797	3708415800	b'135.'	2017-07-07 11:30:00
67798	3708460800	b'15.0'	2017-07-08 00:00:00
67801	3708590400	b'28.0'	2017-07-09 12:00:00
