sensor_id,comment
BF6,"  BF6 South Africa InterMet Africa BAT-16GP radiosonde {2007}^ <F=T1676-1682FL,P=Sp,T=TB,U=A,W=R,N=G>"
BFA,"  BFA South Africa InterMet Africa iMet-2-AB 403 MHz with pres GPS sonde, automatic solar and IR corr {~2009}^ <F=T403FL,P=Sp,T=TB,U=A,N=G>"
BFB,"  BFB South Africa InterMet Africa iMet-2-BB 1680 MHz with pres GPS sonde, automatic solar and IR corr {~2012}^ <F=T1680FL,P=Sp,T=TB,U=A,N=G>"
BFG,"  BFG South Africa InterMet Africa BAT-16G radiosonde {2007} 31313=49808^ <F=T1676-1682FL,P=none,T=TB,U=A,N=G>"
BFI,"  BFI South Africa InterMet Africa iMet-2-BI 1680 MHz RDF radiosonde, automatic solar and IR corr {~2012}^ <F=T1680FL,P=Sp,T=TB,U=A,W=Ra"
BFN,  BFN South Africa Weather Bureau radiosonde {1953}^ <F=V?FE>
BFP,"  BFP South Africa InterMet Africa BAT-16P radiosonde {2007} 31313=*97** allocated but not used^ <F=T1676-1682FL,P=Sp,T=TB,U=A,W=Ra>"
BFV,"  BFV South African Weather Service Powersonde with Vaisala RS80 {2002}^ <F=T403FL,P=Ac,T=CB,U=A,N=G>"
BFa,"  BFa South Africa InterMet Africa iMet-2-AA 403 MHz no pres GPS sonde, automatic solar and IR corr {~2009} 31313=49908^ <F=T403FL,P=none,T=TB,U=A,N=G>"
BFb,"  BFb South Africa InterMet Africa iMet-2-BA 1680 MHz no pres GPS sonde, automatic solar and IR corr {~2012} 31313=4??08^ <F=T1680FL,P=none,T=TB,U=A,N=G>"
BFg,"  BFg South Africa InterMet Africa BAT-16G radiosonde, no rad corr {2007} 31313=09808^ <F=T1676-1682FL,P=none,T=TB,U=A,N=G>"
BGR,"  BGR Nigeria University of Ife refractivity radiosonde {~1980}^ <F=?1680?B,P=A,T=T,U=W>"
BHC,"  BHC Netherlands code sending radiosonde {1939}^ <F=V50ME,P=D,T=B,U=H>"
BHP,  BHP Netherlands Philips KNMI radiosonde {1954}^ (KNMI = Koninklijk Nederlands Meteorologisch Instituut)
BI1,"  BI1 Italy Olland-type radiosonde {~1940}^ <F=V?HC,P=A,T=B,U=H>"
BI2,"  BI2 Italy audiomodulated (AM) radiosonde {1950}^ <F=V?AL,P=Ac,T=T,U=L(?)>"
BI8,  BI8 Italy Autovox 1680 IP & TR radiosonde {early 1980s?}^
BIA,"  BIA Italy Autovox 403 MHz radiosonde {early 1960s}^ (T=111) <F=V403?B,P=A,T=?,U=?,W=DM>"
BII,  BII Italy Autovox IA/AMT-1680B carbon hygristor radiosonde {late 1960s}^ (W1=25 called Autovox 1680 IP and TR)
BIL,"  BIL Italy Autovox LiCl hygristor radiosonde {1960s}^ <F=V1680FB,P=A,T=TR,U=L(Bendix-Friez ML-418/AM)>"
BIT,"  BIT Italy Autovox AN/AMT-4B transponder radiosonde {early 1960s}^ <F=V1680FB,P=A,T=TR,U=L,W=Ta>"
BKA,"  BKA South Korea Jinyang VIZ Mark I 1507-510 RDF radiosonde {1987} 31313=02102^ (W2=24, W3=21)"
BKG,  BKG South Korea Jinyang GPS radiosonde {2006?}^
BKH,"  BKH South Korea Jinyang 403 MHz RSG-20 GPS radiosonde {2007?}^ <F=T403DL,P=Ac,T=TD,U=C,N=G>"
BKL,"  BKL South Korea Jinyang VIZ Mark I 1523-511 Loran radiosonde {1997} 31313=02106^ (W2=24, W3=21)"
BKM,  BKM South Korea Jinyang 1524L LoRAN radiosonde {2003?}^
BKN,  BKN South Korea Jinyang 1524G GPS radiosonde {2003?}^
BKV,"  BKV South Korea Jinyang VIZ Mark I 1524-511 Omega radiosonde {1987} 31313=02105^ (W2=24, W3=21)"
BKZ,  BKZ South Korea JinYang VIZ 1392 series {assumed 1978}^
BKa,"  BKa South Korea Jinyang 1524LA LoRAN radiosonde {2006?}^ <F=T403DL,P=Ac,T=T,U=A,N=L>"
BKg,"  BKg South Korea Jinyang 403 MHz RSG-20A GPS radiosonde {2010?} 31313=52108^ [F=T403DL,P=Ac,T=T,U=A,N=G>"
BKl,"  BKl South Korea Jinyang VIZ Mark I 1523-511 Loran radiosonde solar cor {2003} 31313=52106^ (W2=24, W3=21)"
