
########################################################################################
# This file contains data retrieved from the CDS https://cds.climate.copernicus.eu/cdsapp#!/dataset/insitu-observations-igra-baseline-network
# This is a C3S product under the following licences:
# #     - licence-to-use-copernicus-products
#     - igra-data-policy
# This is a CSV file following the CDS convention cdm-lev
# Data source: IGRA
# Version: v1
# Time extent: 20090421 - 20090421
# Geographic area: global
# Variables selected and units
# #	air_temperature [ K ]
########################################################################################
station_name,report_timestamp,report_id,longitude,latitude,air_pressure,air_temperature
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,101750,272.65
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,101050,272.45
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,100000,271.55
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,98770,270.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,97110,271.55
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,92500,268.65
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,90720,267.75
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,90420,267.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,90160,268.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,89700,272.25
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,89280,273.25
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,89000,273.35
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,87640,273.15
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,85000,272.05
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,84060,271.75
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,81120,269.65
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,77240,268.65
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,75260,268.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,70000,265.55
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,67820,264.65
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,64520,261.35
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,62560,259.45
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,60200,257.75
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,53250,255.15
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,50000,252.15
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,47700,249.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,46600,249.25
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,40000,240.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,37130,236.95
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,36310,235.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,30000,223.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,27560,218.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,25000,214.05
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,22420,208.75
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,21260,207.45
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,20730,208.15
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,20220,210.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,20000,210.75
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,19800,211.25
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,19460,213.95
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,19060,215.45
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,18340,215.35
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,17620,216.55
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,17190,216.15
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,16400,218.15
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,15850,216.95
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,15000,217.05
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,14620,218.05
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,14330,217.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,13930,219.95
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,13310,218.55
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,12960,220.15
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,11230,220.05
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,10580,222.25
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,10000,220.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,9650,220.15
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,9090,221.25
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,8440,220.15
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,7480,222.55
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,7000,221.05
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,6620,220.55
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,5720,222.85
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,5000,221.45
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,4540,224.05
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,4140,222.55
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,3950,224.25
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,3000,224.35
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,2620,223.75
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,2540,225.25
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,2240,225.15
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,2000,227.55
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,1710,227.25
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,1610,229.15
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,1380,229.05
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,1270,231.35
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,1130,230.55
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,1000,234.35
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,990,234.75
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
USM00070308,2009-04-21 00:00:00+00,31248324,-170.2167,57.15,,
