
########################################################################################
# This file contains data retrieved from the CDS https://cds.climate.copernicus.eu/cdsapp#!/dataset/insitu-observations-igra-baseline-network
# This is a C3S product under the following licences:
# #     - licence-to-use-copernicus-products
#     - igra-data-policy
# This is a CSV file following the CDS convention cdm-lev
# Data source: IGRA_H
# Version: v1
# Time extent: 20090421 - 20090421
# Geographic area: global
# Variables selected and units
# #	air_temperature [ K ]
########################################################################################
station_name,radiosonde_code,sensor_model,report_timestamp,actual_time,report_id,longitude,latitude,height_of_station_above_sea_level,air_pressure,air_temperature
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,17620,216.55
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,17190,216.15
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,16400,218.15
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,15850,216.95
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,15000,217.05
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,14620,218.05
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,14330,217.85
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,13930,219.95
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,13310,218.55
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,12960,220.15
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,11230,220.05
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,10580,222.25
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,10000,220.85
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,9650,220.15
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,9090,221.25
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,8440,220.15
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,7480,222.55
USM00070308,51,VIZ-B2 (United States),2009-04-21 00:00:00+00,2009-04-20 23:09:00+00,11265784,-170.217,57.15,10,7000,221.05
