primary_id	secondary_id	station_name	latitude	longitude	start	end	file
0-20000-0-25913	[25913]	MAGADAN	59.580002	150.779999	1950-03-14 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:25913
0-20000-0-48019	[48019]	BHAMO	24.27	97.199997	1954-09-06 00:00:00	1959-12-14 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:48019
0-20000-0-28952	[28952]	KOSTANAY	53.220001	63.619999	1950-10-12 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:28952
0-20000-0-34858	[34858]	DIVNOE	45.919998	43.349998	1957-11-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:34858
0-20000-0-31909	[31909]	TERNEJ	45.029999	136.669998	1950-09-02 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:31909
0-20000-0-16689	[16689]	ANDRAVIDA (AIRPORT)	38.25	21.73	1949-10-01 00:00:00	1953-02-21 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:16689
0-20000-0-54823	[54823]	JINAN	36.700001	117.07	1956-08-21 00:00:00	1959-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:54823
0-20000-0-23804	[23804]	SYKTYVKAR (23804-0)	61.669998	50.849998	1947-01-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:23804
0-20000-0-10393	[10393]	LINDENBERG (10393-0)	52.22	14.12	1906-01-03 00:00:00	1906-12-27 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1906
0-20000-0-1152	[1152]	BODO VI	67.269997	14.37	1942-04-01 00:00:00	1959-03-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:1152
0-20000-0-47624	[47624]	MAEBASHI	36.400002	139.070007	1932-06-30 00:00:00	1953-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47624
