primary_id	secondary_id	station_name	latitude	longitude	start	end	file
0-20000-0-03002	[3001]	BALTASOUND NO 2	60.849998	-0.88	1982-05-12 00:00:00	1998-05-03 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._03001
0-20000-0-04231	[4231]	MITTARFIK KANGERLUSSUAQ (SDR. STROEMFJORD LUFTHAVN)	67.0	-50.799999	1985-03-18 00:00:00	1992-10-14 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._04231
[]	[41014]		22.0	49.919998	1984-06-07 00:00:00	1994-04-18 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._41014
0-20000-0-11024	[11024]	JAUERLING	48.349998	15.37	1981-10-04 00:00:00	1985-04-04 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._11024
0-20000-0-14021	[13021]	SLOVENJ GRADEC	46.48	15.12	1981-09-06 00:00:00	1988-10-29 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._13021
0-20000-0-07661	[7660]	CAP CEPET	43.099998	5.93	1979-12-09 00:00:00	1993-07-21 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._07660
0-20000-0-13174	[13174]	KIKINDA	45.849998	20.469999	1986-09-28 00:00:00	1986-09-28 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._13174
0-20000-0-16400	[16400]	USTICA	38.700001	13.17999	1979-10-12 00:00:00	1984-01-27 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._16400
0-20000-0-03002	[3004]	BALTASOUND NO 2	60.529999	-1.38	1989-12-26 00:00:00	1989-12-26 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._03004
0-20000-0-16122	[16122]	ALBENGA	44.049999	8.12	1986-12-23 00:00:00	1994-08-17 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._16122
0-20000-0-04242	[4242]	SIORALIK	65.019997	-52.549999	1987-04-21 00:00:00	1987-04-21 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._04242
0-20000-0-06400	[6400]	KOKSIJDE	51.080002	2.65	1980-04-13 00:00:00	2009-10-12 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._06400
[]	[23331]		66.949997	65.470001	1983-09-29 00:00:00	1983-09-29 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._23331
0-20000-0-60686	[60686]	BORDJ-BADJ-MOKHTAR	21.33	0.95	2011-06-08 00:00:00	2012-06-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._60686
0-20000-0-14246	[13033]	VARAZDIN	46.299999	16.379999	1995-03-13 00:00:00	1995-03-13 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._13033
0-20000-0-07671	[7678]	COLLOBRIERES-RADAR	43.029999	6.47	1982-03-02 00:00:00	1982-03-17 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._07678
0-20000-0-03002	[3007]	BALTASOUND NO 2	60.580002	-1.27	1993-06-09 00:00:00	1993-06-09 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._03007
0-20000-0-03257	[3257]	LEEMING	54.299999	-1.53	1989-09-21 00:00:00	2010-05-02 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._03257
0-20000-0-14528	[13228]	BIHAC	44.82	15.88	1990-09-06 00:00:00	1990-09-06 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._13228
0-20000-0-04282	[4282]	ALLUITSUP PAA HELIPORT	60.450001	-45.549999	1979-09-10 00:00:00	1983-06-06 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._04282
0-20000-0-16129	[16129]	LA SPEZIA-LA CASTELLANA	44.029999	9.83	1989-11-22 00:00:00	2001-04-14 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._16129
0-20000-0-16420	[16420]	MESSINA	38.200001	15.55	1979-07-20 00:00:00	1988-05-14 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._16420
0-20000-0-23339	[23338]	POLUJ	66.269997	67.870003	1980-03-19 00:00:00	1994-12-11 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._23338
0-20000-0-14121	[13121]	NOVO MESTO	45.799999	15.18	1980-07-30 00:00:00	1984-07-13 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._13121
0-20000-0-03100	[3024]	TIREE	56.970001	-6.68	1998-10-06 00:00:00	1998-10-06 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._03024
0-20000-0-43258	[43258]	SHIMOGA	13.93	75.629997	1982-06-15 00:00:00	1982-06-15 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._43258
0-20000-0-07684	[7680]	CANNES	43.419998	6.75	1982-03-01 00:00:00	1985-11-13 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._07680
0-20000-0-16140	[16140]	BOLOGNA/BORGO PANIGALE	44.529999	11.3	1986-06-04 00:00:00	1989-07-01 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._16140
0-20000-0-23405	[23405]	UST'-CIL'MA	65.449997	52.169998	1992-07-02 00:00:00	1992-07-02 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._23405
0-20000-0-14253	[13138]	BJELOVAR	45.900002	16.85	1982-03-22 00:00:00	1982-03-22 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._13138
0-20000-0-03266	[3266]	LINTON-ON-OUSE	54.049999	-1.25	1985-05-31 00:00:00	1985-05-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._03266
0-20000-0-03100	[3039]	TIREE	56.700001	-6.12	1989-11-24 00:00:00	1989-11-24 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._03039
0-20000-0-16135	[16142]	PASSO PORRETTA	44.049999	11.38	1979-09-15 00:00:00	1988-09-17 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._16142
0-20000-0-23412	[23412]	UST'-USA	65.970001	56.919998	1983-09-02 00:00:00	1989-09-17 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._23412
0-20000-0-07690	[7690]	NICE	43.650002	7.2	1979-11-11 00:00:00	2002-09-27 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._07690
0-20000-0-03065	[3070]	CAIRNGORM SUMMIT	57.349998	-3.35	1993-04-16 00:00:00	1993-04-16 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._03070
0-20000-0-14307	[13209]	PULA AERODROME	44.900002	13.92	1981-07-03 00:00:00	1988-05-20 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._13209
0-20000-0-20107	[20107]	BARENTSBURG	78.07	14.22	1979-01-01 00:00:00	1995-01-27 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._20107
0-20000-0-30692	[30692]	SKOVORODINO	54.0	123.970001	1979-01-01 00:00:00	1996-08-15 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._30692
0-20000-0-42474	[42475]	ALLAHABAD/GHOORPUR	25.450001	81.72998	1979-01-09 00:00:00	2019-05-04 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._42475
0-20000-0-03092	[3092]	PETERHEAD HARBOUR	57.5	-1.77	1996-05-01 00:00:00	1996-05-01 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._03092
0-20000-0-07747	[7747]	PERPIGNAN	42.73	2.87	1979-07-15 00:00:00	1990-05-15 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._07747
0-20000-0-14557	[13257]	TUZLA	44.549999	18.700001	1980-01-28 00:00:00	1986-02-13 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._13257
0-20000-0-30695	[30695]	DZALINDA (30695-0)	53.470001	123.900002	1981-09-14 00:00:00	1981-09-14 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._30695
0-20000-0-03302	[3302]	VALLEY	53.25	-4.53	1980-03-06 00:00:00	1980-03-06 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._03302
0-20000-0-10488	[9486]	DRESDEN-KLOTZSCHE	51.119999	13.67999	1979-01-01 00:00:00	1992-04-04 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._09486
0-20000-0-03132	[3130]	WEST FREUGH	54.849998	-4.95	1996-09-03 00:00:00	2000-10-24 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._03130
0-20000-0-13279	[13279]	SMEDEREVSKA PALANKA	44.369999	20.950001	1983-10-13 00:00:00	1983-10-13 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._13279
0-20000-0-29998	[30700]	ORLIK	52.169998	100.350014	1979-02-22 00:00:00	1993-05-19 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1/era5.conv._30700
