primary_id	secondary_id	station_name	latitude	longitude	start	end	file
0-20000-0-43194	[4208]	GOA/DABOLIM AIRPORT	15.38	73.82	1956-06-21 00:00:00	1961-11-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4208
0-20000-0-91939	[4426]	PAPPEETE, TAHITI	-17.548	-149.582993	1949-06-24 00:00:00	1951-12-18 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4426
0-20000-0-07028	[4507]	CAP-DE-LA HEVE	49.511002	0.08	1920-08-01 00:00:00	1921-02-28 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4507
0-20000-0-30636	[4546]	BARGUZIN	53.619999	109.629997	1954-04-19 00:00:00	1954-09-21 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4546
0-20000-0-30935	[4560]	KRASNYJ CHIKOJ	50.369999	108.75	1954-04-19 00:00:00	1954-09-22 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4560
0-20000-0-32540	[4574]	PETROPAVLOVSK-KAMCHATSKIJ (32540-0)	53.049999	158.330002	1954-04-19 00:00:00	1954-09-21 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4574
0-20000-0-07108	[4342]	PLABENNEC-RADAR	48.375	-4.508	1925-01-06 00:00:00	1927-11-04 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4342
0-20000-0-91939	[4430]	PAPPEETE, TAHITI	-17.533001	-149.565994	1938-01-09 00:00:00	1948-05-02 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4430
0-20000-0-38989	[4590]	TAGTABAZAR	35.950001	62.919998	1954-04-19 00:00:00	1954-09-22 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4590
0-20000-0-07249	[4511]	ORLEANS	47.941002	1.891	1920-12-07 00:00:00	1921-03-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4511
0-20000-0-35746	[4604]	ARAL TENIZI	46.619999	61.650002	1954-10-19 00:00:00	1955-04-22 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4604
[]	[4618]	Karaganda	49.799999	73.129997	1954-10-19 00:00:00	1955-04-22 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/3188/era5.3188.conv.C:4618
