level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
0	0		TAFT (GARDNER FIELD)	35.1167	-119.3	132.9				23126	1942.0	1944.0	True	54.7		0-20300-0-23126	IGRA2	arvin	15.3	35.20916670000001	-118.8275	USW00023126																					inconsistentCoordinates
0	0		TEJON AIRPORT	35.03	-118.75	434.03520000000003				3108	19280601.0	19340831.0		11.0		0-20500-0-3108	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
1	1		TEJON RANCHO	35.03	-118.75	434.34000000000003				3108	19310101.0	19670705.0		11.0		0-20500-0-3108	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
2	2		TEJON RANCHO	35.02	-118.75	434.34000000000003				3108	20040120.0	99991231.0		12.0		0-20500-0-3108	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
3	3		TEJON RANCHO	35.02	-118.75	434.34000000000003				3108	19990519.0	20040120.0		12.0		0-20500-0-3108	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
4	4		TEJON RANCHO	35.02	-118.75	434.34000000000003				3108	19881012.0	19990519.0		12.0		0-20500-0-3108	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
5	5		TEJON RANCHO	35.02	-118.75	434.34000000000003				3108	19670705.0	19881012.0		12.0		0-20500-0-3108	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
6	6		TEHACHAPI AAF	35.13	-118.45	1210.056				23127	19421101.0	19441231.0		22.8		0-20500-0-23127	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
7	7		TEHACHAPI AAF	35.13	-118.45	1210.056				23127	19420101.0	19421101.0		22.8		0-20500-0-23127	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
8	8		TEHACHAPI	35.13	-118.45	1217.0664000000002				93188	19450101.0	19460531.0		22.8		0-20500-0-93188	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
9	9		TEHACHAPI	35.13	-118.45	1210.056				93188	19430101.0	19431231.0		22.8		0-20500-0-93188	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
10	10		TEHACHAPI	35.13	-118.45	1220.1144000000002				93188	19420201.0	19430101.0		22.8		0-20500-0-93188	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
11	11		TEHACHAPI	35.13	-118.45	1207.008				93188	19290701.0	19340531.0		22.8		0-20500-0-93188	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
12	12		TEHACHAPI AAF	35.13	-118.45	1210.056				23127	19441231.0	19451201.0		22.8		0-20500-0-23127	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
13	13		TEHACHAPI AAF	35.13	-118.45	1210.056				23127	19451201.0	19451231.0		22.8		0-20500-0-23127	WBAN	arvin	15.3	35.20916670000001	-118.8275																						inconsistentCoordinates
