level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
0	0		FT HOOD AAF/KILLEEN	31.1	-97.717	282.0				72257	1969.0	1991.0	True	3.3		0-20300-0-72257	IGRA2	killeen	1.6	31.116944399999998	-97.7275	USM00072257																					inconsistentCoordinates
0	0		KILEEN FT HOOD S AAF	31.13	-97.72	281.94				13955	19460501.0	19500930.0		0.0		0-20500-0-13955	WBAN	killeen	1.6	31.116944399999998	-97.7275																						inconsistentCoordinates
1	1		KILEEN FT HOOD S AAF	31.13	-97.72	281.94				13955	19520301.0	19520430.0		0.0		0-20500-0-13955	WBAN	killeen	1.6	31.116944399999998	-97.7275																						inconsistentCoordinates
2	2		FORT HOOD	31.13	-97.72	280.1112				3933	19950101.0	99991231.0		0.0		0-20500-0-3933	WBAN	killeen	1.6	31.116944399999998	-97.7275		72257.0																				inconsistentCoordinates
3	3		FORT HOOD	31.13	-97.72	280.1112				3933	19811231.0	19950101.0		0.0		0-20500-0-3933	WBAN	killeen	1.6	31.116944399999998	-97.7275		72257.0																				inconsistentCoordinates
4	4		FORT HOOD	31.13	-97.72	280.1112				3933	19630101.0	19811231.0		0.0		0-20500-0-3933	WBAN	killeen	1.6	31.116944399999998	-97.7275		72257.0																				inconsistentCoordinates
5	5		FORT HOOD	31.13	-97.72	281.94				3933	19601101.0	19630101.0		0.0		0-20500-0-3933	WBAN	killeen	1.6	31.116944399999998	-97.7275																						inconsistentCoordinates
6	6		FORT HOOD	31.13	-97.72	281.94				3933	19460501.0	19601101.0		0.0		0-20500-0-3933	WBAN	killeen	1.6	31.116944399999998	-97.7275																						inconsistentCoordinates
7	7		KILEEN FT HOOD S AAF	31.13	-97.72	281.94				13955	19500930.0	19520301.0		0.0		0-20500-0-13955	WBAN	killeen	1.6	31.116944399999998	-97.7275																						inconsistentCoordinates
8	8		KILLEEN AIRPORT	31.08	-97.68	259.08000000000004				3972	19740601.0	19780925.0		6.7		0-20500-0-3972	WBAN	killeen	1.6	31.116944399999998	-97.7275																						inconsistentCoordinates
