level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
0	0		THERMAL (AAF)	33.6333	-116.1667	35.1				23132	1943.0	1944.0	True	5.3		0-20300-0-23132	IGRA2	coachella	4.2	33.6802778	-116.17305559999998	USW00023132																					inconsistentCoordinates
0	0		(made up station ID) Thermal AP, CA APOBS	33.63	-116.17	-999.0				74719				5.8		0-20600-0-74719	SCHROEDER	coachella	4.2	33.6802778	-116.17305559999998		74719.0	3133.0	9999999	9999999																	inconsistentCoordinates
0	0		INDIO	33.68	-116.17	-19.2024				3105	19310501.0	19380331.0		3.9		0-20500-0-3105	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
1	1		COACHELLA INDIO CAA	33.68	-116.17	-20.1168				23172	19480701.0	19480731.0		3.9		0-20500-0-23172	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
2	2		COACHELLA INDIO CAA	33.68	-116.17	-20.1168				23172	19480731.0	19500531.0		3.9		0-20500-0-23172	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
3	3		INDIO	33.68	-116.17	-19.2024				3105	19310101.0	19310501.0		3.9		0-20500-0-3105	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
4	4		INDIO COACHELLA	33.68	-116.17	-18.8976				23172	19380401.0	19420101.0		3.9		0-20500-0-23172	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
5	5		INDIO COACHELLA	33.68	-116.17	-20.1168				23172	19420101.0	19480701.0		3.9		0-20500-0-23172	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
6	6		THERMAL FCWOS	33.64	-116.16	-34.1376				3104	20000119.0	20001011.0		4.3		0-20500-0-3104	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
7	7		THERMAL FCWOS	33.63	-116.16	-53.949600000000004				3104	20001011.0	20020816.0		5.2		0-20500-0-3104	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
8	8		THERMAL CAA AIRPORT	33.63	-116.17	-35.052				3104	19500501.0	19590101.0		5.8		0-20500-0-3104	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
9	9		THERMAL FAA AIRPORT	33.63	-116.17	-34.1376				3104	19950101.0	20000119.0		5.8		0-20500-0-3104	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
10	10		THERMAL FAA AIRPORT	33.63	-116.17	-34.1376				3104	19900312.0	19950101.0		5.8		0-20500-0-3104	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
11	11		THERMAL FAA AIRPORT	33.63	-116.17	-34.1376				3104	19710101.0	19811231.0		5.8		0-20500-0-3104	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
12	12		THERMAL FAA AIRPORT	33.63	-116.17	-35.052				3104	19690101.0	19710101.0		5.8		0-20500-0-3104	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
13	13		THERMAL FAA AIRPORT	33.63	-116.17	-35.052				3104	19600101.0	19690101.0		5.8		0-20500-0-3104	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
14	14		THERMAL FAA AIRPORT	33.63	-116.17	-35.052				3104	19590101.0	19600101.0		5.8		0-20500-0-3104	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
15	15		THERMAL FAA AIRPORT	33.63	-116.17	-34.1376				3104	19820101.0	19900312.0		5.8		0-20500-0-3104	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
16	16		THERMAL AAF	33.63	-116.17	-35.052				23132	19430701.0	19450228.0		5.8		0-20500-0-23132	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
17	17		THERMAL NAF	33.62	-116.17	-35.9664				93120	19450301.0	19450731.0		6.7		0-20500-0-93120	WBAN	coachella	4.2	33.6802778	-116.17305559999998																						inconsistentCoordinates
