level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables	kind
0	0	0-20000-0-74757	GULFPORT, MS, GULFPORT-BILOXI INT. ARPT	30.40694444444444	-89.07	16.0	Surface land meteorological station (SYNOP), CLIMAT(C), GOS	30 24 25N	089 04 12W	74757	999.0	999.0	False	4.1		OSCAR	0-20000-0-74757	gulfport	2.2	30.3672222	-89.0927778																						[30.37, 30.37]	[-89.07, -89.07]	era5.conv._2:13832	era5_2	19431103	19450131	2:13832	0-20000-0-74757	[104, 105, 106, 107]	identified
0	0		BILOXI (KEESLER AFB)	30.4	-88.9167	7.9				13820	1942.0	1947.0	True	15.1		IGRA2	0-20300-0-13820	gulfport	2.2	30.3672222	-89.0927778	USW00013820																					[30.37, 30.37]	[-89.07, -89.07]	era5.conv._2:13832	era5_2	19431103	19450131	2:13832	0-20000-0-74757	[104, 105, 106, 107]	identified
0	0		GULFPORT LAS	30.37	-89.07	9.144				13832	19430901.0	19580601.0		0.0		WBAN	0-20500-0-13832	gulfport	2.2	30.3672222	-89.0927778																						[30.37, 30.37]	[-89.07, -89.07]	era5.conv._2:13832	era5_2	19431103	19450131	2:13832	0-20000-0-74757	[104, 105, 106, 107]	identified
1	1		GULFPORT LAS	30.37	-89.07	9.144				13832	19680901.0	19681101.0		0.0		WBAN	0-20500-0-13832	gulfport	2.2	30.3672222	-89.0927778																						[30.37, 30.37]	[-89.07, -89.07]	era5.conv._2:13832	era5_2	19431103	19450131	2:13832	0-20000-0-74757	[104, 105, 106, 107]	identified
2	2		GULFPORT LAS	30.37	-89.07	9.144				13832	19611231.0	19680901.0		0.0		WBAN	0-20500-0-13832	gulfport	2.2	30.3672222	-89.0927778																						[30.37, 30.37]	[-89.07, -89.07]	era5.conv._2:13832	era5_2	19431103	19450131	2:13832	0-20000-0-74757	[104, 105, 106, 107]	identified
3	3		GULFPORT LAS	30.37	-89.07	9.144				13832	19580601.0	19590831.0		0.0		WBAN	0-20500-0-13832	gulfport	2.2	30.3672222	-89.0927778																						[30.37, 30.37]	[-89.07, -89.07]	era5.conv._2:13832	era5_2	19431103	19450131	2:13832	0-20000-0-74757	[104, 105, 106, 107]	identified
4	4		GULFPORT LAS	30.37	-89.07	9.144				13832	19590831.0	19611201.0		0.0		WBAN	0-20500-0-13832	gulfport	2.2	30.3672222	-89.0927778																						[30.37, 30.37]	[-89.07, -89.07]	era5.conv._2:13832	era5_2	19431103	19450131	2:13832	0-20000-0-74757	[104, 105, 106, 107]	identified
5	5		GULFPORT LAS	30.37	-89.07	9.144				13832	19611201.0	19611231.0		0.0		WBAN	0-20500-0-13832	gulfport	2.2	30.3672222	-89.0927778																						[30.37, 30.37]	[-89.07, -89.07]	era5.conv._2:13832	era5_2	19431103	19450131	2:13832	0-20000-0-74757	[104, 105, 106, 107]	identified
6	6		GULFPORT LAS	30.37	-89.08	0.9144000000000001				13832	19681101.0	19681130.0		1.0		WBAN	0-20500-0-13832	gulfport	2.2	30.3672222	-89.0927778		74768.0																				[30.37, 30.37]	[-89.07, -89.07]	era5.conv._2:13832	era5_2	19431103	19450131	2:13832	0-20000-0-74757	[104, 105, 106, 107]	identified
7	7		GULFPORT AAF	30.4	-89.07	12.8016				13832	19430901.0	19451231.0		3.3		WBAN	0-20500-0-13832	gulfport	2.2	30.3672222	-89.0927778																						[30.37, 30.37]	[-89.07, -89.07]	era5.conv._2:13832	era5_2	19431103	19450131	2:13832	0-20000-0-74757	[104, 105, 106, 107]	identified
