level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
0	0		Groesbeck	31.5	-96.5	141				4801	-999-999	-999-999		29.7		CHUAN	0-20400-0-4801	waco	35.7	31.5491667	-97.1463889		-999																				inconsistentCoordinates
1	1		WACO (JAMES CONNALLY AFB)	31.6333	-97.0667	144.8				13928	1942	1945	True	27.2		IGRA2	0-20300-0-13928	waco	35.7	31.5491667	-97.1463889	USW00013928																					inconsistentCoordinates
0	0		WACO RGNL	31.617	-97.217	157.0				72256	1940	1976	True	41.5		IGRA2	0-20300-0-72256	waco	35.7	31.5491667	-97.1463889	USM00072256																					inconsistentCoordinates
0	0	0-20000-0-72256	WACO, MADISON-COOPER, TX.	31.616666666666667	-97.21666666666667	155.0	Surface land meteorological station (SYNOP), GOS, CLIMAT(C), RBSN(S)	31 37 00N	097 13 00W	72256	999	999	False	41.4		OSCAR	0-20000-0-72256	waco	35.7	31.5491667	-97.1463889																						inconsistentCoordinates
0	0		KCNW Waco Army Air Field (operated by US Army), (WBAN=13928) TX	31.63	-97.07	-999				72256				27.5		SCHROEDER	0-20600-0-72256	waco	35.7	31.5491667	-97.1463889		72256	2413.0	1945-01-01 00:00:00	1963-04-15 00:00:00																	inconsistentCoordinates
0	0		WACO CONNALLY AFB	31.63	-97.07	145.0848				13928	19420501	19451130		27.5		WBAN	0-20500-0-13928	waco	35.7	31.5491667	-97.1463889																						inconsistentCoordinates
1	1		WACO CONNALLY AFB	31.63	-97.07	145.0848				13928	19451130	19480701		27.5		WBAN	0-20500-0-13928	waco	35.7	31.5491667	-97.1463889																						inconsistentCoordinates
2	2		WACO CONNALLY AFB	31.63	-97.07	145.0848				13928	19480701	19481101		27.5		WBAN	0-20500-0-13928	waco	35.7	31.5491667	-97.1463889																						inconsistentCoordinates
3	3		WACO CONNALLY AFB	31.63	-97.07	145.0848				13928	19481101	19660101		27.5		WBAN	0-20500-0-13928	waco	35.7	31.5491667	-97.1463889																						inconsistentCoordinates
4	4		WACO CONNALLY AFB	31.63	-97.07	153.0096				13928	19660101	19680831		27.5		WBAN	0-20500-0-13928	waco	35.7	31.5491667	-97.1463889																						inconsistentCoordinates
0	0		WACO/MADISON COOPER ARPT 	31.616666666666667	-97.21666666666668	-999.0				72256				41.4		WMO	0-20700-0-72256	waco	35.7	31.5491667	-97.1463889		72256	2960.0																			inconsistentCoordinates
