level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
0	0		Nashville - USWB Office, Stahlman Building, 211 Union St. (3rd Ave. and Union St.), Nashville, TN	36.1656	-86.7782	-999.0				72327				10.5		0-20600-0-72327	SCHROEDER	nashville	10.0	36.1658333	-86.7844444		72327	2463.0	1927-12-31 00:00:00	2007-05-21 00:00:00																	inconsistentCoordinates
0	0		NASHVILLE	36.17	-86.78	168.85920000000002				93858	18910101.0	18910701.0		10.6		0-20500-0-93858	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
1	1		NASHVILLE	36.17	-86.78	168.85920000000002				93858	18910701.0	18940101.0		10.6		0-20500-0-93858	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
2	2		NASHVILLE	36.17	-86.78	166.116				93858	18940101.0	19050101.0		10.6		0-20500-0-93858	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
3	3		NASHVILLE	36.17	-86.78	163.068				93858	19050101.0	19090101.0		10.6		0-20500-0-93858	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
4	4		NASHVILLE	36.17	-86.78	191.1096				93858	19090101.0	19390831.0		10.6		0-20500-0-93858	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
5	5		NASHVILLE	36.17	-86.78	191.1096				93858	19390831.0	19400101.0		10.6		0-20500-0-93858	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
6	6		NASHVILLE	36.17	-86.78	191.1096				93858	19400101.0	19480731.0		10.6		0-20500-0-93858	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
7	7		NASHVILLE	36.17	-86.78	168.85920000000002				93858	18890101.0	18910101.0		10.6		0-20500-0-93858	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
8	8		NASHVILLE WB CITY	36.17	-86.78	159.1056				93858	19490101.0	19501231.0		10.6		0-20500-0-93858	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
9	9		NASHVILLE	36.17	-86.78	167.03040000000001				93858	18820101.0	18890101.0		10.6		0-20500-0-93858	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
10	10		NASHVILLE	36.17	-86.78	153.924				93858	18720901.0	18820101.0		10.6		0-20500-0-93858	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
11	11		NASHVILLE INTL AP	36.12	-86.69	180.74640000000002				13897	19960601.0	20010918.0		17.1		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444		72327.0																				inconsistentCoordinates
12	12		BERRY FLD AF	36.12	-86.68	185.0136				3839	19510701.0	19511031.0		18.0		0-20500-0-3839	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
13	13		BERRY FLD AF	36.12	-86.68	185.0136				3839	19510601.0	19510701.0		18.0		0-20500-0-3839	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
14	14		NASHVILLE WSO AIRPORT	36.12	-86.68	181.05120000000002				13897	19820101.0	19900605.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444		72327.0																				inconsistentCoordinates
15	15		NASHVILLE WSO AIRPORT	36.12	-86.68	181.05120000000002				13897	19760101.0	19811231.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444		72327.0																				inconsistentCoordinates
16	16		NASHVILLE WSO AIRPORT	36.12	-86.68	182.88				13897	19730101.0	19760101.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
17	17		NASHVILLE WSO AIRPORT	36.12	-86.68	182.88				13897	19690101.0	19730101.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
18	18		NASHVILLE ASOS	36.13	-86.68	180.74640000000002				13897	20010918.0	20040818.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444		72327.0																				inconsistentCoordinates
19	19		NASHVILLE WSO AIRPORT	36.12	-86.68	177.08880000000002				13897	19480831.0	19640101.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
20	20		NASHVILLE WSO AIRPORT	36.12	-86.68	177.08880000000002				13897	19480801.0	19480831.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
21	21		NASHVILLE INTL AP	36.12	-86.68	177.08880000000002				13897	19480101.0	19480801.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
22	22		NASHVILLE INTL AP	36.12	-86.68	182.88				13897	19281201.0	19370101.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
23	23		NASHVILLE INTL AP	36.12	-86.68	182.88				13897	19370101.0	19370601.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
24	24		NASHVILLE WSO AIRPORT	36.12	-86.68	182.88				13897	19640810.0	19690101.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
25	25		NASHVILLE NWSCMO AP	36.12	-86.68	181.05120000000002				13897	19900605.0	19920528.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444		72327.0																				inconsistentCoordinates
26	26		NASHVILLE NWSCMO AP	36.12	-86.68	180.74640000000002				13897	19920528.0	19950101.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444		72327.0																				inconsistentCoordinates
27	27		NASHVILLE NWSCMO AP	36.12	-86.68	180.74640000000002				13897	19950101.0	19960601.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444		72327.0																				inconsistentCoordinates
28	28		NASHVILLE WSO AIRPORT	36.12	-86.68	182.88				13897	19640101.0	19640810.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
29	29		NASHVILLE INTL AP	36.12	-86.68	182.88				13897	19370601.0	19480101.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444																						inconsistentCoordinates
30	30		NASHVILLE ASOS	36.13	-86.68	180.74640000000002				13897	20040818.0	99991231.0		18.0		0-20500-0-13897	WBAN	nashville	10.0	36.1658333	-86.7844444		72327.0																				inconsistentCoordinates
0	0		NASHVILLE                	36.11666666666667	-86.68333333333334	-999.0				72327				17.7		0-20700-0-72327	WMO	nashville	10.0	36.1658333	-86.7844444		72327	1363.0																			inconsistentCoordinates
