level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables	kind
0	0																OSCAR	taraz	5.7	42.9	71.366667																						[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		TARAZ	42.85	71.3	652.0				38341	1956	2021	True	6.5		0-20300-0-38341	IGRA2	taraz	5.7	42.9	71.366667	KZM00038341																					[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															0-20500-0-nan	WBAN	taraz	5.7	42.9	71.366667																						[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		Djambul	42.85	71.38	-999				4691	195604	195604		0.0		0-20400-0-4691	CHUAN	taraz	5.7	42.9	71.366667		-999																				[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
1	1		Djambul	42.85	71.38	-999				4702	195605	195606		0.0		0-20400-0-4702	CHUAN	taraz	5.7	42.9	71.366667		-999																				[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
2	2		Djambul	42.85	71.38	-999				4670	195607	195608		0.0		0-20400-0-4670	CHUAN	taraz	5.7	42.9	71.366667		-999																				[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
3	3		Djambul	42.85	71.38	-999				4690	195603	195603		0.0		0-20400-0-4690	CHUAN	taraz	5.7	42.9	71.366667		-999																				[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
4	4		Djambul	42.85	71.38	-999				4682	195807	195807		0.0		0-20400-0-4682	CHUAN	taraz	5.7	42.9	71.366667		-999																				[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0		Dzhambul / Zhambyl, Kazakhstan	42.87	71.28	-999				38341				8.5		0-20600-0-38341	SCHROEDER	taraz	5.7	42.9	71.366667		38341	909.0	1963-12-01 00:00:00	2010-12-13 00:00:00																	[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															0-20700-0-nan	WMO	taraz	5.7	42.9	71.366667																						[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															0-20800-0-nan	AMMA	taraz	5.7	42.9	71.366667																						[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
0	0															0-20111-0-nan	HARA	taraz	5.7	42.9	71.366667																						[42.85, 42.85]	[71.38, 71.38]	era5.conv._C:4670	era5_2	19560729	19560821	C:4670	0-20300-0-38341	[38, 39, 85, 104, 105, 106, 107, 117]	identified
