level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
1	1		CA SANTA ANA/ORANGE COUNTY AAF	33.7	-117.833	18.0				26520	1944.0	1981.0	True	18.7		0-20300-0-26520	IGRA2	chino hills	11.6	33.8936111	-117.7263889	USXUA026520																					inconsistentCoordinates
0	0		LOMITA (AAF)	33.8167	-118.3333	32.0				23139	1944.0	1944.0	True	61.4		0-20300-0-23139	IGRA2	chino hills	11.6	33.8936111	-117.7263889	USW00023139																					inconsistentCoordinates
0	0		(made up station ID) Corona - Green River Golf Course, CA	33.87	-117.67	-999.0				73176				7.8		0-20600-0-73176	SCHROEDER	chino hills	11.6	33.8936111	-117.7263889		73176.0	2781.0	1984-08-05 00:00:00	1984-08-05 00:00:00																	inconsistentCoordinates
1	1		(made up station ID) Irvine (Univ of CA Resch and Extension Center), CA - radar wind profiler (operated by Sonoma Technology Incorporated for South Coast Air Quality Management District)	33.6916	-117.7268	-999.0				73298				13.1		0-20600-0-73298	SCHROEDER	chino hills	11.6	33.8936111	-117.7263889		73298.0	2815.0	2006-01-01 00:00:00	2006-01-01 00:00:00																	inconsistentCoordinates
2	2		(made up station ID) Tustin, CA	33.7	-117.82	-999.0				73179				17.8		0-20600-0-73179	SCHROEDER	chino hills	11.6	33.8936111	-117.7263889		73179.0	2784.0	1984-08-05 00:00:00	1984-08-05 00:00:00																	inconsistentCoordinates
3	3		KNTK Tustin Marine Corps Air Field, CA	33.68	-117.8	-999.0				69016				18.0		0-20600-0-69016	SCHROEDER	chino hills	11.6	33.8936111	-117.7263889		69016.0	2194.0	1994-05-03 00:00:00	2012-06-12 00:00:00																	inconsistentCoordinates
4	4		(made up station ID) Anaheim, CA	33.84	-117.87	-999.0				73197				19.0		0-20600-0-73197	SCHROEDER	chino hills	11.6	33.8936111	-117.7263889		73197.0	2794.0	1981-09-15 00:00:00	1981-09-15 00:00:00																	inconsistentCoordinates
5	5		Riverside AP, CA	33.95	-117.45	-999.0				72286				26.3		0-20600-0-72286	SCHROEDER	chino hills	11.6	33.8936111	-117.7263889		72286.0	2433.0	1984-08-05 00:00:00	1984-08-05 00:00:00																	inconsistentCoordinates
6	6		(made up station ID) Ontario, CA	34.05	-117.59	-999.0				73296				28.7		0-20600-0-73296	SCHROEDER	chino hills	11.6	33.8936111	-117.7263889		73296.0	2814.0	1981-09-15 00:00:00	2008-04-04 00:00:00																	inconsistentCoordinates
7	7		(made up station ID) Pomona, CA	34.04	-117.81	-999.0				73177				29.6		0-20600-0-73177	SCHROEDER	chino hills	11.6	33.8936111	-117.7263889		73177.0	2782.0	1984-08-05 00:00:00	1984-08-05 00:00:00																	inconsistentCoordinates
0	0		SANTA ANNA MOUNTAINS	33.82	-117.64	922.6296000000001				53117	19970226.0	99991231.0		3.6		0-20500-0-53117	WBAN	chino hills	11.6	33.8936111	-117.7263889																						inconsistentCoordinates
1	1		EL TORO MCAS	33.77	-117.73	107.89920000000001				93101	19440101.0	19450101.0		6.5		0-20500-0-93101	WBAN	chino hills	11.6	33.8936111	-117.7263889																						inconsistentCoordinates
2	2		EL TORO MCAS	33.68	-117.72	116.12880000000001				93101	19550101.0	19660101.0		14.1		0-20500-0-93101	WBAN	chino hills	11.6	33.8936111	-117.7263889																						inconsistentCoordinates
3	3		EL TORO MCAS	33.68	-117.73	107.89920000000001				93101	19450101.0	19460101.0		14.4		0-20500-0-93101	WBAN	chino hills	11.6	33.8936111	-117.7263889																						inconsistentCoordinates
4	4		EL TORO MCAS	33.68	-117.73	107.89920000000001				93101	19520101.0	19550101.0		14.4		0-20500-0-93101	WBAN	chino hills	11.6	33.8936111	-117.7263889																						inconsistentCoordinates
5	5		EL TORO MCAS	33.68	-117.73	106.9848				93101	19500101.0	19520101.0		14.4		0-20500-0-93101	WBAN	chino hills	11.6	33.8936111	-117.7263889																						inconsistentCoordinates
6	6		EL TORO MCAS	33.67	-117.72	107.89920000000001				93101	19460101.0	19500101.0		15.1		0-20500-0-93101	WBAN	chino hills	11.6	33.8936111	-117.7263889																						inconsistentCoordinates
7	7		SANTA ANA EL TORO	33.67	-117.72	118.872				3153	19650501.0	19650531.0		15.1		0-20500-0-3153	WBAN	chino hills	11.6	33.8936111	-117.7263889																						inconsistentCoordinates
