level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
0	0		NASHVILLE/OLD HICKORY	36.2469	-86.5617	180.2				72327	1937.0	2021.0	True	0.8		IGRA2	0-20300-0-72327	mount juliet	7.2	36.2	-86.51861109999999	USM00072327																					inconsistentCoordinates
1	1		SMYRNA SEWART AFB	36.0	-86.5333	163.1				13827	1943.0	1945.0	True	27.9		IGRA2	0-20300-0-13827	mount juliet	7.2	36.2	-86.51861109999999	USW00013827																					inconsistentCoordinates
0	0	0-20001-0-72327	NASHVILLE/OLD HICKORY, TN.	36.246944444444445	-86.56166666666667		Upper-air / Radiosonde station, GOS	36 14 49N	086 33 42W	72327	999.0	999.0	True	0.8		OSCAR	0-20001-0-72327	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
1	1	0-20000-0-72327	NASHVILLE/METROPOLITAN, TN.	36.233333333333334	-86.55	173.0	Climatological station, Surface land meteorological station (SYNOP), RBSN(S), CLIMAT(C), GOS, RBCN	36 14 00N	086 33 00W	72327	999.0	999.0	False	2.6		OSCAR	0-20000-0-72327	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
0	0		(made up station ID) Nashville - Old Hickory AP ozonesondes, TN	36.25	-86.57	-999.0				73327				0.0		SCHROEDER	0-20600-0-73327	mount juliet	7.2	36.2	-86.51861109999999		73327	2825.0	1999-06-15 00:00:00	1999-06-15 00:00:00																	inconsistentCoordinates
1	1		Nashville - USWB Office, Stahlman Building, 211 Union St. (3rd Ave. and Union St.), Nashville, TN	36.1656	-86.7782	-999.0				72327				20.9		SCHROEDER	0-20600-0-72327	mount juliet	7.2	36.2	-86.51861109999999		72327	2463.0	1927-12-31 00:00:00	2007-05-21 00:00:00																	inconsistentCoordinates
0	0		NASHVILLE	36.25	-86.56	176.47920000000002				53833	19950706.0	99991231.0		0.9		WBAN	0-20500-0-53833	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
1	1		NASHVILLE ASOS	36.13	-86.68	180.74640000000002				13897	20010918.0	20040818.0		16.6		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999		72327.0																				inconsistentCoordinates
2	2		NASHVILLE ASOS	36.13	-86.68	180.74640000000002				13897	20040818.0	99991231.0		16.6		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999		72327.0																				inconsistentCoordinates
3	3		NASHVILLE WSO AIRPORT	36.12	-86.68	182.88				13897	19730101.0	19760101.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
4	4		NASHVILLE WSO AIRPORT	36.12	-86.68	182.88				13897	19690101.0	19730101.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
5	5		NASHVILLE WSO AIRPORT	36.12	-86.68	182.88				13897	19640810.0	19690101.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
6	6		NASHVILLE WSO AIRPORT	36.12	-86.68	182.88				13897	19640101.0	19640810.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
7	7		NASHVILLE WSO AIRPORT	36.12	-86.68	177.08880000000002				13897	19480831.0	19640101.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
8	8		NASHVILLE WSO AIRPORT	36.12	-86.68	177.08880000000002				13897	19480801.0	19480831.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
9	9		NASHVILLE NWSCMO AP	36.12	-86.68	180.74640000000002				13897	19950101.0	19960601.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999		72327.0																				inconsistentCoordinates
10	10		NASHVILLE NWSCMO AP	36.12	-86.68	180.74640000000002				13897	19920528.0	19950101.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999		72327.0																				inconsistentCoordinates
11	11		NASHVILLE NWSCMO AP	36.12	-86.68	181.05120000000002				13897	19900605.0	19920528.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999		72327.0																				inconsistentCoordinates
12	12		NASHVILLE INTL AP	36.12	-86.68	182.88				13897	19370101.0	19370601.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
13	13		NASHVILLE INTL AP	36.12	-86.68	182.88				13897	19281201.0	19370101.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
14	14		NASHVILLE WSO AIRPORT	36.12	-86.68	181.05120000000002				13897	19760101.0	19811231.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999		72327.0																				inconsistentCoordinates
15	15		NASHVILLE INTL AP	36.12	-86.68	177.08880000000002				13897	19480101.0	19480801.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
16	16		BERRY FLD AF	36.12	-86.68	185.0136				3839	19510601.0	19510701.0		17.5		WBAN	0-20500-0-3839	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
17	17		BERRY FLD AF	36.12	-86.68	185.0136				3839	19510701.0	19511031.0		17.5		WBAN	0-20500-0-3839	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
18	18		NASHVILLE INTL AP	36.12	-86.68	182.88				13897	19370601.0	19480101.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999																						inconsistentCoordinates
19	19		NASHVILLE WSO AIRPORT	36.12	-86.68	181.05120000000002				13897	19820101.0	19900605.0		17.5		WBAN	0-20500-0-13897	mount juliet	7.2	36.2	-86.51861109999999		72327.0																				inconsistentCoordinates
