primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0-20100-0-00001	5	0			WMO International Radiosonde Comparison [Phase 1]		  Beaufort Park	0	-0.35	51.57		84-06-20	84-07-25	1	7	63	WMO	76													-0.35	-0.35	51.57	51.57		
0-20100-0-00002	5	1			WMO International Radiosonde Comparison [Phase 2]		  Wallops Island	0	-75.48	37.83		85-02-07	85-03-13	1	7	63	WMO	231													-75.48	-75.48	37.83	37.83		
0-20100-0-00003	5	2			WMO International Radiosonde Comparison [Phase 3]		  Dzhambul	0	71.38	42.85		89-08-07	89-08-24	1	7	63	WMO	124													71.38	71.38	42.85	42.85		
0-20100-0-00004	5	3			WMO International Radiosonde Comparison [Phase 4]		  Tsukuba	0	140.13	36.05		93-02-17	93-03-11	1	7	63	WMO	113													140.13	140.13	36.05	36.05		
