	Unnamed: 0	press	hum	temp	datetime	sensor
474593	41	522	98.02	296.32	2005-02-15 18:11:25+00:00	Vaisala
474594	42	524	98.02	296.32	2005-02-15 18:11:25+00:00	Vaisala
474595	42	524	98.02	296.32	2005-02-15 18:11:25+00:00	Vaisala
474596	43	526	98.02	296.29	2005-02-15 18:11:25+00:00	Vaisala
474597	43	526	98.02	296.29	2005-02-15 18:11:25+00:00	Vaisala
474598	44	529	98.02	296.28	2005-02-15 18:11:25+00:00	Vaisala
474599	44	529	98.02	296.28	2005-02-15 18:11:25+00:00	Vaisala
474600	45	531	98.02	296.26	2005-02-15 18:11:25+00:00	Vaisala
474601	45	531	98.02	296.26	2005-02-15 18:11:25+00:00	Vaisala
474602	46	534	98.02	296.23	2005-02-15 18:11:25+00:00	Vaisala
474603	46	534	98.02	296.23	2005-02-15 18:11:25+00:00	Vaisala
474604	47	536	98.27	296.2	2005-02-15 18:11:25+00:00	Vaisala
474605	47	536	98.27	296.2	2005-02-15 18:11:25+00:00	Vaisala
474606	48	538	98.45	296.19	2005-02-15 18:11:25+00:00	Vaisala
474607	48	538	98.45	296.19	2005-02-15 18:11:25+00:00	Vaisala
474608	49	541	98.27	296.19	2005-02-15 18:11:25+00:00	Vaisala
474609	49	541	98.27	296.19	2005-02-15 18:11:25+00:00	Vaisala
474610	50	543	98.62	296.17	2005-02-15 18:11:25+00:00	Vaisala
474611	50	543	98.62	296.17	2005-02-15 18:11:25+00:00	Vaisala
474612	51	545	98.84	296.13	2005-02-15 18:11:25+00:00	Vaisala
474613	51	545	98.84	296.13	2005-02-15 18:11:25+00:00	Vaisala
474614	52	548	98.93	296.12	2005-02-15 18:11:25+00:00	Vaisala
474615	52	548	98.93	296.12	2005-02-15 18:11:25+00:00	Vaisala
474616	53	550	98.96	296.1	2005-02-15 18:11:25+00:00	Vaisala
474617	53	550	98.96	296.1	2005-02-15 18:11:25+00:00	Vaisala
474618	54	553	98.96	296.08	2005-02-15 18:11:25+00:00	Vaisala
474619	54	553	98.96	296.08	2005-02-15 18:11:25+00:00	Vaisala
474620	55	555	98.96	296.06	2005-02-15 18:11:25+00:00	Vaisala
474621	55	555	98.96	296.06	2005-02-15 18:11:25+00:00	Vaisala
474622	56	557	98.96	296.05	2005-02-15 18:11:25+00:00	Vaisala
474623	56	557	98.96	296.05	2005-02-15 18:11:25+00:00	Vaisala
474624	57	560	98.96	296.02	2005-02-15 18:11:25+00:00	Vaisala
474625	57	560	98.96	296.02	2005-02-15 18:11:25+00:00	Vaisala
474626	58	562	98.98	296.0	2005-02-15 18:11:25+00:00	Vaisala
474627	58	562	98.98	296.0	2005-02-15 18:11:25+00:00	Vaisala
474628	59	564	99.33	296.0	2005-02-15 18:11:25+00:00	Vaisala
474629	59	564	99.33	296.0	2005-02-15 18:11:25+00:00	Vaisala
474630	60	567	99.48	296.02	2005-02-15 18:11:25+00:00	Vaisala
474631	60	567	99.48	296.02	2005-02-15 18:11:25+00:00	Vaisala
474632	61	569	99.49	296.0	2005-02-15 18:11:25+00:00	Vaisala
474633	61	569	99.49	296.0	2005-02-15 18:11:25+00:00	Vaisala
474634	62	572	98.98	296.05	2005-02-15 18:11:25+00:00	Vaisala
474635	62	572	98.98	296.05	2005-02-15 18:11:25+00:00	Vaisala
474636	63	574	99.49	296.04	2005-02-15 18:11:25+00:00	Vaisala
474637	63	574	99.49	296.04	2005-02-15 18:11:25+00:00	Vaisala
474638	64	576	98.96	296.02	2005-02-15 18:11:25+00:00	Vaisala
474639	64	576	98.96	296.02	2005-02-15 18:11:25+00:00	Vaisala
474640	65	579	99.22	296.02	2005-02-15 18:11:25+00:00	Vaisala
474641	65	579	99.22	296.02	2005-02-15 18:11:25+00:00	Vaisala
474642	66	581	99.44	296.0	2005-02-15 18:11:25+00:00	Vaisala
474643	66	581	99.44	296.0	2005-02-15 18:11:25+00:00	Vaisala
474644	67	583	99.2	295.97	2005-02-15 18:11:25+00:00	Vaisala
474645	67	583	99.2	295.97	2005-02-15 18:11:25+00:00	Vaisala
474646	68	586	99.51	295.95	2005-02-15 18:11:25+00:00	Vaisala
474647	68	586	99.51	295.95	2005-02-15 18:11:25+00:00	Vaisala
474648	69	588	99.82	295.92	2005-02-15 18:11:25+00:00	Vaisala
474649	69	588	99.82	295.92	2005-02-15 18:11:25+00:00	Vaisala
474650	70	591	99.97	295.9	2005-02-15 18:11:25+00:00	Vaisala
474651	70	591	99.97	295.9	2005-02-15 18:11:25+00:00	Vaisala
474652	71	593	99.97	295.87	2005-02-15 18:11:25+00:00	Vaisala
474653	71	593	99.97	295.87	2005-02-15 18:11:25+00:00	Vaisala
474654	72	595	99.97	295.88	2005-02-15 18:11:25+00:00	Vaisala
474655	72	595	99.97	295.88	2005-02-15 18:11:25+00:00	Vaisala
474656	73	598	99.97	295.9	2005-02-15 18:11:25+00:00	Vaisala
474657	73	598	99.97	295.9	2005-02-15 18:11:25+00:00	Vaisala
474658	74	600	99.97	295.92	2005-02-15 18:11:25+00:00	Vaisala
474659	74	600	99.97	295.92	2005-02-15 18:11:25+00:00	Vaisala
474660	75	603	99.97	295.88	2005-02-15 18:11:25+00:00	Vaisala
474661	75	603	99.97	295.88	2005-02-15 18:11:25+00:00	Vaisala
474662	76	605	99.97	295.92	2005-02-15 18:11:25+00:00	Vaisala
474663	76	605	99.97	295.92	2005-02-15 18:11:25+00:00	Vaisala
474664	77	607	99.97	295.87	2005-02-15 18:11:25+00:00	Vaisala
474665	77	607	99.97	295.87	2005-02-15 18:11:25+00:00	Vaisala
474666	78	610	99.97	295.84	2005-02-15 18:11:25+00:00	Vaisala
474667	78	610	99.97	295.84	2005-02-15 18:11:25+00:00	Vaisala
474668	79	612	99.97	295.84	2005-02-15 18:11:25+00:00	Vaisala
474669	79	612	99.97	295.84	2005-02-15 18:11:25+00:00	Vaisala
474670	80	614	99.97	295.84	2005-02-15 18:11:25+00:00	Vaisala
474671	80	614	99.97	295.84	2005-02-15 18:11:25+00:00	Vaisala
474672	81	617	99.97	295.84	2005-02-15 18:11:25+00:00	Vaisala
474673	81	617	99.97	295.84	2005-02-15 18:11:25+00:00	Vaisala
474674	82	619	99.97	295.82	2005-02-15 18:11:25+00:00	Vaisala
474675	82	619	99.97	295.82	2005-02-15 18:11:25+00:00	Vaisala
474676	83	622	99.97	295.78	2005-02-15 18:11:25+00:00	Vaisala
474677	83	622	99.97	295.78	2005-02-15 18:11:25+00:00	Vaisala
474678	84	624	99.97	295.82	2005-02-15 18:11:25+00:00	Vaisala
474679	84	624	99.97	295.82	2005-02-15 18:11:25+00:00	Vaisala
474680	85	626	99.97	295.77	2005-02-15 18:11:25+00:00	Vaisala
474681	85	626	99.97	295.77	2005-02-15 18:11:25+00:00	Vaisala
474682	86	629	99.97	295.74	2005-02-15 18:11:25+00:00	Vaisala
474683	86	629	99.97	295.74	2005-02-15 18:11:25+00:00	Vaisala
474684	87	631	99.97	295.74	2005-02-15 18:11:25+00:00	Vaisala
474685	87	631	99.97	295.74	2005-02-15 18:11:25+00:00	Vaisala
474686	88	633	99.97	295.74	2005-02-15 18:11:25+00:00	Vaisala
474687	88	633	99.97	295.74	2005-02-15 18:11:25+00:00	Vaisala
474688	89	636	99.97	295.71	2005-02-15 18:11:25+00:00	Vaisala
474689	89	636	99.97	295.71	2005-02-15 18:11:25+00:00	Vaisala
474690	90	638	99.97	295.68	2005-02-15 18:11:25+00:00	Vaisala
