	Unnamed: 0	press	hum	temp	datetime	sensor
785212	0	431	72.27	298.83	2005-02-23 05:02:40+00:00	Vaisala
785217	2	439	72.05	299.2	2005-02-23 05:02:40+00:00	Vaisala
785222	5	452	75.57	297.88	2005-02-23 05:02:40+00:00	Vaisala
785227	7	460	75.84	297.79	2005-02-23 05:02:40+00:00	Vaisala
785232	10	473	76.23	297.64	2005-02-23 05:02:40+00:00	Vaisala
785237	12	481	76.98	297.59	2005-02-23 05:02:40+00:00	Vaisala
785242	15	494	77.29	297.48	2005-02-23 05:02:40+00:00	Vaisala
785247	17	502	77.99	297.41	2005-02-23 05:02:40+00:00	Vaisala
785252	20	514	77.99	297.29	2005-02-23 05:02:40+00:00	Vaisala
785257	22	523	78.65	297.14	2005-02-23 05:02:40+00:00	Vaisala
785262	25	535	78.92	297.06	2005-02-23 05:02:40+00:00	Vaisala
785267	27	544	78.92	296.95	2005-02-23 05:02:40+00:00	Vaisala
785272	30	556	78.96	296.8	2005-02-23 05:02:40+00:00	Vaisala
785277	32	565	79.71	296.71	2005-02-23 05:02:40+00:00	Vaisala
785282	35	577	80.02	296.58	2005-02-23 05:02:40+00:00	Vaisala
785287	37	586	80.02	296.49	2005-02-23 05:02:40+00:00	Vaisala
785292	40	598	80.33	296.38	2005-02-23 05:02:40+00:00	Vaisala
785297	42	606	80.94	296.29	2005-02-23 05:02:40+00:00	Vaisala
785302	45	619	81.29	296.17	2005-02-23 05:02:40+00:00	Vaisala
785307	47	627	81.25	296.08	2005-02-23 05:02:40+00:00	Vaisala
785312	50	640	81.96	295.98	2005-02-23 05:02:40+00:00	Vaisala
785317	52	648	82.0	295.89	2005-02-23 05:02:40+00:00	Vaisala
785322	55	661	82.44	295.79	2005-02-23 05:02:40+00:00	Vaisala
785327	57	669	82.79	295.68	2005-02-23 05:02:40+00:00	Vaisala
785332	60	682	82.92	295.58	2005-02-23 05:02:40+00:00	Vaisala
