	Unnamed: 0	press	hum	temp	datetime	sensor
72728	0	429	95.08	296.45	2005-02-08 15:03:03+00:00	Vaisala
72733	2	437	94.78	296.42	2005-02-08 15:03:03+00:00	Vaisala
72738	5	450	95.97	296.49	2005-02-08 15:03:03+00:00	Vaisala
72743	7	459	95.97	296.41	2005-02-08 15:03:03+00:00	Vaisala
72748	10	472	95.97	296.33	2005-02-08 15:03:03+00:00	Vaisala
72753	12	480	95.97	296.32	2005-02-08 15:03:03+00:00	Vaisala
72758	15	493	95.97	296.27	2005-02-08 15:03:03+00:00	Vaisala
72763	17	501	96.02	296.23	2005-02-08 15:03:03+00:00	Vaisala
72768	20	514	96.34	296.12	2005-02-08 15:03:03+00:00	Vaisala
72773	22	523	96.35	296.08	2005-02-08 15:03:03+00:00	Vaisala
72778	25	535	96.97	295.99	2005-02-08 15:03:03+00:00	Vaisala
72783	27	544	96.97	295.9	2005-02-08 15:03:03+00:00	Vaisala
72788	30	557	97.0	295.79	2005-02-08 15:03:03+00:00	Vaisala
72793	32	565	97.62	295.69	2005-02-08 15:03:03+00:00	Vaisala
72798	35	578	98.07	295.6	2005-02-08 15:03:03+00:00	Vaisala
72803	37	586	98.25	295.49	2005-02-08 15:03:03+00:00	Vaisala
72808	40	599	98.96	295.4	2005-02-08 15:03:03+00:00	Vaisala
72813	42	608	98.51	295.33	2005-02-08 15:03:03+00:00	Vaisala
72818	45	621	98.25	295.28	2005-02-08 15:03:03+00:00	Vaisala
72823	47	629	99.25	295.18	2005-02-08 15:03:03+00:00	Vaisala
72828	50	642	99.67	295.05	2005-02-08 15:03:03+00:00	Vaisala
72833	52	650	99.97	294.97	2005-02-08 15:03:03+00:00	Vaisala
72838	55	663	99.97	294.87	2005-02-08 15:03:03+00:00	Vaisala
72843	57	672	99.97	294.83	2005-02-08 15:03:03+00:00	Vaisala
72848	60	684	99.97	294.77	2005-02-08 15:03:03+00:00	Vaisala
72853	62	693	99.97	294.68	2005-02-08 15:03:03+00:00	Vaisala
72858	65	706	99.97	294.58	2005-02-08 15:03:03+00:00	Vaisala
72863	67	714	99.97	294.49	2005-02-08 15:03:03+00:00	Vaisala
72868	70	727	99.97	294.33	2005-02-08 15:03:03+00:00	Vaisala
72873	72	736	99.97	294.31	2005-02-08 15:03:03+00:00	Vaisala
72878	75	748	99.97	294.19	2005-02-08 15:03:03+00:00	Vaisala
72883	77	757	99.97	294.14	2005-02-08 15:03:03+00:00	Vaisala
72888	80	770	99.97	294.19	2005-02-08 15:03:03+00:00	Vaisala
72893	82	778	99.48	294.23	2005-02-08 15:03:03+00:00	Vaisala
72898	85	791	99.08	294.23	2005-02-08 15:03:03+00:00	Vaisala
72903	87	799	98.28	294.23	2005-02-08 15:03:03+00:00	Vaisala
72908	90	812	97.98	294.16	2005-02-08 15:03:03+00:00	Vaisala
72913	92	821	98.34	294.07	2005-02-08 15:03:03+00:00	Vaisala
72918	95	833	98.31	293.97	2005-02-08 15:03:03+00:00	Vaisala
72923	97	842	98.1	293.93	2005-02-08 15:03:03+00:00	Vaisala
72928	100	855	96.97	293.93	2005-02-08 15:03:03+00:00	Vaisala
72933	102	863	97.68	293.88	2005-02-08 15:03:03+00:00	Vaisala
72938	105	876	97.98	293.79	2005-02-08 15:03:03+00:00	Vaisala
72943	107	885	97.98	293.7	2005-02-08 15:03:03+00:00	Vaisala
72948	110	897	97.98	293.58	2005-02-08 15:03:03+00:00	Vaisala
72953	112	906	97.98	293.54	2005-02-08 15:03:03+00:00	Vaisala
72958	115	919	97.67	293.53	2005-02-08 15:03:03+00:00	Vaisala
72963	117	927	97.57	293.48	2005-02-08 15:03:03+00:00	Vaisala
72968	120	940	96.97	293.43	2005-02-08 15:03:03+00:00	Vaisala
72973	122	948	96.97	293.39	2005-02-08 15:03:03+00:00	Vaisala
72978	125	961	96.97	293.3	2005-02-08 15:03:03+00:00	Vaisala
72983	127	970	96.97	293.28	2005-02-08 15:03:03+00:00	Vaisala
72988	130	982	96.5	293.19	2005-02-08 15:03:03+00:00	Vaisala
72993	132	991	95.97	293.19	2005-02-08 15:03:03+00:00	Vaisala
72998	135	1004	95.99	293.15	2005-02-08 15:03:03+00:00	Vaisala
73003	137	1012	95.97	293.12	2005-02-08 15:03:03+00:00	Vaisala
73008	140	1025	95.97	293.05	2005-02-08 15:03:03+00:00	Vaisala
73013	142	1034	95.97	292.97	2005-02-08 15:03:03+00:00	Vaisala
73018	145	1046	95.97	292.9	2005-02-08 15:03:03+00:00	Vaisala
73023	147	1055	95.97	292.81	2005-02-08 15:03:03+00:00	Vaisala
73028	150	1068	95.97	292.76	2005-02-08 15:03:03+00:00	Vaisala
