	Unnamed: 0	press	hum	temp	datetime	sensor
113818	0	430	69.03	298.86	2005-02-19 05:06:10+00:00	MKII
113823	2	438	69.35	298.97	2005-02-19 05:06:10+00:00	MKII
113828	5	450	70.08	298.59	2005-02-19 05:06:10+00:00	MKII
113833	6	455	71.24		2005-02-19 05:06:10+00:00	MKII
113838	6920	462		298.54	2005-02-19 05:06:10+00:00	MKII
113843	9	467	72.98	298.54	2005-02-19 05:06:10+00:00	MKII
113848	12	479	75.0	298.48	2005-02-19 05:06:10+00:00	MKII
113853	14	487	75.97	298.38	2005-02-19 05:06:10+00:00	MKII
113858	17	499	78.25	298.26	2005-02-19 05:06:10+00:00	MKII
113863	19	507	79.17	298.1	2005-02-19 05:06:10+00:00	MKII
113868	22	519	80.22	297.93	2005-02-19 05:06:10+00:00	MKII
113873	24	527	81.69	297.85	2005-02-19 05:06:10+00:00	MKII
113878	27	539	84.17	297.75	2005-02-19 05:06:10+00:00	MKII
113883	29	547	85.35	297.7	2005-02-19 05:06:10+00:00	MKII
113888	32	559	86.24	297.57	2005-02-19 05:06:10+00:00	MKII
113893	33	564	86.72		2005-02-19 05:06:10+00:00	MKII
113898	35	572	87.69	297.4	2005-02-19 05:06:10+00:00	MKII
113903	37	580	87.63	297.34	2005-02-19 05:06:10+00:00	MKII
113908	40	592	88.47	297.12	2005-02-19 05:06:10+00:00	MKII
113913	42	600	89.52	297.08	2005-02-19 05:06:10+00:00	MKII
113918	45	612	89.89	296.98	2005-02-19 05:06:10+00:00	MKII
113923	47	620	90.51	296.88	2005-02-19 05:06:10+00:00	MKII
113928	50	632	91.67	296.8	2005-02-19 05:06:10+00:00	MKII
113933	52	640	91.51	296.69	2005-02-19 05:06:10+00:00	MKII
113938	55	652	91.99	296.6	2005-02-19 05:06:10+00:00	MKII
113943	57	660	92.66	296.42	2005-02-19 05:06:10+00:00	MKII
113948	6923	672		296.29	2005-02-19 05:06:10+00:00	MKII
113953	6924	676		296.29	2005-02-19 05:06:10+00:00	MKII
113958	63	685	92.98	296.21	2005-02-19 05:06:10+00:00	MKII
113963	65	693	93.63	296.14	2005-02-19 05:06:10+00:00	MKII
113968	68	705	93.9	296.03	2005-02-19 05:06:10+00:00	MKII
113973	70	713	94.01	295.94	2005-02-19 05:06:10+00:00	MKII
113978	73	725	94.22	295.86	2005-02-19 05:06:10+00:00	MKII
113983	75	733	95.03	295.79	2005-02-19 05:06:10+00:00	MKII
113988	78	745	95.03	295.69	2005-02-19 05:06:10+00:00	MKII
113993	80	753	95.03	295.61	2005-02-19 05:06:10+00:00	MKII
113998	83	765	95.51	295.48	2005-02-19 05:06:10+00:00	MKII
114003	85	773	95.99	295.39	2005-02-19 05:06:10+00:00	MKII
114008	87	782	95.99		2005-02-19 05:06:10+00:00	MKII
114013	89	790	95.99	295.28	2005-02-19 05:06:10+00:00	MKII
114018	92	802	96.32	295.13	2005-02-19 05:06:10+00:00	MKII
114023	94	810	96.26	295.06	2005-02-19 05:06:10+00:00	MKII
114028	97	822	96.99	294.95	2005-02-19 05:06:10+00:00	MKII
114033	99	830	97.02	294.92	2005-02-19 05:06:10+00:00	MKII
114038	102	842	97.23	294.79	2005-02-19 05:06:10+00:00	MKII
114043	104	850	97.61	294.79	2005-02-19 05:06:10+00:00	MKII
114048	107	862	97.98	294.71	2005-02-19 05:06:10+00:00	MKII
114053	109	870	97.98	294.64	2005-02-19 05:06:10+00:00	MKII
114058	112	882	97.98	294.5	2005-02-19 05:06:10+00:00	MKII
114063	6926	890		294.47	2005-02-19 05:06:10+00:00	MKII
114068	116	899	97.02	294.37	2005-02-19 05:06:10+00:00	MKII
114073	118	907	97.26	294.29	2005-02-19 05:06:10+00:00	MKII
114078	121	919	96.99	294.19	2005-02-19 05:06:10+00:00	MKII
114083	123	927	96.99	294.16	2005-02-19 05:06:10+00:00	MKII
114088	126	939	96.99	294.1	2005-02-19 05:06:10+00:00	MKII
114093	128	947	96.99	294.09	2005-02-19 05:06:10+00:00	MKII
114098	131	959	96.99	294.08	2005-02-19 05:06:10+00:00	MKII
114103	133	967	96.99	294.12	2005-02-19 05:06:10+00:00	MKII
114108	136	979	96.99	294.01	2005-02-19 05:06:10+00:00	MKII
114113	138	987	96.99	293.82	2005-02-19 05:06:10+00:00	MKII
114118	141	1000	97.04	293.77	2005-02-19 05:06:10+00:00	MKII
114123	143	1008	96.99	293.66	2005-02-19 05:06:10+00:00	MKII
114128	146	1020	96.99	293.6	2005-02-19 05:06:10+00:00	MKII
114133	148	1028	96.99	293.57	2005-02-19 05:06:10+00:00	MKII
114138	151	1040	96.99	293.49	2005-02-19 05:06:10+00:00	MKII
114143	153	1048	96.99	293.46	2005-02-19 05:06:10+00:00	MKII
114148	156	1060	96.45	293.6	2005-02-19 05:06:10+00:00	MKII
114153	158	1068	95.03	293.73	2005-02-19 05:06:10+00:00	MKII
114158	161	1080	95.27	293.53	2005-02-19 05:06:10+00:00	MKII
114163	163	1088	95.99	293.44	2005-02-19 05:06:10+00:00	MKII
114168	166	1100	95.99	293.29	2005-02-19 05:06:10+00:00	MKII
114173	168	1109	95.99	293.29	2005-02-19 05:06:10+00:00	MKII
114178	171	1121	95.81	293.28	2005-02-19 05:06:10+00:00	MKII
114183	173	1129	95.03	293.15	2005-02-19 05:06:10+00:00	MKII
114188	176	1141	95.67	293.11	2005-02-19 05:06:10+00:00	MKII
114193	178	1149	95.48	292.97	2005-02-19 05:06:10+00:00	MKII
