	value	height
0	296.43634211294494	430
1	296.5000453948169	435
2	296.4320928438524	440
3	296.4107500026729	445
4	296.38717779163153	450
5	296.35669258161903	455
6	296.32740080575434	460
7	296.33866990950673	465
8	296.3199736756668	470
9	296.30474490369284	475
10	296.30315685083303	480
11	296.3139203634657	485
12	296.29468657969477	490
13	296.2899789872149	495
14	296.29033539276253	500
15	296.28836534248165	505
16	296.2714078411879	510
17	296.25819037291143	515
18	296.2292355249554	520
19	296.2102363747548	525
20	296.1674667391413	530
21	296.13019799883557	535
22	296.0831464829742	540
23	296.03688229443503	545
24	295.9956974756888	550
25	295.96026377171694	555
26	295.8998204132174	560
27	295.8675994802612	565
28	295.83636416097045	570
29	295.8063748209366	575
30	295.774312090778	580
31	295.7573759203587	585
32	295.72969728836637	590
33	295.70893927197636	595
34	295.6784442428519	600
35	295.6342367649943	605
36	295.60118185819863	610
37	295.55891358047523	615
38	295.5323856785549	620
39	295.47480141218	625
40	295.4311232374878	630
41	295.4022008794334	635
42	295.3624499474679	640
43	295.315395499305	645
44	295.28460094210413	650
45	295.2547770212997	655
46	295.2151559092076	660
47	295.1789778448437	665
48	295.17646257553804	670
49	295.17049515479255	675
50	295.1699536313111	680
51	295.17673005083674	685
52	295.17798241468364	690
53	295.1782038033512	695
54	295.17909361701754	700
55	295.16863279733326	705
56	295.1538440207182	710
57	295.16741856196376	715
58	295.16569106336414	720
59	295.1654158117143	725
60	295.16528684191184	730
61	295.13630139136126	735
62	295.1220862354963	740
63	295.10943807461126	745
64	295.0670344218888	750
65	295.0502754690156	755
66	295.0178892664399	760
67	294.98660990794	765
68	294.96854169904265	770
69	294.9516669531824	775
70	294.91995702036564	780
71	294.88974692695103	785
72	294.8587793642864	790
73	294.82650937516456	795
74	294.78622072762005	800
75	294.7378733744972	805
76	294.70005694029305	810
77	294.6415139114821	815
78	294.59603536496024	820
79	294.557984191163	825
80	294.51752740627217	830
81	294.4715402487893	835
82	294.44177489446224	840
83	294.40929760036136	845
84	294.39030051985515	850
85	294.3616025147001	855
86	294.3327043243391	860
87	294.3270901242284	865
88	294.30736246733505	870
89	294.28857016769626	875
90	294.3092566530348	880
91	294.3470684373366	885
92	294.35609158401286	890
93	294.39885808106817	895
94	294.4199321485018	900
95	294.43839163942727	905
96	294.3996123641952	910
97	294.40059920726975	915
98	294.3703145080726	920
99	294.34534576473243	925
100	294.323099772219	930
101	294.2914815593292	935
