"","X","name","statid","ascents","lat","lon","min_lat_d","max_lat_d","min_lon_d","max_lon_d","max_time","min_x_d","max_x_d","min_y_d","max_y_d","EUR11"
"83",82,"ZAGREB/MAKSIMIR","0-20000-0-14240",48949,45.8219,16.0336,-0.0411513653483979,0.00266727370591013,-0.0613256878028672,0.0161679050636643,665.825142446486,-4.75754853773185,1.2542801808233,-4.58099887984462,0.296922783952418,1
"85",84,"CONSTANTA","0-20000-0-15480",30075,44.22,28.63,-0.000966535748588626,0,0,0.00193431948592249,56.2959967399003,0,0.154319816251339,-0.107595452039364,0,1
"87",86,"CUNEO-LEVALDIGI RDS","0-20000-0-16113",12918,44.5392,7.6125,-0.0196849460947277,0.114721429291038,-0.0627914198399839,0.0817329896143351,1436.92847094406,-4.98225662935577,6.48519691542932,-2.19134202080992,12.7708700492619,1
"91",90,"THESSALONIKI (AIRPORT)","0-20000-0-16622",38457,40.5272,22.9714,-0.256093650969198,0.0782828821154595,-0.178134176511126,0.162694731558947,1769.14420578787,-15.0727486140617,13.7663468451099,-28.5085250167253,8.71450539579177,1
"92",91,"ATHINAI HELLINIKON","0-20000-0-16716",77515,37.8897,23.7417,-0.227841093258149,0.00614701802248874,-0.0787763559572845,0.168763755112732,1704.87341989742,-6.92079303163784,14.8265159212839,-25.3634304577055,0.684290359037057,1
"93",92,"HERAKLEION (AIRPORT)","0-20000-0-16754",47713,35.3353,25.1819,-0.286474502684541,0.110104208081204,-0.0598835503541402,0.30986272855915,1613.00415453809,-5.43822633403754,28.1396640472431,-31.8905427588603,12.2568777422706,1
"96",95,"ERZURUM BOLGE","0-20000-0-17095",10474,39.9,41.2833,-0.00740177426065003,0.000561966934704117,-1.30849871027294e-05,0.0103743681784678,589.807986850462,-0.00111649870820159,0.885985187841446,-0.823970708309034,0.0625585919232546,1
"98",97,"MURMANSK (22113-0)","0-20000-0-22113",63326,68.98556,33.13556,-0.01254481181941,0.00297144208623479,0,0.0779312450730245,282.526300803426,-9.50426816940308e-05,3.11101218746879,-1.39649725850939,0.33078303812671,1
"99",98,"KANDALAKSHA","0-20000-0-22217",57171,67.1692,32.3542,-0.0081663543759305,0.172967293393313,0,0.389815635358914,1086.54297178888,0,16.8375390717722,-0.909084299473695,19.2548405321767,1
"100",99,"SHOJNA","0-20000-0-22271",52169,67.8767,44.1742,-0.000584726657649526,0.00868620458891201,0,0.025523679946744,319.785447009614,0,1.07004171691745,-0.0650920953399796,0.966954388913916,1
"101",100,"ARHANGEL'SK (22543-0)","0-20000-0-22543",72516,64.6247,40.5114,-0.00900032224542713,0.00497932385022182,-0.0237702847330112,0.0363610747239207,197.81655364267,-1.13398530386917,1.73464157729662,-1.00192219051686,0.554301826694597,1
"102",101,"PETROZAVODSK","0-20000-0-22820",49535,61.8167,34.2667,-0.11505148853584,0.0480338510106506,-0.0743213073600444,0.096438826714099,1259.12149041162,-3.90752318380961,5.07037551612903,-12.8076124761689,5.34716201679462,1
"103",102,"KARGOPOL'","0-20000-0-22845",39630,61.5067,38.9347,-0.000426333689560465,0.0468160760149487,-0.00660181983570141,0.0760870364148758,759.511104019593,-0.350597599664431,4.04069373646017,-0.0474597132287792,5.21159844832474,1
"104",103,"NAR'JAN-MAR","0-20000-0-23205",65147,67.625,53.0175,-0.0267844231119199,0.00846913808979366,-0.00313075328208612,0.0991770994902197,606.52082320228,-0.132669166669346,4.20273922857473,-2.98166078422961,0.942790401222072,1
"105",104,"PECHORA (23415-0)","0-20000-0-23415",64130,65.1167,57.1,-0.290233776410773,0.0174818859406258,-1.82435172746409e-07,0.426477303440549,1601.607275524,0,19.9764019524036,-32.3090277492842,1.94609581458001,1
"106",105,"SYKTYVKAR (23802-0)","0-20000-0-23802",63155,61.6767,50.7806,-0.0202533306267938,0.0267643921853704,-0.016435880732665,0.0434840215523593,439.633388586202,-0.868072332621663,2.29663842942331,-2.25461498515808,2.97943092953286,1
"108",107,"ST.PETERSBURG (VOEJKOVO) (26063-0)","0-20000-0-26063",62287,59.95,30.7,-0.0595011690815426,0.0251739142628509,-0.187692181212579,0.103224752232695,1399.29297341425,-10.4627958606209,5.75420753211399,-6.62371191569179,2.80237780919555,1
"110",109,"PSKOV","0-20000-0-26258",42498,57.83,28.35,-0.0648643667090241,0.045594825012536,-0.000699010379545228,0.294719882683065,1405.46249412386,-0.0414309789431002,17.468278455501,-7.22074684006522,5.07564793109334,1
"111",110,"BOLOGOE","0-20000-0-26298",57743,57.8833,34.0333,-0.0325968043841698,0.249837221751058,-0.163122986963408,0.126737602772828,1557.1259630071,-9.65412932703153,7.50072903886229,-3.62869914779866,27.812054923933,1
"112",111,"LIEPAJA","0-20000-0-26406",35790,56.55,21.02,-0.064021136853583,0,-0.0332493222462702,0.0104508903906755,573.503369934543,-2.04021100609065,0.641276878272838,-7.12687790051212,0,1
"113",112,"RIGA LU","0-20000-0-26422",61860,56.97,24.05,-0.064722836102554,0.0253742058421338,-0.0451483960244836,0.0507913194022827,736.686938483716,-2.73953578305438,3.08193975022985,-7.2049915537267,2.82467440882638,1
"115",114,"VELIKIE LUKI","0-20000-0-26477",54216,56.35,30.6167,-0.021071518083275,0.0431584499881552,-0.0843033858909372,0.0233227635426658,662.979888075148,-5.20023944502249,1.43866062377633,-2.34569618549944,4.80442895107372,1
"117",116,"VOLOGDA (27038-0)","0-20000-0-27038",66438,59.3183,39.9256,-0.0137939546697012,0.0168235894922901,-0.114089236140956,0.0258053679470507,599.906134302304,-6.48065810234805,1.46583316737983,-1.53555271896374,1.87281379462516,1
"118",117,"KIROV (27199-0)","0-20000-0-27199",66216,58.5667,49.5667,-0.0991468657085548,0.014842704878582,-0.0211883072729222,0.128842442991136,1751.79814812942,-1.23007387060046,7.47986597634552,-11.0370986968001,1.65230032976412,1
"119",118,"NIZHNIJ NOVGOROD","0-20000-0-27459",65728,56.2667,44,-0.0227067232661398,0.0570304989629093,-0.138601541112465,0.0520211141418017,799.770412074489,-8.56827477383304,3.21591853314609,-2.52772837695521,6.34867518297294,1
"121",120,"MOSKVA VDNH","0-20000-0-27612",72036,55.93,37.52,-0.0461874371677169,0.049831525431145,-0.128248400854602,0.0512435968747695,963.601725212177,-7.99788365369188,3.19567629910307,-5.14161793180702,5.54728039487668,1
"122",121,"SUHINICHI","0-20000-0-27707",44616,54.1,35.35,0,0.00378817912822171,0,0.0154537658291645,461.785703962916,0,1.00875047454973,0,0.421702761503679,1
"123",122,"RYAZAN'","0-20000-0-27730",49971,54.6333,39.7,-0.052694604960962,0.0462840789325156,-0.110112848989495,0.107830800186392,760.520808233209,-7.09492667439002,6.9478869253056,-5.86600041968854,5.15237616064582,1
"125",124,"PENZA","0-20000-0-27962",33734,53.1228,45.0189,-0.0819274352939061,0.14213960750584,-0.142903101153195,0.0584655976463253,1537.97677298847,-9.54646445524417,3.90572228552621,-9.12021961420124,15.8230808970195,1
