,name,statid,ascents,lat,lon,min_lat_d,max_lat_d,min_lon_d,max_lon_d,max_time
86,CUNEO-LEVALDIGI RDS,0-20000-0-16113,12918,44.5392,7.6125,-0.019684946094727707,0.11472142929103768,-0.06279141983998393,0.08173298961433506,1436.9284709440574
87,S. PIETRO CAPOFIUME RDS,0-20000-0-16144,18880,44.6539,11.6225,-0.4627414780074872,0.3315022107085568,-0.14033314911531747,0.5255333520573089,3541.0836470832764
88,LECCE (16332-0),0-20000-0-16332,590,40.24,18.14,-0.07940163651066001,0.0002884404723744183,-0.008387176428374943,0.04852308151986762,1138.0756048141934
89,ALGHERO,0-20000-0-16520,22,40.63,8.28,-0.09930468722907904,0.0,0.0,0.8929715310739068,3191.8211563114146
90,THESSALONIKI (AIRPORT),0-20000-0-16622,38457,40.5272,22.9714,-0.25609365096919845,0.07828288211545953,-0.17813417651112573,0.16269473155894687,1769.1442057878678
91,ATHINAI HELLINIKON,0-20000-0-16716,77515,37.8897,23.7417,-0.22784109325814939,0.006147018022488737,-0.0787763559572845,0.16876375511273167,1704.8734198974212
92,HERAKLEION (AIRPORT),0-20000-0-16754,47713,35.3353,25.1819,-0.2864745026845412,0.11010420808120358,-0.05988355035414017,0.30986272855914976,1613.0041545380882
93,SAMSUN,0-20000-0-17030,37641,41.2833,36.3,-0.5649014744882805,0.3334538756879226,-0.43563262805130165,0.6810892014962846,4390.747375950582
94,ISTANBUL BOLGE (KARTAL),0-20000-0-17064,42127,40.9,29.15,-0.738152806525818,0.13127130933788322,-0.4662043821415942,0.3163096332893893,4659.024194238866
95,ERZURUM BOLGE,0-20000-0-17095,10474,39.9,41.2833,-0.007401774260650029,0.0005619669347041167,-1.3084987102729428e-05,0.010374368178467819,589.8079868504618
96,IZMIR/GUZELYALI,0-20000-0-17220,38607,38.4333,27.1667,-0.8353327860217377,0.1587466098479169,-0.5077268676330107,0.7525208228768712,4432.260665986458
97,MURMANSK (22113-0),0-20000-0-22113,63326,68.98556,33.13556,-0.012544811819410029,0.002971442086234788,0.0,0.07793124507302451,282.5263008034258
98,KANDALAKSHA,0-20000-0-22217,57171,67.1692,32.3542,-0.008166354375930496,0.17296729339331307,0.0,0.3898156353589144,1086.542971788875
99,SHOJNA,0-20000-0-22271,52169,67.8767,44.1742,-0.0005847266576495258,0.008686204588912005,0.0,0.025523679946743982,319.78544700961373
100,ARHANGEL'SK (22543-0),0-20000-0-22543,72516,64.6247,40.5114,-0.009000322245427128,0.004979323850221817,-0.023770284733011238,0.036361074723920694,197.81655364266956
101,PETROZAVODSK,0-20000-0-22820,49535,61.8167,34.2667,-0.11505148853584046,0.04803385101065061,-0.07432130736004439,0.09643882671409898,1259.1214904116239
102,KARGOPOL',0-20000-0-22845,39630,61.5067,38.9347,-0.00042633368956046525,0.04681607601494875,-0.006601819835701406,0.0760870364148758,759.5111040195934
103,NAR'JAN-MAR,0-20000-0-23205,65147,67.625,53.0175,-0.026784423111919864,0.00846913808979366,-0.0031307532820861184,0.09917709949021969,606.5208232022803
104,PECHORA (23415-0),0-20000-0-23415,64130,65.1167,57.1,-0.29023377641077275,0.01748188594062583,-1.8243517274640908e-07,0.42647730344054935,1601.6072755240045
105,SYKTYVKAR (23802-0),0-20000-0-23802,63155,61.6767,50.7806,-0.020253330626793797,0.02676439218537041,-0.016435880732664998,0.04348402155235931,439.6333885862023
106,TALLINN-HARKU,0-20000-0-26038,57834,59.3981,24.6028,-0.0018830859592497973,0.14093555900422672,-0.2368340362271404,0.026645230410956344,1818.7311676994577
107,ST.PETERSBURG (VOEJKOVO) (26063-0),0-20000-0-26063,62287,59.95,30.7,-0.05950116908154257,0.02517391426285087,-0.18769218121257936,0.10322475223269478,1399.2929734142504
108,SHLISSEL'BURG,0-20000-0-26072,2213,59.95,30.7,0.0,0.1039285205519036,0.0,0.26300446729470295,1196.7568172911556
109,PSKOV,0-20000-0-26258,42498,57.83,28.35,-0.06486436670902407,0.04559482501253598,-0.0006990103795452285,0.29471988268306504,1405.4624941238617
110,BOLOGOE,0-20000-0-26298,57743,57.8833,34.0333,-0.032596804384169786,0.24983722175105783,-0.16312298696340832,0.12673760277282753,1557.125963007098
111,LIEPAJA,0-20000-0-26406,35790,56.55,21.02,-0.06402113685358302,0.0,-0.033249322246270197,0.010450890390675482,573.5033699345427
112,RIGA LU,0-20000-0-26422,61860,56.97,24.05,-0.06472283610255403,0.02537420584213379,-0.04514839602448362,0.05079131940228265,736.6869384837163
113,SKRIVERI,0-20000-0-26435,2842,56.6425,25.1283,-0.41688653927905506,0.1556472104719404,-0.21554902681321408,0.5688384683305756,1654.7697867412692
114,VELIKIE LUKI,0-20000-0-26477,54216,56.35,30.6167,-0.02107151808327501,0.04315844998815521,-0.08430338589093722,0.023322763542665825,662.9798880751479
115,SMOLENSK,0-20000-0-26781,67668,54.75,32.0667,-0.1764264030581586,0.24834830462629043,-0.31843201341559535,0.2626522853868174,2700.7382460103113
116,VOLOGDA (27038-0),0-20000-0-27038,66438,59.3183,39.9256,-0.013793954669701236,0.016823589492290125,-0.11408923614095556,0.025805367947050684,599.9061343023036
117,KIROV (27199-0),0-20000-0-27199,66216,58.5667,49.5667,-0.0991468657085548,0.01484270487858197,-0.021188307272922202,0.1288424429911359,1751.7981481294219
118,NIZHNIJ NOVGOROD,0-20000-0-27459,65728,56.2667,44.0,-0.02270672326613976,0.05703049896290935,-0.1386015411124646,0.05202111414180166,799.7704120744891
119,KAZAN' (27595-0),0-20000-0-27595,62187,55.61,49.29,-0.7034673458275122,0.1820889981740521,-0.7161172180784163,0.5581810677994099,3170.475502215896
120,MOSKVA VDNH,0-20000-0-27612,72036,55.93,37.52,-0.046187437167716894,0.049831525431144996,-0.1282484008546021,0.05124359687476954,963.6017252121773
121,SUHINICHI,0-20000-0-27707,44616,54.1,35.35,0.0,0.0037881791282217137,0.0,0.015453765829164468,461.78570396291616
122,RYAZAN',0-20000-0-27730,49971,54.6333,39.7,-0.05269460496096201,0.04628407893251563,-0.1101128489894947,0.10783080018639168,760.520808233209
123,TAMBOV (27944-0),0-20000-0-27944,45465,52.73,41.47,-0.38313287406093366,0.12406280650365176,-0.24530131766077545,0.3051073467229557,2246.443309233158
124,PENZA,0-20000-0-27962,33734,53.1228,45.0189,-0.08192743529390611,0.14213960750583965,-0.1429031011531947,0.05846559764632531,1537.9767729884702
125,SAMARA (BEZENCHUK),0-20000-0-27995,15521,52.9833,49.4333,-0.004943029098086527,0.0,-0.019537748674501643,0.0,172.0389067713438
126,UFA-DIOMA,0-20000-0-28722,64386,54.7106,55.815,-0.0014357959463922043,0.00790657076152712,-0.015143050544430992,0.046449545867993436,584.6650870225551
127,SAMARA (OGMS),0-20000-0-28900,42082,53.25,50.45,-0.028549684451867563,0.04690673189201533,-0.06571333786720857,0.05840764943172161,917.9962071194265
128,Shepetivka,0-20000-0-33317,40847,50.1667,27.0333,-0.3276961092726367,0.10707627092239846,-0.21148936035739752,0.015186516964401875,2032.0798018620198
129,Kyiv,0-20000-0-33345,70139,50.4,30.5667,-0.2814204488820735,0.14818961821657695,-0.28556993764383165,0.48972660188370654,2260.774702487635
130,Lviv,0-20000-0-33393,56522,49.8167,23.95,-0.0993130692680424,0.0,-0.0002889034896149667,0.1323197741693818,1381.3185643306047
131,Chernivtsi,0-20000-0-33658,50423,48.27,25.97,-0.25203095191751856,0.043007223509007986,-0.16511160466248498,0.04545562868613473,1819.5052072597573
132,Kryvyi Rih,0-20000-0-33791,39615,48.0333,33.2167,-0.3441195416991505,0.24114817109584408,-0.31551315672467695,0.5520579939383978,6246.193381709275
133,CHISINAU,0-20000-0-33815,39511,47.02,28.98,-0.17754535508037605,0.03838072318929164,-0.32555382603784366,0.32045426597974114,1448.3400132905308
134,Odesa,0-20000-0-33837,53225,46.4333,30.7667,-0.0720573780338114,0.009463342436013988,-0.03460779857283569,0.06497998540564964,1106.6107079766134
135,Simferopol,0-20000-0-33946,47370,45.02,33.98,-0.11430320992863585,0.06953334702380687,-0.15494353713746278,0.3032603555469393,1839.9998279749814
136,Alushta,0-20000-0-33959,43580,44.6833,34.1333,-0.13887413356614786,0.24023018072215763,-0.16265542980913494,1.0579865473512626,2637.1736230914353
137,KURSK,0-20000-0-34009,61599,51.7667,36.1667,-0.16624032826794632,0.18684495592238193,-0.3853770632752145,0.2785752297745532,1892.6564558818716
138,VORONEZ (34122-0),0-20000-0-34122,48295,51.65,39.25,-0.0004504854292122218,0.017086177113682766,-0.019749819223697784,0.0,528.5527152711771
139,KALACH,0-20000-0-34247,52280,50.4167,41.05,-0.01890303550609218,0.007286407299680775,-0.07645873342807619,0.0,987.5532239824962
140,Kharkiv,0-20000-0-34300,57447,49.9667,36.1333,-0.29441677591736237,0.11793371341023118,-0.16310219947689575,0.34476906206923275,2708.473462448782
141,DIVNOE,0-20000-0-34858,46966,45.9167,43.35,-0.1433010548330529,0.0545709842219253,-0.21719082047807348,0.2968264757183192,1751.5955312929232
142,ORENBURG,0-20000-0-35121,62257,51.6925,55.0783,-0.006153483228985124,0.0018414486551421305,-0.009507893366517806,0.003412616539193891,519.2130997361403
143,AKTOBE,0-20000-0-35229,60560,50.2833,57.15,-0.34702108978040513,0.24612649289694133,-1.069711109295632,0.7738664310766481,2580.8276633362466
144,ATYRAU,0-20000-0-35700,54479,47.1167,51.9167,-0.03882783589524763,0.0,-0.04221047742147732,0.0004748268256804522,764.8353538010806
145,SOCHI,0-20000-0-37099,753,43.58,39.77,-0.03532478231708325,0.0631837667131947,-0.022495555256369926,0.17411166751961815,1940.3935380568698
146,BATUMI,0-20000-0-37484,11312,41.65,41.63,-0.03207547631322427,0.14540629512170966,-0.09115933828870482,0.44481881118119304,2089.934409715689
147,MASHTAGA,0-20000-0-37860,14217,40.53,50.0,0.0,0.013661873711868111,-0.0005593386691344904,0.0015703467760133094,133.1591310679946
148,LANKARAN,0-20000-0-37985,39325,38.73,48.83,-0.0012346510730978366,0.0028889220113015313,0.0,0.005719340499162229,315.2727231441391
149,DASHOGUZ,0-20000-0-38392,52070,41.83,59.97,-0.03137909299998398,0.01933136236160493,-0.032885932564958864,0.15933260459681975,761.3421793644936
150,BEYROUTH (AEROPORT),0-20000-0-40100,15195,33.82,35.48,-0.007353841539554651,0.008891327674760419,-0.0018767858216719446,0.11567916444773374,1373.8669673427073
